,,,,,,,,,,,,,,,,,,,,,,,,,,
,作成開始日,,,担当者,,,,,,,,,,,クエストフレーバーテキスト（最大18文字×8行）,,,,,,,,,,,文字数
,2025/12/17,,,和田,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,0
,クエスト名,,,お遊戯の時間です,,,,,,,,,,,,,,,,,,,,,,0
,クエストID,,,quest_event_you1_1day,,,,,,,,,,,,,,,,,,,,,,0
,クエスト種類,,,イベントクエスト,,,,,,,,,,,,,,,,,,,,,,0
,リリースキー,,,202602010,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,※!（エクスクラメーションマーク）は半角で,,,,,,,,,,,
,開催期間,,,,,,,,,,,,,,,,,,,,,,,,,
,開始日時,,2026/2/2,,,15:00:00,,,から,,,,,,,,,,,,,,,,,
,終了日時,,2026/2/16,,,3:59:59,,,終了,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,クエストトップ表示キャラID,,,キャラ名,,,セリフ1,,,セリフ2,,,セリフ3,,,,,,,,,,,,,
,chara_you_00001,,,元殺し屋の新人教諭 リタ,,,彼女…いますか？,,,手打ち,,,手打ち,,,,,,,,,,,,,
,,,,error,,,手打ち,,,手打ち,,,手打ち,,,,,,,,,,,,,
,,,,error,,,手打ち,,,手打ち,,,手打ち,,,,,,,,,,,,,
