,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,■基礎情報,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ステージコンセプト,,,,,,,,,,,,,,,,,ステージ情報詳細,,,,,,,,,,,,,,,,,memo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"リタが活躍して欲しいので緑属性のキャラをたくさん出す。
赤属性は清峰やメイがいるので、体力は高め
中盤以降殺し屋だしアタック高くしちゃおう（その代わりリダーPはそこそこ落ちる）
0+w1→w2→w3以降の感じで難易度上げてく
既存ユーザーが飽きないように難し目（結構やられる強さ）にする
ここでの難しさ→シーケンスの難しさというより、単純なキャラやゲートの強化で解決可能
※序盤は単純に体力が高いので、攻撃の高いキャラが出てくる前に時間切れになる

要所要所に攻撃ダウンコマを配置",,,,,,,,,,,,,,,,,"このステージは、4段で構成されているぞ!

【コマ効果情報】
毒コマ、攻撃DOWNコマが登場するぞ!
特性で攻撃DOWNコマ無効化を持っているキャラを編成しよう!

【ギミック情報】
ノックバック攻撃をしてくる敵や毒攻撃をしてくる敵や
敵自身の攻撃UPをしてくる敵や
味方の攻撃DOWNをしてくる敵が登場するぞ!

敵を多く倒して、スコアを稼ごう!",,,,,,,,,,,,,,,,,"暗殺者（近）+暗殺者（遠）
w1
暗殺者（近）+リタ+ダグ[強敵]
w2
暗殺者（近）+暗殺者（遠）+ルーク[強敵]
w3
暗殺者（近）+ハナ[強敵]
w4
暗殺者（近）+暗殺者（遠）+暗殺者（遠）[強敵]
w5
暗殺者（近）+リタ[強敵]+ダグ+ハナ
w6
暗殺者（近）+暗殺者（遠）+暗殺者（遠）[強敵]+暗殺者（近）[強敵]
→w1に戻る",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前田検証したメモ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,キャラlv,ゲートlv,スコア,,到達w,"調整1
→",キャラlv,ゲートlv,スコア,,到達w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,25791,,w2,,1,1,23921,,w2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ステージ名（最大20文字）,,,,,文字数,,スタミナ,,通常BGM,,,,,ボスBGM,,,,,ホームテキスト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1,63764,,w3,,20,1,67046,,w3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,誰の依頼だ？,,,,,6,,消費なし,,SSE_SBG_003_006,,,,,なし,,,,,ボスを倒して高スコア獲得！！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,5,103423,,w5,,40,5,87436,,w4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,10,182596,,w5,,60,10,201094,,w5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
