ENABLE,id,mst_stage_reward_group_id,reward_category,resource_type,resource_id,resource_amount,weight,release_key
e,1,reward_1,FirstClear,Coin,,2500,100,1
e,2,reward_1,FirstClear,Item,box_glo_00001,40,100,1
e,3,reward_1,Always,Item,memory_glo_00001,5,50,1
e,4,reward_1,Always,Item,box_glo_00001,5,50,1
e,5,reward_1,Always,Item,box_glo_00002,5,30,1
e,unit_reward_test,reward_1,Always,Unit,chara_glo_00001,1,100,1
e,900,reward_2,Always,Emblem,emblem_event_dan_00001,1,50,1
e,6,reward_2,FirstClear,Coin,,2500,100,1
e,7,reward_2,FirstClear,Item,box_glo_00001,40,100,1
e,8,reward_2,Always,Item,memory_glo_00001,5,50,1
e,9,reward_2,Always,Item,box_glo_00001,5,50,1
e,10,reward_2,Always,Item,box_glo_00002,5,30,1
e,11,reward_3,FirstClear,Coin,,2500,100,1
e,12,reward_3,FirstClear,Item,box_glo_00005,40,100,1
e,13,reward_3,Always,Item,memory_glo_00001,5,50,1
e,14,reward_3,Always,Item,box_glo_00001,10,50,1
e,15,reward_3,Always,Item,box_glo_00002,10,30,1
e,16,reward_3,Always,Item,box_glo_00003,5,10,1
e,17,reward_4,FirstClear,Coin,,2500,100,1
e,18,reward_4,FirstClear,Item,box_glo_00005,40,100,1
e,19,reward_4,Always,Item,memory_glo_00001,5,50,1
e,20,reward_4,Always,Item,box_glo_00001,10,50,1
e,21,reward_4,Always,Item,box_glo_00002,10,40,1
e,22,reward_4,Always,Item,box_glo_00003,5,10,1
e,23,reward_5,FirstClear,Coin,,5000,100,1
e,24,reward_5,FirstClear,Item,box_glo_00002,30,100,1
e,25,reward_5,Always,Item,memory_glo_00001,6,50,1
e,26,reward_5,Always,Item,box_glo_00001,10,50,1
e,27,reward_5,Always,Item,box_glo_00002,10,40,1
e,28,reward_5,Always,Item,box_glo_00003,5,10,1
e,29,reward_6,FirstClear,Coin,,5000,100,1
e,30,reward_6,FirstClear,Item,box_glo_00002,30,100,1
e,31,reward_6,Always,Item,memory_glo_00001,6,50,1
e,32,reward_6,Always,Item,box_glo_00001,10,50,1
e,33,reward_6,Always,Item,box_glo_00002,10,40,1
e,34,reward_6,Always,Item,box_glo_00003,5,10,1
e,35,reward_7,FirstClear,Coin,,5000,100,1
e,36,reward_7,FirstClear,Item,box_glo_00006,30,100,1
e,37,reward_7,Always,Item,memory_glo_00001,6,50,1
e,38,reward_7,Always,Item,box_glo_00005,10,50,1
e,39,reward_7,Always,Item,box_glo_00006,10,30,1
e,40,reward_7,Always,Item,box_glo_00003,5,10,1
e,41,reward_8,FirstClear,Coin,,5000,100,1
e,42,reward_8,FirstClear,Item,box_glo_00006,30,100,1
e,43,reward_8,Always,Item,memory_glo_00001,6,50,1
e,44,reward_8,Always,Item,box_glo_00005,10,50,1
e,45,reward_8,Always,Item,box_glo_00006,10,30,1
e,46,reward_8,Always,Item,box_glo_00003,5,10,1
e,47,reward_9,FirstClear,Coin,,7500,100,1
e,48,reward_9,FirstClear,Item,box_glo_00003,10,100,1
e,49,reward_9,Always,Item,memory_glo_00001,7,50,1
e,50,reward_9,Always,Item,box_glo_00005,10,50,1
e,51,reward_9,Always,Item,box_glo_00006,10,30,1
e,52,reward_9,Always,Item,box_glo_00003,5,20,1
e,53,reward_9,Always,Item,box_glo_00004,5,10,1
e,54,reward_10,FirstClear,Coin,,7500,100,1
e,55,reward_10,FirstClear,Item,box_glo_00003,10,100,1
e,56,reward_10,Always,Item,memory_glo_00001,8,50,1
e,57,reward_10,Always,Item,box_glo_00005,10,50,1
e,58,reward_10,Always,Item,box_glo_00006,10,30,1
e,59,reward_10,Always,Item,box_glo_00003,5,20,1
e,60,reward_10,Always,Item,box_glo_00004,5,10,1
e,61,reward_11,FirstClear,Coin,,7500,100,1
e,62,reward_11,FirstClear,Item,box_glo_00007,10,100,1
e,63,reward_11,Always,Item,memory_glo_00001,8,50,1
e,64,reward_11,Always,Item,box_glo_00005,10,50,1
e,65,reward_11,Always,Item,box_glo_00006,10,30,1
e,66,reward_11,Always,Item,box_glo_00003,5,20,1
e,67,reward_11,Always,Item,box_glo_00004,5,10,1
e,68,reward_12,FirstClear,Coin,,7500,100,1
e,69,reward_12,FirstClear,Item,box_glo_00007,10,100,1
e,70,reward_12,Always,Item,memory_glo_00001,8,50,1
e,71,reward_12,Always,Item,box_glo_00005,20,50,1
e,72,reward_12,Always,Item,box_glo_00006,20,30,1
e,73,reward_12,Always,Item,box_glo_00003,10,20,1
e,74,reward_12,Always,Item,box_glo_00004,10,10,1
e,75,reward_13,FirstClear,Coin,,10000,100,1
e,76,reward_13,FirstClear,Item,box_glo_00008,10,100,1
e,77,reward_13,Always,Item,memory_glo_00001,10,50,1
e,78,reward_13,Always,Item,box_glo_00005,20,50,1
e,79,reward_13,Always,Item,box_glo_00006,20,30,1
e,80,reward_13,Always,Item,box_glo_00007,10,20,1
e,81,reward_13,Always,Item,box_glo_00008,10,10,1
e,82,reward_14,FirstClear,Coin,,10000,100,1
e,83,reward_14,FirstClear,Item,box_glo_00008,10,100,1
e,84,reward_14,Always,Item,memory_glo_00001,10,50,1
e,85,reward_14,Always,Item,box_glo_00005,20,50,1
e,86,reward_14,Always,Item,box_glo_00006,20,30,1
e,87,reward_14,Always,Item,box_glo_00007,10,20,1
e,88,reward_14,Always,Item,box_glo_00008,10,10,1
e,event_test_n2_1,event_test_n2,FirstClear,Emblem,emblem_event_dan_00001,1,100,1
e,event_test_n2_3,event_test_n2,FirstClear,Item,box_glo_00001,40,100,1
e,event_test_n2_2,event_test_n2,Always,Coin,,2500,50,1
e,event_test_n2_4,event_test_n2,Always,Item,memory_glo_00001,5,50,1
e,event_test_n2_5,event_test_n2,Always,Item,box_glo_00001,5,50,1
e,event_test_n2_6,event_test_n2,Always,Item,box_glo_00002,5,30,1
