ENABLE,id,mst_stage_id,stage_end_type,condition_type,condition_value1,condition_value2,release_key
e,develop_001,develop_001,Victory,EnemyOutpostBreakDown,,,999999999
e,develop_001,develop_001,Defeat,PlayerOutpostBreakDown,,,999999999
e,develop_plan_test_stage004,develop_plan_test_stage004,Victory,DefeatUnit,enemy_jig_00401,1,999999999
e,normal_sur_00003,normal_sur_00003,Victory,TimeOver,120,,202509010
e,normal_sur_00003,normal_sur_00003,Defeat,PlayerOutpostBreakDown,,,202509010
e,hard_sur_00003,hard_sur_00003,Victory,TimeOver,120,,202509010
e,hard_sur_00003,hard_sur_00003,Defeat,PlayerOutpostBreakDown,,,202509010
e,veryhard_sur_00002,veryhard_sur_00002,Victory,TimeOver,150,,202509010
e,veryhard_sur_00002,veryhard_sur_00002,Defeat,PlayerOutpostBreakDown,,,202509010
e,normal_mag_00001,normal_mag_00001,Victory,TimeOver,120,,202509010
e,normal_mag_00001,normal_mag_00001,Defeat,PlayerOutpostBreakDown,,,202509010
e,hard_mag_00001,hard_mag_00001,Victory,TimeOver,120,,202509010
e,hard_mag_00001,hard_mag_00001,Defeat,PlayerOutpostBreakDown,,,202509010
e,veryhard_mag_00001,veryhard_mag_00001,Defeat,TimeOver,180,,202509010
e,veryhard_mag_00001,veryhard_mag_00001,Defeat,PlayerOutpostBreakDown,,,202509010
e,veryhard_mag_00001,veryhard_mag_00001,Victory,EnemyOutpostBreakDown,,,202509010
e,enhance_00001,enhance_00001,Finish,TimeOver,60,,202509010
e,advent_battle_spy_01,advent_battle_spy_01,Defeat,TimeOver,120,,202509010
e,quest_raid_kai_00001,quest_raid_kai_00001,Defeat,TimeOver,120,,202509010
e,quest_raid_spy1_00001,quest_raid_spy1_00001,Defeat,TimeOver,120,,202510010
e,quest_raid_dan1_00001,quest_raid_dan1_00001,Defeat,TimeOver,120,,202510020
e,quest_raid_mag1_00001,quest_raid_mag1_00001,Defeat,TimeOver,120,,202511010
e,quest_raid_kai_00002,quest_raid_kai_00002,Defeat,TimeOver,120,,202511010
e,quest_raid_yuw1_00001,quest_raid_yuw1_00001,Defeat,TimeOver,120,,202511020
e,quest_raid_sur1_00001,quest_raid_sur1_00001,Defeat,TimeOver,120,,202512010
e,quest_raid_osh1_00001,quest_raid_osh1_00001,Defeat,TimeOver,120,,202512020
e,quest_raid_jig1_00001,quest_raid_jig1_00001,Defeat,TimeOver,120,,202601010
e,quest_raid_you1_00001,quest_raid_you1_00001,Defeat,TimeOver,120,,202602015
e,quest_raid_kim1_00001,quest_raid_kim1_00001,Defeat,TimeOver,120,,202602020
e,quest_raid_hut1_00001,quest_raid_hut1_00001,Defeat,TimeOver,120,,202603010
e,default_pvp,default_pvp,Finish,TimeOver,180,,202509010
e,pvp_202509010_01,pvp_202509010_01,Finish,TimeOver,180,,202509010
e,pvp_spy_02,pvp_spy_02,Finish,TimeOver,180,,202510010
e,pvp_dan_01,pvp_dan_01,Finish,TimeOver,180,,202510010
e,pvp_mag_01,pvp_mag_01,Finish,TimeOver,180,,202511010
e,pvp_spy_01,pvp_spy_01,Finish,TimeOver,180,,202510010
e,pvp_yuw_01,pvp_yuw_01,Finish,TimeOver,180,,202511020
e,pvp_yuw_02,pvp_yuw_02,Finish,TimeOver,180,,202511020
e,pvp_sur_01,pvp_sur_01,Finish,TimeOver,180,,202512010
e,pvp_sur_02,pvp_sur_02,Finish,TimeOver,180,,202512010
e,pvp_Xmas_01,pvp_Xmas_01,Finish,TimeOver,180,,202512015
e,pvp_osh_01,pvp_osh_01,Finish,TimeOver,180,,202512020
e,pvp_jig_01,pvp_jig_01,Finish,TimeOver,180,,202601010
e,pvp_jig_02,pvp_jig_02,Finish,TimeOver,180,,202601010
e,pvp_you_01,pvp_you_01,Finish,TimeOver,180,,202602010
e,pvp_you_02,pvp_you_02,Finish,TimeOver,180,,202602010
e,pvp_kim_01,pvp_kim_01,Finish,TimeOver,180,,202602020
e,pvp_kim_02,pvp_kim_02,Finish,TimeOver,180,,202602020
e,pvp_hut_01,pvp_hut_01,Finish,TimeOver,180,,202603010
e,pvp_hut_02,pvp_hut_02,Finish,TimeOver,180,,202603010
e,pvp_half_01,pvp_half_01,Finish,TimeOver,180,,202603020
e,pvp_half_02,pvp_half_02,Finish,TimeOver,180,,202603025
