ENABLE,id,release_key,mst_dummy_user_id,mst_outpost_enhancement_id,level
e,1,202509010,bronze_2_user1,enhance_1_5,3
e,2,202509010,bronze_2_user2,enhance_1_5,3
e,3,202509010,bronze_2_user3,enhance_1_5,3
e,4,202509010,bronze_2_user4,enhance_1_5,3
e,5,202509010,bronze_2_user5,enhance_1_5,3
e,6,202509010,bronze_2_user6,enhance_1_5,3
e,7,202509010,bronze_3_user1,enhance_1_5,3
e,8,202509010,bronze_3_user2,enhance_1_5,3
e,9,202509010,bronze_3_user3,enhance_1_5,3
e,10,202509010,bronze_3_user4,enhance_1_5,3
e,11,202509010,bronze_3_user5,enhance_1_5,3
e,12,202509010,bronze_3_user6,enhance_1_5,3
e,13,202509010,bronze_4_user1,enhance_1_5,3
e,14,202509010,bronze_4_user2,enhance_1_5,3
e,15,202509010,bronze_4_user3,enhance_1_5,3
e,16,202509010,bronze_4_user4,enhance_1_5,3
e,17,202509010,bronze_4_user5,enhance_1_5,3
e,18,202509010,bronze_4_user6,enhance_1_5,3
e,19,202509010,Silver_1_user1,enhance_1_5,4
e,20,202509010,Silver_1_user2,enhance_1_5,4
e,21,202509010,Silver_1_user3,enhance_1_5,4
e,22,202509010,Silver_1_user4,enhance_1_5,4
e,23,202509010,Silver_1_user5,enhance_1_5,4
e,24,202509010,Silver_1_user6,enhance_1_5,4
e,25,202509010,Silver_2_user1,enhance_1_5,6
e,26,202509010,Silver_2_user2,enhance_1_5,6
e,27,202509010,Silver_2_user3,enhance_1_5,6
e,28,202509010,Silver_2_user4,enhance_1_5,6
e,29,202509010,Silver_2_user5,enhance_1_5,6
e,30,202509010,Silver_2_user6,enhance_1_5,6
e,31,202509010,Silver_3_user1,enhance_1_5,6
e,32,202509010,Silver_3_user2,enhance_1_5,6
e,33,202509010,Silver_3_user3,enhance_1_5,6
e,34,202509010,Silver_3_user4,enhance_1_5,6
e,35,202509010,Silver_3_user5,enhance_1_5,6
e,36,202509010,Silver_3_user6,enhance_1_5,6
e,37,202509010,Silver_4_user1,enhance_1_5,8
e,38,202509010,Silver_4_user2,enhance_1_5,8
e,39,202509010,Silver_4_user3,enhance_1_5,8
e,40,202509010,Silver_4_user4,enhance_1_5,8
e,41,202509010,Silver_4_user5,enhance_1_5,8
e,42,202509010,Silver_4_user6,enhance_1_5,8
e,43,202509010,Gold_1_user1,enhance_1_5,10
e,44,202509010,Gold_1_user2,enhance_1_5,10
e,45,202509010,Gold_1_user3,enhance_1_5,10
e,46,202509010,Gold_1_user4,enhance_1_5,10
e,47,202509010,Gold_1_user5,enhance_1_5,10
e,48,202509010,Gold_1_user6,enhance_1_5,10
e,49,202509010,Gold_2_user1,enhance_1_5,10
e,50,202509010,Gold_2_user2,enhance_1_5,10
e,51,202509010,Gold_2_user3,enhance_1_5,10
e,52,202509010,Gold_2_user4,enhance_1_5,10
e,53,202509010,Gold_2_user5,enhance_1_5,10
e,54,202509010,Gold_2_user6,enhance_1_5,10
e,55,202509010,Gold_3_user1,enhance_1_5,10
e,56,202509010,Gold_3_user2,enhance_1_5,10
e,57,202509010,Gold_3_user3,enhance_1_5,10
e,58,202509010,Gold_3_user4,enhance_1_5,10
e,59,202509010,Gold_3_user5,enhance_1_5,10
e,60,202509010,Gold_3_user6,enhance_1_5,10
e,61,202509010,Gold_4_user1,enhance_1_5,10
e,62,202509010,Gold_4_user2,enhance_1_5,10
e,63,202509010,Gold_4_user3,enhance_1_5,10
e,64,202509010,Gold_4_user4,enhance_1_5,10
e,65,202509010,Gold_4_user5,enhance_1_5,10
e,66,202509010,Gold_4_user6,enhance_1_5,10
e,67,202509010,Platinum_1_user1,enhance_1_5,10
e,68,202509010,Platinum_1_user2,enhance_1_5,10
e,69,202509010,Platinum_1_user3,enhance_1_5,10
e,70,202509010,Platinum_1_user4,enhance_1_5,10
e,71,202509010,Platinum_1_user5,enhance_1_5,10
e,72,202509010,Platinum_1_user6,enhance_1_5,10
e,73,202509010,Platinum_2_user1,enhance_1_5,10
e,74,202509010,Platinum_2_user2,enhance_1_5,10
e,75,202509010,Platinum_2_user3,enhance_1_5,10
e,76,202509010,Platinum_2_user4,enhance_1_5,10
e,77,202509010,Platinum_2_user5,enhance_1_5,10
e,78,202509010,Platinum_2_user6,enhance_1_5,10
e,79,202509010,Platinum_3_user1,enhance_1_5,10
e,80,202509010,Platinum_3_user2,enhance_1_5,10
e,81,202509010,Platinum_3_user3,enhance_1_5,10
e,82,202509010,Platinum_3_user4,enhance_1_5,10
e,83,202509010,Platinum_3_user5,enhance_1_5,10
e,84,202509010,Platinum_3_user6,enhance_1_5,10
e,85,202509010,Platinum_4_user1,enhance_1_5,10
e,86,202509010,Platinum_4_user2,enhance_1_5,10
e,87,202509010,Platinum_4_user3,enhance_1_5,10
e,88,202509010,Platinum_4_user4,enhance_1_5,10
e,89,202509010,Platinum_4_user5,enhance_1_5,10
e,90,202509010,Platinum_4_user6,enhance_1_5,10
