ENABLE,id,shop_type,cost_type,cost_amount,is_first_time_free,tradable_count,resource_type,resource_id,resource_amount,start_date,end_date,release_key
e,Daily_1,Daily,Ad,,1,2,FreeDiamond,0,50,"2024-01-01 9:00:00","2035-01-01 9:00:00",1
e,Daily_2,Daily,Coin,500,0,1,Item,box_glo_00001,20,"2024-01-01 9:00:00","2035-01-01 9:00:00",1
e,Daily_3,Daily,Coin,10000,0,1,Item,box_glo_00002,10,"2024-01-01 9:00:00","2035-01-01 9:00:00",1
e,Daily_4,Daily,Diamond,300,0,1,Item,box_glo_00003,5,"2024-01-01 9:00:00","2035-01-01 9:00:00",1
e,Daily_5,Daily,Diamond,500,0,1,Item,box_glo_00004,5,"2024-01-01 9:00:00","2035-01-01 9:00:00",1
e,Daily_6,Daily,Diamond,150,0,1,Item,memory_glo_00001,20,"2024-01-01 9:00:00","2035-01-01 9:00:00",1
e,Weekly_7,Weekly,Ad,,1,2,FreeDiamond,0,400,"2024-01-01 9:00:00","2035-01-01 9:00:00",1
e,Weekly_8,Weekly,Coin,30000,0,1,Item,box_glo_00005,160,"2024-01-01 9:00:00","2035-01-01 9:00:00",1
e,Weekly_9,Weekly,Coin,50000,0,1,Item,box_glo_00006,80,"2024-01-01 9:00:00","2035-01-01 9:00:00",1
e,Weekly_10,Weekly,Diamond,1500,0,1,Item,box_glo_00007,30,"2024-01-01 9:00:00","2035-01-01 9:00:00",1
e,Weekly_11,Weekly,Diamond,2500,0,1,Item,box_glo_00008,30,"2024-01-01 9:00:00","2035-01-01 9:00:00",1
e,Weekly_12,Weekly,Diamond,700,0,1,Item,memory_glo_00001,200,"2024-01-01 9:00:00","2035-01-01 9:00:00",1
e,Coin_13,Coin,Ad,,1,3,Coin,3,5000,"2024-01-01 9:00:00","2035-01-01 9:00:00",1
e,Coin_14,Coin,Ad,,1,1,IdleCoin,3,5,"2024-01-01 9:00:00","2035-01-01 9:00:00",1
