ENABLE,id,ability_type,release_key,asset_key
e,ability_attack_power_up_koma_boost,AttackPowerUpKomaBoost,202509010,attackup_koma_boost
e,ability_slip_damage_koma_block,SlipDamageKomaBlock,202509010,damage_koma_block
e,ability_attack_power_down_koma_block,AttackPowerDownKomaBlock,202509010,attackdown_koma_block
e,ability_knockback_block,KnockBackBlock,202509010,knockback_block
e,ability_StunBlock,StunBlock,202509010,stun_block
e,ability_FreezeBlock,FreezeBlock,202509010,freeze_block
e,ability_gust_koma_block,GustKomaBlock,202509010,gust_koma_block
e,ability_burn_damage_cut,BurnDamageCut,202509010,burn_damage_cut
e,ability_poison_damage_cut,PoisonDamageCut,202509010,poison_damage_cut
e,ability_guts,Guts,202509010,guts
e,ability_attack_power_up_by_hp_percentage_over,AttackPowerUpByHpPercentageOver,202511010,conditional_attack_up
e,ability_attack_power_up_by_hp_percentage_less,AttackPowerUpByHpPercentageLess,202601010,conditional_attack_up
e,ability_damage_cut_by_hp_percentage_over,DamageCutByHpPercentageOver,202601010,conditional_damage_cut
e,ability_damage_cut_by_hp_percentage_less,DamageCutByHpPercentageLess,202511020,conditional_damage_cut
e,ability_WeakeningBlock,WeakeningBlock,202603020,weakening_block
