ENABLE,id,quest_type,mst_event_id,sort_order,asset_key,start_date,end_date,quest_group,difficulty,release_key
e,1,normal,,1,dan_1,"2024-01-01 0:00:00","2029-10-01 15:00:00",dan,Normal,1
e,2,normal,,1,gom_1,"2024-01-01 0:00:00","2029-10-01 15:00:00",gom,Normal,1
e,3,normal,,1,jig_1,"2024-01-01 0:00:00","2029-10-01 15:00:00",jig,Normal,1
e,4,normal,,1,sur_1,"2024-01-01 0:00:00","2029-10-01 15:00:00",sur,Normal,1
e,5,normal,,1,dan_1,"2024-01-01 0:00:00","2029-10-01 15:00:00",dan,Hard,1
e,6,normal,,1,gom_1,"2024-01-01 0:00:00","2029-10-01 15:00:00",gom,Hard,1
e,7,normal,,1,jig_1,"2024-01-01 0:00:00","2029-10-01 15:00:00",jig,Hard,1
e,8,normal,,1,sur_1,"2024-01-01 0:00:00","2029-10-01 15:00:00",sur,Hard,1
e,9,normal,,1,dan_1,"2024-01-01 0:00:00","2029-10-01 15:00:00",dan,Extra,1
e,10,normal,,1,gom_1,"2024-01-01 0:00:00","2029-10-01 15:00:00",gom,Extra,1
e,11,normal,,1,jig_1,"2024-01-01 0:00:00","2029-10-01 15:00:00",jig,Extra,1
e,12,normal,,1,sur_1,"2024-01-01 0:00:00","2029-10-01 15:00:00",sur,Extra,1
e,13,enhance,,1,dan_1,"2024-01-01 0:00:00","2029-10-01 15:00:00",dan,Normal,1
e,test1_01,normal,,1,dan_1,"2024-01-01 0:00:00","2029-10-01 15:00:00",test1,Normal,1
e,test1_02,normal,,1,dan_1,"2024-01-01 0:00:00","2029-10-01 15:00:00",test1,Hard,1
e,test1_03,normal,,1,dan_1,"2024-01-01 0:00:00","2029-10-01 15:00:00",test1,Extra,1
e,test2_01,normal,,1,dan_1,"2024-01-01 0:00:00","2029-10-01 15:00:00",test2,Normal,1
e,test2_02,normal,,1,dan_1,"2024-01-01 0:00:00","2029-10-01 15:00:00",test2,Hard,1
e,test2_03,normal,,1,dan_1,"2024-01-01 0:00:00","2029-10-01 15:00:00",test2,Extra,1
e,test3_01,normal,,1,dan_1,"2024-01-01 0:00:00","2029-10-01 15:00:00",test3,Normal,1
e,test3_02,normal,,1,dan_1,"2024-01-01 0:00:00","2029-10-01 15:00:00",test3,Hard,1
e,test3_03,normal,,1,dan_1,"2024-01-01 0:00:00","2029-10-01 15:00:00",test3,Extra,1
e,test4_01,normal,,1,dan_1,"2024-01-01 0:00:00","2029-10-01 15:00:00",test4,Normal,1
e,test4_02,normal,,1,dan_1,"2024-01-01 0:00:00","2029-10-01 15:00:00",test4,Hard,1
