ENABLE,release_key,id,mst_box_gacha_id,box_level
e,202602010,box_gacha_test_group_1,box_gacha_test,1
e,202602020,box_gacha_kim_01_group_001,box_gacha_kim_01,1
e,202602020,box_gacha_kim_01_group_002,box_gacha_kim_01,2
e,202602020,box_gacha_kim_01_group_003,box_gacha_kim_01,3
e,202602020,box_gacha_kim_01_group_004,box_gacha_kim_01,4
e,202602020,box_gacha_kim_01_group_005,box_gacha_kim_01,5
e,202602020,box_gacha_kim_01_group_006,box_gacha_kim_01,6
e,202602020,box_gacha_kim_01_group_007,box_gacha_kim_01,7
e,202602020,box_gacha_kim_01_group_008,box_gacha_kim_01,8
e,202602020,box_gacha_kim_01_group_009,box_gacha_kim_01,9
e,202602020,box_gacha_kim_01_group_010,box_gacha_kim_01,10
e,202602020,box_gacha_kim_01_group_011,box_gacha_kim_01,11
e,202603025,box_gacha_l05anniv_01_group_001,box_gacha_l05anniv_01,1
e,202603025,box_gacha_l05anniv_01_group_002,box_gacha_l05anniv_01,2
e,202603025,box_gacha_l05anniv_01_group_003,box_gacha_l05anniv_01,3
e,202603025,box_gacha_l05anniv_01_group_004,box_gacha_l05anniv_01,4
e,202603025,box_gacha_l05anniv_01_group_005,box_gacha_l05anniv_01,5
e,202603025,box_gacha_l05anniv_01_group_006,box_gacha_l05anniv_01,6
e,202603025,box_gacha_l05anniv_01_group_007,box_gacha_l05anniv_01,7
e,202603025,box_gacha_l05anniv_01_group_008,box_gacha_l05anniv_01,8
e,202603025,box_gacha_l05anniv_01_group_009,box_gacha_l05anniv_01,9
e,202603025,box_gacha_l05anniv_01_group_010,box_gacha_l05anniv_01,10
e,202603025,box_gacha_l05anniv_01_group_011,box_gacha_l05anniv_01,11
