ENABLE,id,mst_unit_id,bonus_percentage,event_bonus_group_id,is_pick_up,release_key
e,1,chara_gom_00001,10,bonus_enhance_01,,1
e,2,chara_dan_00001,10,bonus_enhance_01,,1
e,3,chara_jig_00101,10,bonus_enhance_01,,1
e,4,chara_sur_00001,20,bonus_enhance_01,,1
e,5,chara_jig_00001,20,bonus_enhance_01,,1
e,6,chara_dan_00002,20,bonus_enhance_01,,1
e,7,chara_gom_00101,30,bonus_enhance_01,,1
e,8,chara_gom_00201,30,bonus_enhance_01,,1
e,9,chara_dan_00101,30,bonus_enhance_01,,1
e,10,chara_rik_00001,40,bonus_enhance_01,,1
e,11,chara_rik_00101,40,bonus_enhance_01,,1
e,raid01,chara_glo_00001,999,raid_kai_00001,,1
e,raid02,chara_glo_00002,999,raid_kai_00001,,1
e,raid03,chara_glo_00101,999,raid_kai_00001,,1
e,raid04,chara_glo_00102,999,raid_kai_00001,,1
e,raid05,chara_glo_00111,999,raid_kai_00001,,1
e,raid06,chara_glo_00112,999,raid_kai_00001,,1
e,raid07,chara_glo_00113,999,raid_kai_00001,,1
e,raid08,chara_glo_00121,999,raid_kai_00001,,1
e,raid09,chara_glo_00122,999,raid_kai_00001,,1
e,raid10,chara_glo_00140,999,raid_kai_00001,,1
e,raid11,chara_glo_00141,999,raid_kai_00001,,1
e,raid12,chara_glo_00142,999,raid_kai_00001,,1
e,raid13,chara_glo_00143,999,raid_kai_00001,,1
e,raid14,chara_glo_00144,999,raid_kai_00001,,1
e,raid15,chara_glo_00145,999,raid_kai_00001,,1
e,raid16,chara_glo_00146,999,raid_kai_00001,,1
e,raid17,chara_glo_00147,999,raid_kai_00001,,1
e,raid18,chara_glo_00148,999,raid_kai_00001,,1
e,raid19,chara_glo_00149,999,raid_kai_00001,,1
e,raid20,chara_sur_00001,999,raid_kai_00001,,1
e,raid21,chara_glo_00131,999,raid_kai_00001,,1
e,raid22,chara_glo_00132,999,raid_kai_00001,,1
e,raid23,chara_sur_00501,999,raid_kai_00001,,1
e,raid24,chara_sur_00801,999,raid_kai_00001,,1
e,raid25,chara_yuw_00301,999,raid_kai_00001,,1
e,raid26,chara_yuw_00401,999,raid_kai_00001,,1
e,raid27,chara_yuw_00201,999,raid_kai_00001,,1
e,raid28,chara_yuw_00501,999,raid_kai_00001,,1
e,raid29,chara_yuw_00601,999,raid_kai_00001,,1
e,raid30,chara_osh_00001,999,raid_kai_00001,,1
e,raid31,chara_osh_00101,999,raid_kai_00001,,1
e,raid32,chara_osh_00201,999,raid_kai_00001,,1
e,raid33,chara_osh_00301,999,raid_kai_00001,,1
e,raid34,chara_osh_00401,999,raid_kai_00001,,1
e,raid35,chara_osh_00501,999,raid_kai_00001,,1
e,raid36,chara_osh_00601,999,raid_kai_00001,,1
e,raid37,chara_jig_00101,999,raid_kai_00001,,1
e,raid38,chara_dan_00001,999,raid_kai_00001,,1
e,raid39,chara_gom_00001,999,raid_kai_00001,,1
e,raid40,chara_dan_00001,999,raid_kai_00001,,1
e,raid41,chara_dan_00002,999,raid_kai_00001,,1
e,raid42,chara_dan_00101,999,raid_kai_00001,,1
e,raid43,chara_gom_00001,999,raid_kai_00001,,1
e,raid44,chara_gom_00101,999,raid_kai_00001,,1
e,raid45,chara_gom_00201,999,raid_kai_00001,,1
e,raid46,chara_sur_00001,999,raid_kai_00001,,1
e,raid47,chara_jig_00001,999,raid_kai_00001,,1
e,raid48,chara_jig_00101,999,raid_kai_00001,,1
e,raid49,chara_jig_00201,999,raid_kai_00001,,1
e,raid50,chara_jig_00301,999,raid_kai_00001,,1
e,raid51,chara_kai_00101,999,raid_kai_00001,,1
e,raid52,chara_kai_00301,999,raid_kai_00001,,1
e,raid53,chara_kai_00001,999,raid_kai_00001,,1
e,raid54,chara_kai_00002,999,raid_kai_00001,,1
e,raid55,chara_dos_00001,999,raid_kai_00001,,1
e,raid56,chara_chi_00001,999,raid_kai_00001,,1
e,raid57,chara_sum_00001,999,raid_kai_00001,,1
e,raid58,chara_sum_00201,999,raid_kai_00001,,1
e,raid59,chara_sur_00101,999,raid_kai_00001,,1
e,raid60,chara_sum_00101,999,raid_kai_00001,,1
e,raid61,chara_sur_00201,999,raid_kai_00001,,1
e,raid62,chara_sur_00301,999,raid_kai_00001,,1
e,raid63,chara_tak_00001,999,raid_kai_00001,,1
e,raid64,chara_chi_00201,999,raid_kai_00001,,1
e,raid65,chara_chi_00301,999,raid_kai_00001,,1
e,raid66,chara_chi_00002,999,raid_kai_00001,,1
e,raid67,chara_rik_00001,999,raid_kai_00001,,1
e,raid68,chara_rik_00101,999,raid_kai_00001,,1
e,raid69,chara_aka_00101,999,raid_kai_00001,,1
e,raid70,chara_aka_00001,999,raid_kai_00001,,1
e,raid71,chara_spy_00101,999,raid_kai_00001,,1
e,raid72,chara_spy_00201,999,raid_kai_00001,,1
e,raid73,chara_spy_00401,999,raid_kai_00001,,1
e,raid74,chara_spy_00501,999,raid_kai_00001,,1
e,raid75,chara_bat_00001,999,raid_kai_00001,,1
e,raid76,chara_bat_00101,999,raid_kai_00001,,1
e,raid77,chara_mag_00001,999,raid_kai_00001,,1
e,raid78,chara_mag_00101,999,raid_kai_00001,,1
e,raid79,chara_yuw_00001,999,raid_kai_00001,,1
e,raid80,chara_yuw_00101,999,raid_kai_00001,,1
e,raid81,chara_aha_00001,999,raid_kai_00001,,1
e,raid82,chara_aha_00101,999,raid_kai_00001,,1
e,raid83,chara_ron_00001,999,raid_kai_00001,,1
e,raid84,chara_ron_00101,999,raid_kai_00001,,1
e,raid85,chara_kai_00201,999,raid_kai_00001,,1
e,raid86,chara_kai_00401,999,raid_kai_00001,,1
