ENABLE,id,emblemType,mstSeriesId,assetKey,release_key
e,emblem_event_dan_00001,Event,1,test_01,1
e,emblem_event_gom_00001,Event,2,normal_gom_00001,1
e,emblem_event_jig_00001,Event,3,test_01,1
e,emblem_event_sur_00001,Event,4,test_01,1
e,emblem_event_glo_00001,Event,5,test_01,1
e,emblem_event_glo_00002,Event,5,test_01,1
e,1,Series,1,test_01,1
e,2,Series,1,test_01,1
e,3,Event,1,test_01,1
e,emblem_spy_adventbattle_season1_00001,Event,7,spy_adventbattle_season1_00001,1
e,emblem_spy_adventbattle_season1_00002,Event,7,spy_adventbattle_season1_00002,1
e,emblem_spy_adventbattle_season1_00003,Event,7,spy_adventbattle_season1_00003,1
e,emblem_spy_adventbattle_season1_00004,Event,7,spy_adventbattle_season1_00004,1
e,emblem_spy_adventbattle_season1_00005,Event,7,spy_adventbattle_season1_00005,1
e,emblem_spy_adventbattle_season1_00006,Event,7,spy_adventbattle_season1_00006,1
e,emblem_adventbattle_kai_season01_00001,Event,6,adventbattle_kai_season01_00001,1
e,emblem_adventbattle_kai_season01_00002,Event,6,adventbattle_kai_season01_00002,1
e,emblem_adventbattle_kai_season01_00003,Event,6,adventbattle_kai_season01_00003,1
e,emblem_adventbattle_kai_season01_00004,Event,6,adventbattle_kai_season01_00004,1
e,emblem_adventbattle_kai_season01_00005,Event,6,adventbattle_kai_season01_00005,1
e,emblem_adventbattle_kai_season01_00006,Event,6,adventbattle_kai_season01_00006,1
