ENABLE,release_key,id,opr_product_id,language,asset_key
e,202509010,1_ja,1,ja,
e,202509010,2_ja,2,ja,
e,202509010,3_ja,3,ja,
e,202509010,4_ja,4,ja,
e,202509010,5_ja,5,ja,
e,202509010,6_ja,6,ja,
e,202509010,7_ja,7,ja,increase_prism_00001
e,202509010,8_ja,8,ja,increase_prism_00002
e,202509010,9_ja,9,ja,increase_prism_00003
e,202509010,10_ja,10,ja,increase_prism_00004
e,202509010,11_ja,11,ja,increase_prism_00005
e,202509010,12_ja,12,ja,increase_prism_00006
e,202509010,13_ja,13,ja,
e,202509010,14_ja,14,ja,
e,202509010,15_ja,15,ja,
e,202509010,16_ja,16,ja,
e,202509010,17_ja,17,ja,
e,202509010,18_ja,18,ja,
e,202510010,19_ja,19,ja,
e,202510020,20_ja,20,ja,
e,202511010,21_ja,21,ja,
e,202511020,22_ja,22,ja,
e,202511020,23_ja,23,ja,increase_prism_00004
e,202511020,24_ja,24,ja,increase_prism_00006
e,202511020,25_ja,25,ja,
e,202511020,26_ja,26,ja,
e,202511020,27_ja,27,ja,
e,202512015,28_ja,28,ja,
e,202512015,29_ja,29,ja,
e,202512015,30_ja,30,ja,
e,202512015,31_ja,31,ja,increase_prism_00003
e,202512015,32_ja,32,ja,increase_prism_00004
e,202512015,33_ja,33,ja,increase_prism_00005
e,202512015,34_ja,34,ja,increase_prism_00005
e,202512010,35_ja,35,ja,
e,202512010,36_ja,36,ja,
e,202512020,37_ja,37,ja,
e,202512020,38_ja,38,ja,increase_prism_00002
e,202512020,39_ja,39,ja,increase_prism_00004
e,202512020,40_ja,40,ja,increase_prism_00005
e,202512020,41_ja,41,ja,increase_prism_00005
e,202512020,42_ja,42,ja,increase_prism_00006
e,202512020,43_ja,43,ja,increase_prism_00006
e,202512020,44_ja,44,ja,
e,202512020,45_ja,45,ja,
e,202512020,46_ja,46,ja,
e,202512020,47_ja,47,ja,
e,202512020,48_ja,48,ja,
e,202512015,49_ja,49,ja,
e,202601010,50_ja,50,ja,
e,202512020,51_ja,51,ja,
e,202601010,52_ja,52,ja,
e,202602015,53_ja,53,ja,
e,202602010,54_ja,54,ja,
e,202602010,55_ja,55,ja,
e,202602010,56_ja,56,ja,
e,202602010,57_ja,57,ja,
e,202602010,58_ja,58,ja,
e,202602010,59_ja,59,ja,
e,202602010,60_ja,60,ja,
e,202602010,61_ja,61,ja,
e,202602010,62_ja,62,ja,
e,202602010,63_ja,63,ja,
e,202601010,64_ja,64,ja,increase_prism_00002
e,202601010,65_ja,65,ja,increase_prism_00003
e,202601010,66_ja,66,ja,increase_prism_00004
e,202601010,67_ja,67,ja,increase_prism_00005
e,202601010,68_ja,68,ja,increase_prism_00006
e,202602020,69_ja,69,ja,
e,202602020,70_ja,70,ja,
e,202603010,71_ja,71,ja,
e,202603010,72_ja,72,ja,
e,202603010,73_ja,73,ja,
e,202603010,74_ja,74,ja,
e,202603010,75_ja,75,ja,
e,202603010,76_ja,76,ja,
e,202603010,77_ja,77,ja,
e,202602020,78_ja,78,ja,
e,202602010,79_ja,79,ja,increase_prism_00002
e,202602010,80_ja,80,ja,increase_prism_00002
e,202602010,81_ja,81,ja,increase_prism_00003
e,202602010,82_ja,82,ja,increase_prism_00004
e,202602010,83_ja,83,ja,increase_prism_00005
e,202602010,84_ja,84,ja,increase_prism_00006
e,202603010,85_ja,85,ja,
e,202603010,86_ja,86,ja,
e,202602020,97_ja,97,ja,
e,202603020,98_ja,98,ja,
e,202603020,99_ja,99,ja,increase_prism_00002
e,202603020,100_ja,100,ja,increase_prism_00003
e,202603020,101_ja,101,ja,increase_prism_00005
e,202603020,102_ja,102,ja,increase_prism_00006
e,202603020,103_ja,103,ja,
e,202603020,104_ja,104,ja,
e,202603020,105_ja,105,ja,
e,202603020,106_ja,106,ja,
e,202603020,107_ja,107,ja,
e,202603020,108_ja,108,ja,
e,202603020,109_ja,109,ja,
e,202603020,110_ja,110,ja,
e,202603020,111_ja,111,ja,
e,202603025,112_ja,112,ja,
e,202603025,113_ja,113,ja,
e,202603025,114_ja,114,ja,
e,202603025,115_ja,115,ja,
e,202603025,116_ja,116,ja,
e,202603025,117_ja,117,ja,
e,202603025,118_ja,118,ja,
e,202603025,119_ja,119,ja,
e,202603025,120_ja,120,ja,
e,202603025,121_ja,121,ja,
e,202603025,122_ja,122,ja,
e,202603025,123_ja,123,ja,
e,202603020,124_ja,124,ja,
e,202603020,125_ja,125,ja,
e,202602020,WS_00001_ja,WS_00001,ja,
e,202602020,WS_00002_ja,WS_00002,ja,
e,202602020,WS_00003_ja,WS_00003,ja,
e,202602020,WS_00004_ja,WS_00004,ja,
e,202602020,WS_00005_ja,WS_00005,ja,
e,202602020,WS_00006_ja,WS_00006,ja,
e,202602020,WS_00007_ja,WS_00007,ja,
e,202602020,WS_00008_ja,WS_00008,ja,
e,202602020,WS_00009_ja,WS_00009,ja,
e,202602020,WS_00010_ja,WS_00010,ja,
e,202602020,WS_00011_ja,WS_00011,ja,
e,202602020,WS_00012_ja,WS_00012,ja,
e,202602020,WS_00013_ja,WS_00013,ja,
