ENABLE,id,mst_fragment_box_group_id,mst_item_id,start_at,end_at,release_key
e,fragment_box_1_1,fragment_box_1,piece_sur_00001,"2024-01-01 0:00:00","2030-01-01 0:00:00",1
e,fragment_box_1_2,fragment_box_1,piece_glo_00001,"2024-01-01 0:00:00","2030-01-01 0:00:00",1
e,fragment_box_1_3,fragment_box_1,piece_glo_00003,"2024-01-01 0:00:00","2030-01-01 0:00:00",1
e,fragment_box_1_4,fragment_box_1,piece_glo_00005,"2024-01-01 0:00:00","2030-01-01 0:00:00",1
e,fragment_box_1_5,fragment_box_1,piece_glo_00006,"2024-01-01 0:00:00","2030-01-01 0:00:00",1
e,fragment_box_1_6,fragment_box_1,piece_glo_00008,"2024-01-01 0:00:00","2030-01-01 0:00:00",1
e,fragment_box_1_7,fragment_box_1,piece_glo_00010,"2024-01-01 0:00:00","2030-01-01 0:00:00",1
e,fragment_box_2_1,fragment_box_2,piece_glo_00002,"2024-01-01 0:00:00","2030-01-01 0:00:00",1
e,fragment_box_2_2,fragment_box_2,piece_glo_00004,"2024-01-01 0:00:00","2030-01-01 0:00:00",1
e,fragment_box_2_3,fragment_box_2,piece_glo_00007,"2024-01-01 0:00:00","2030-01-01 0:00:00",1
e,fragment_box_2_4,fragment_box_2,piece_glo_00009,"2024-01-01 0:00:00","2030-01-01 0:00:00",1
e,fragment_box_3_1,fragment_box_3,piece_dan_000100,"2024-01-01 0:00:00","2030-01-01 0:00:00",1
e,fragment_box_3_2,fragment_box_3,piece_jig_00100,"2024-01-01 0:00:00","2030-01-01 0:00:00",1
e,fragment_box_4_1,fragment_box_4,piece_gom_00001,"2024-01-01 0:00:00","2030-01-01 0:00:00",1
e,fragment_box_4_2,fragment_box_4,piece_glo_00011,"2024-01-01 0:00:00","2030-01-01 0:00:00",1
e,fragment_box_5_1,fragment_box_5,piece_sur_00001,"2024-01-01 0:00:00","2030-01-01 0:00:00",1
e,fragment_box_5_2,fragment_box_5,piece_glo_00001,"2024-01-01 0:00:00","2030-01-01 0:00:00",1
e,fragment_box_5_3,fragment_box_5,piece_glo_00003,"2024-01-01 0:00:00","2030-01-01 0:00:00",1
e,fragment_box_5_4,fragment_box_5,piece_glo_00005,"2024-01-01 0:00:00","2030-01-01 0:00:00",1
e,fragment_box_5_5,fragment_box_5,piece_glo_00006,"2024-01-01 0:00:00","2030-01-01 0:00:00",1
e,fragment_box_5_6,fragment_box_5,piece_glo_00008,"2024-01-01 0:00:00","2030-01-01 0:00:00",1
e,fragment_box_5_7,fragment_box_5,piece_glo_00010,"2024-01-01 0:00:00","2030-01-01 0:00:00",1
e,fragment_box_6_1,fragment_box_6,piece_glo_00002,"2024-01-01 0:00:00","2030-01-01 0:00:00",1
e,fragment_box_6_2,fragment_box_6,piece_glo_00004,"2024-01-01 0:00:00","2030-01-01 0:00:00",1
e,fragment_box_6_3,fragment_box_6,piece_glo_00007,"2024-01-01 0:00:00","2030-01-01 0:00:00",1
e,fragment_box_6_4,fragment_box_6,piece_glo_00009,"2024-01-01 0:00:00","2030-01-01 0:00:00",1
e,fragment_box_7_1,fragment_box_7,piece_dan_000100,"2024-01-01 0:00:00","2030-01-01 0:00:00",1
e,fragment_box_7_2,fragment_box_7,piece_jig_00100,"2024-01-01 0:00:00","2030-01-01 0:00:00",1
e,fragment_box_8_1,fragment_box_8,piece_gom_00001,"2024-01-01 0:00:00","2030-01-01 0:00:00",1
e,fragment_box_8_2,fragment_box_8,piece_glo_00011,"2024-01-01 0:00:00","2030-01-01 0:00:00",1
e,fragment_box_5_8,fragment_box_5,piece_aka_00001,"2024-01-01 0:00:00","2030-01-01 0:00:00",1
e,fragment_box_5_9,fragment_box_5,piece_aka_00101,"2024-01-01 0:00:00","2030-01-01 0:00:00",1
e,fragment_box_5_10,fragment_box_5,piece_rik_00001,"2024-01-01 0:00:00","2030-01-01 0:00:00",1
e,fragment_box_5_11,fragment_box_5,piece_ron_00101,"2024-01-01 0:00:00","2030-01-01 0:00:00",1
e,fragment_box_5_12,fragment_box_5,piece_dan_00001,"2024-01-01 0:00:00","2030-01-01 0:00:00",1
e,fragment_box_5_13,fragment_box_5,piece_chi_00001,"2024-01-01 0:00:00","2030-01-01 0:00:00",1
e,fragment_box_5_14,fragment_box_5,piece_kai_00001,"2024-01-01 0:00:00","2030-01-01 0:00:00",1
e,fragment_box_5_15,fragment_box_5,piece_sur_00001,"2024-01-01 0:00:00","2030-01-01 0:00:00",1
e,fragment_box_5_16,fragment_box_5,piece_sum_00001,"2024-01-01 0:00:00","2030-01-01 0:00:00",1
