ENABLE,id,release_key,mst_pvp_reward_group_id,resource_type,resource_id,resource_amount
e,pvp_reward_1_1,1,default_pvp_reward_group_1,Coin,,10000
e,pvp_reward_1_2,1,default_pvp_reward_group_1,FreeDiamond,,1000
e,pvp_reward_1_3,1,default_pvp_reward_group_1,Item,box_glo_00004,10
e,pvp_reward_1_4,1,default_pvp_reward_group_1,Item,box_glo_00008,10
e,pvp_reward_1_5,1,default_pvp_reward_group_1,Emblem,emblem_spy_adventbattle_season1_00001,1
e,pvp_reward_2_1,1,default_pvp_reward_group_2,Coin,,10000
e,pvp_reward_2_2,1,default_pvp_reward_group_2,FreeDiamond,,1000
e,pvp_reward_2_3,1,default_pvp_reward_group_2,Item,box_glo_00004,1
e,pvp_reward_2_4,1,default_pvp_reward_group_2,Item,box_glo_00008,1
e,pvp_reward_3_1,1,default_pvp_reward_group_3,Coin,,10000
e,pvp_reward_3_2,1,default_pvp_reward_group_3,FreeDiamond,,1000
e,pvp_reward_3_3,1,default_pvp_reward_group_3,Item,box_glo_00004,1
e,pvp_reward_4_1,1,default_pvp_reward_group_4,FreeDiamond,,100
e,pvp_reward_5_1,1,default_pvp_reward_group_5,FreeDiamond,,50
e,pvp_reward_6_1,1,default_pvp_reward_group_6,Coin,,100
e,pvp_reward_7_1,1,default_pvp_reward_group_7,Coin,,50
e,pvp_reward_8_1,1,default_pvp_reward_group_8,Item,box_glo_00005,10
e,pvp_reward_8_2,1,default_pvp_reward_group_8,Item,box_glo_00006,10
e,pvp_reward_8_3,1,default_pvp_reward_group_8,Item,box_glo_00007,10
e,pvp_reward_8_4,1,default_pvp_reward_group_8,Item,box_glo_00008,10
e,pvp_reward_9_1,1,default_pvp_reward_group_9,Item,box_glo_00005,5
e,pvp_reward_9_2,1,default_pvp_reward_group_9,Item,box_glo_00006,5
e,pvp_reward_9_3,1,default_pvp_reward_group_9,Item,box_glo_00007,5
e,pvp_reward_9_4,1,default_pvp_reward_group_9,Item,box_glo_00008,5
e,pvp_reward_10_1,1,default_pvp_reward_group_10,Item,box_glo_00005,3
e,pvp_reward_10_2,1,default_pvp_reward_group_10,Item,box_glo_00006,3
e,pvp_reward_10_3,1,default_pvp_reward_group_10,Item,box_glo_00007,3
e,pvp_reward_10_4,1,default_pvp_reward_group_10,Item,box_glo_00008,3
e,pvp_reward_11_1,1,default_pvp_reward_group_11,Item,box_glo_00005,1
e,pvp_reward_11_2,1,default_pvp_reward_group_11,Item,box_glo_00006,1
e,pvp_reward_11_3,1,default_pvp_reward_group_11,Item,box_glo_00007,1
e,pvp_reward_11_4,1,default_pvp_reward_group_11,Item,box_glo_00008,1
e,pvp_reward_12_1,1,default_pvp_reward_group_12,Item,memory_glo_00001,10
e,pvp_reward_12_2,1,default_pvp_reward_group_12,Coin,,10000
e,pvp_reward_12_3,1,default_pvp_reward_group_12,FreeDiamond,,1000
e,pvp_reward_13_1,1,default_pvp_reward_group_13,Item,memory_glo_00001,5
e,pvp_reward_13_2,1,default_pvp_reward_group_13,Coin,,5000
e,pvp_reward_13_3,1,default_pvp_reward_group_13,FreeDiamond,,500
e,pvp_reward_14_1,1,default_pvp_reward_group_14,Item,memory_glo_00001,3
e,pvp_reward_14_2,1,default_pvp_reward_group_14,Coin,,2500
e,pvp_reward_14_3,1,default_pvp_reward_group_14,FreeDiamond,,250
e,pvp_reward_15_1,1,default_pvp_reward_group_15,Item,memory_glo_00001,1
e,pvp_reward_15_2,1,default_pvp_reward_group_15,Coin,,100
e,pvp_reward_15_3,1,default_pvp_reward_group_15,FreeDiamond,,50
e,pvp_reward_16_1,1,default_pvp_reward_group_16,Coin,,90
e,pvp_reward_16_2,1,default_pvp_reward_group_16,FreeDiamond,,40
e,pvp_reward_17_1,1,default_pvp_reward_group_17,Coin,,80
e,pvp_reward_17_2,1,default_pvp_reward_group_17,FreeDiamond,,30
e,pvp_reward_18_1,1,default_pvp_reward_group_18,Coin,,70
e,pvp_reward_18_2,1,default_pvp_reward_group_18,FreeDiamond,,20
e,pvp_reward_19_1,1,default_pvp_reward_group_19,Coin,,60
e,pvp_reward_19_2,1,default_pvp_reward_group_19,FreeDiamond,,10
e,pvp_reward_20_1,1,default_pvp_reward_group_20,Coin,,50
e,pvp_reward_21_1,1,default_pvp_reward_group_21,Coin,,40
e,pvp_reward_22_1,1,default_pvp_reward_group_22,Coin,,30
e,pvp_reward_23_1,1,default_pvp_reward_group_23,Coin,,20
e,total_score_1_1,1,total_score_1,Coin,,10000
e,total_score_1_2,1,total_score_1,Emblem,emblem_spy_adventbattle_season1_00001,1
e,total_score_1_3,1,total_score_1,FreeDiamond,,1000
e,total_score_1_4,1,total_score_1,Item,memory_glo_00001,1
e,total_score_2_1,1,total_score_2,Coin,,10000
e,total_score_2_2,1,total_score_2,FreeDiamond,,1000
e,total_score_3_1,1,total_score_3,FreeDiamond,,1000
e,total_score_4_1,1,total_score_4,FreeDiamond,,1000
e,total_score_5_1,,total_score_5,FreeDiamond,,1000
e,total_score_6_1,,total_score_6,FreeDiamond,,1000
