ENABLE,release_key,id,mst_outpost_enhancement_level_id,language,description
e,202509010,enhance_1_3_1_ja,enhance_1_3_1,ja,
e,202509010,enhance_1_3_2_ja,enhance_1_3_2,ja,リーダーPの増加スピードがアップします。
e,202509010,enhance_1_3_3_ja,enhance_1_3_3,ja,リーダーPの増加スピードがアップします。
e,202509010,enhance_1_3_4_ja,enhance_1_3_4,ja,リーダーPの増加スピードがアップします。
e,202509010,enhance_1_3_5_ja,enhance_1_3_5,ja,リーダーPの増加スピードがアップします。
e,202509010,enhance_1_3_6_ja,enhance_1_3_6,ja,リーダーPの増加スピードがアップします。
e,202509010,enhance_1_3_7_ja,enhance_1_3_7,ja,リーダーPの増加スピードがアップします。
e,202509010,enhance_1_3_8_ja,enhance_1_3_8,ja,リーダーPの増加スピードがアップします。
e,202509010,enhance_1_3_9_ja,enhance_1_3_9,ja,リーダーPの増加スピードがアップします。
e,202509010,enhance_1_3_10_ja,enhance_1_3_10,ja,リーダーPの増加スピードがアップします。
e,202509010,enhance_1_3_11_ja,enhance_1_3_11,ja,リーダーPの増加スピードがアップします。
e,202509010,enhance_1_3_12_ja,enhance_1_3_12,ja,リーダーPの増加スピードがアップします。
e,202509010,enhance_1_3_13_ja,enhance_1_3_13,ja,リーダーPの増加スピードがアップします。
e,202509010,enhance_1_3_14_ja,enhance_1_3_14,ja,リーダーPの増加スピードがアップします。
e,202509010,enhance_1_3_15_ja,enhance_1_3_15,ja,リーダーPの増加スピードがアップします。
e,202509010,enhance_1_3_16_ja,enhance_1_3_16,ja,リーダーPの増加スピードがアップします。
e,202509010,enhance_1_3_17_ja,enhance_1_3_17,ja,リーダーPの増加スピードがアップします。
e,202509010,enhance_1_3_18_ja,enhance_1_3_18,ja,リーダーPの増加スピードがアップします。
e,202509010,enhance_1_3_19_ja,enhance_1_3_19,ja,リーダーPの増加スピードがアップします。
e,202509010,enhance_1_3_20_ja,enhance_1_3_20,ja,リーダーPの増加スピードがアップします。
e,202509010,enhance_1_4_1_ja,enhance_1_4_1,ja,
e,202509010,enhance_1_4_2_ja,enhance_1_4_2,ja,"リーダーPの最大所持量が2,100になります。"
e,202509010,enhance_1_4_3_ja,enhance_1_4_3,ja,"リーダーPの最大所持量が2,200になります。"
e,202509010,enhance_1_4_4_ja,enhance_1_4_4,ja,"リーダーPの最大所持量が2,300になります。"
e,202509010,enhance_1_4_5_ja,enhance_1_4_5,ja,"リーダーPの最大所持量が2,400になります。"
e,202509010,enhance_1_4_6_ja,enhance_1_4_6,ja,"リーダーPの最大所持量が2,500になります。"
e,202509010,enhance_1_4_7_ja,enhance_1_4_7,ja,"リーダーPの最大所持量が2,600になります。"
e,202509010,enhance_1_4_8_ja,enhance_1_4_8,ja,"リーダーPの最大所持量が2,700になります。"
e,202509010,enhance_1_4_9_ja,enhance_1_4_9,ja,"リーダーPの最大所持量が2,800になります。"
e,202509010,enhance_1_4_10_ja,enhance_1_4_10,ja,"リーダーPの最大所持量が2,900になります。"
e,202509010,enhance_1_4_11_ja,enhance_1_4_11,ja,"リーダーPの最大所持量が3,000になります。"
e,202509010,enhance_1_4_12_ja,enhance_1_4_12,ja,"リーダーPの最大所持量が3,100になります。"
e,202509010,enhance_1_4_13_ja,enhance_1_4_13,ja,"リーダーPの最大所持量が3,200になります。"
e,202509010,enhance_1_4_14_ja,enhance_1_4_14,ja,"リーダーPの最大所持量が3,300になります。"
e,202509010,enhance_1_4_15_ja,enhance_1_4_15,ja,"リーダーPの最大所持量が3,400になります。"
e,202509010,enhance_1_4_16_ja,enhance_1_4_16,ja,"リーダーPの最大所持量が3,500になります。"
e,202509010,enhance_1_4_17_ja,enhance_1_4_17,ja,"リーダーPの最大所持量が3,600になります。"
e,202509010,enhance_1_4_18_ja,enhance_1_4_18,ja,"リーダーPの最大所持量が3,700になります。"
e,202509010,enhance_1_4_19_ja,enhance_1_4_19,ja,"リーダーPの最大所持量が3,800になります。"
e,202509010,enhance_1_4_20_ja,enhance_1_4_20,ja,"リーダーPの最大所持量が4,000になります。"
e,202509010,enhance_1_5_1_ja,enhance_1_5_1,ja,
e,202509010,enhance_1_5_2_ja,enhance_1_5_2,ja,"ヒーローゲートHPが1,500アップします。"
e,202509010,enhance_1_5_3_ja,enhance_1_5_3,ja,"ヒーローゲートHPが1,500アップします。"
e,202509010,enhance_1_5_4_ja,enhance_1_5_4,ja,"ヒーローゲートHPが2,000アップします。"
e,202509010,enhance_1_5_5_ja,enhance_1_5_5,ja,"ヒーローゲートHPが3,000アップします。"
e,202509010,enhance_1_5_6_ja,enhance_1_5_6,ja,"ヒーローゲートHPが4,000アップします。"
e,202509010,enhance_1_5_7_ja,enhance_1_5_7,ja,"ヒーローゲートHPが4,000アップします。"
e,202509010,enhance_1_5_8_ja,enhance_1_5_8,ja,"ヒーローゲートHPが2,000アップします。"
e,202509010,enhance_1_5_9_ja,enhance_1_5_9,ja,"ヒーローゲートHPが2,000アップします。"
e,202509010,enhance_1_5_10_ja,enhance_1_5_10,ja,"ヒーローゲートHPが2,000アップします。"
e,202509010,enhance_1_5_11_ja,enhance_1_5_11,ja,"ヒーローゲートHPが3,000アップします。"
e,202509010,enhance_1_5_12_ja,enhance_1_5_12,ja,"ヒーローゲートHPが3,000アップします。"
e,202509010,enhance_1_5_13_ja,enhance_1_5_13,ja,"ヒーローゲートHPが2,000アップします。"
e,202509010,enhance_1_5_14_ja,enhance_1_5_14,ja,"ヒーローゲートHPが3,000アップします。"
e,202509010,enhance_1_5_15_ja,enhance_1_5_15,ja,"ヒーローゲートHPが2,000アップします。"
