ENABLE,id,mst_artwork_effect_id,condition_type,condition_value,release_key
e,artwork_spy_0001_01,artwork_spy_0001,All,,202603020
e,artwork_spy_0001_02,artwork_spy_0001,TargetCount,1,202603020
e,artwork_spy_0002_01,artwork_spy_0002,All,,202603020
e,artwork_spy_0002_02,artwork_spy_0002,TargetCount,3,202603020
e,artwork_spy_0003_01,artwork_spy_0003,All,,202603020
e,artwork_spy_0003_02,artwork_spy_0003,TargetCount,3,202603020
e,artwork_gom_0001_01,artwork_gom_0001,All,,202603020
e,artwork_gom_0001_02,artwork_gom_0001,TargetCount,1,202603020
e,artwork_gom_0002_01,artwork_gom_0002,All,,202603020
e,artwork_gom_0002_02,artwork_gom_0002,TargetCount,3,202603020
e,artwork_gom_0003_01,artwork_gom_0003,All,,202603020
e,artwork_gom_0003_02,artwork_gom_0003,TargetCount,3,202603020
e,artwork_aka_0001_01,artwork_aka_0001,All,,202603020
e,artwork_aka_0001_02,artwork_aka_0001,TargetCount,1,202603020
e,artwork_aka_0002_01,artwork_aka_0002,All,,202603020
e,artwork_aka_0002_02,artwork_aka_0002,TargetCount,3,202603020
e,artwork_aka_0003_01,artwork_aka_0003,All,,202603020
e,artwork_aka_0003_02,artwork_aka_0003,TargetCount,3,202603020
e,artwork_dan_0001_01,artwork_dan_0001,All,,202603020
e,artwork_dan_0001_02,artwork_dan_0001,TargetCount,1,202603020
e,artwork_dan_0002_01,artwork_dan_0002,All,,202603020
e,artwork_dan_0002_02,artwork_dan_0002,TargetCount,3,202603020
e,artwork_dan_0003_01,artwork_dan_0003,All,,202603020
e,artwork_dan_0003_02,artwork_dan_0003,TargetCount,3,202603020
e,artwork_jig_0001_01,artwork_jig_0001,All,,202603020
e,artwork_jig_0001_02,artwork_jig_0001,TargetCount,1,202603020
e,artwork_jig_0002_01,artwork_jig_0002,All,,202603020
e,artwork_jig_0002_02,artwork_jig_0002,TargetCount,3,202603020
e,artwork_jig_0003_01,artwork_jig_0003,All,,202603020
e,artwork_jig_0003_02,artwork_jig_0003,TargetCount,3,202603020
e,artwork_tak_0001_01,artwork_tak_0001,All,,202603020
e,artwork_tak_0001_02,artwork_tak_0001,TargetCount,1,202603020
e,artwork_tak_0002_01,artwork_tak_0002,All,,202603020
e,artwork_tak_0002_02,artwork_tak_0002,TargetCount,3,202603020
e,artwork_tak_0003_01,artwork_tak_0003,All,,202603020
e,artwork_tak_0003_02,artwork_tak_0003,TargetCount,1,202603020
e,artwork_chi_0001_01,artwork_chi_0001,All,,202603020
e,artwork_chi_0001_02,artwork_chi_0001,TargetCount,1,202603020
e,artwork_chi_0002_01,artwork_chi_0002,All,,202603020
e,artwork_chi_0002_02,artwork_chi_0002,TargetCount,1,202603020
e,artwork_chi_0003_01,artwork_chi_0003,All,,202603020
e,artwork_chi_0003_02,artwork_chi_0003,TargetCount,1,202603020
e,artwork_kai_0001_01,artwork_kai_0001,All,,202603020
e,artwork_kai_0001_02,artwork_kai_0001,TargetCount,1,202603020
e,artwork_kai_0002_01,artwork_kai_0002,All,,202603020
e,artwork_kai_0002_02,artwork_kai_0002,TargetCount,3,202603020
e,artwork_kai_0003_01,artwork_kai_0003,All,,202603020
e,artwork_kai_0003_02,artwork_kai_0003,TargetCount,1,202603020
e,artwork_sur_0001_01,artwork_sur_0001,All,,202603020
e,artwork_sur_0001_02,artwork_sur_0001,TargetCount,1,202603020
e,artwork_sur_0002_01,artwork_sur_0002,All,,202603020
e,artwork_sur_0002_02,artwork_sur_0002,TargetCount,1,202603020
e,artwork_sur_0003_01,artwork_sur_0003,All,,202603020
e,artwork_sur_0003_02,artwork_sur_0003,TargetCount,3,202603020
e,artwork_rik_0001_01,artwork_rik_0001,All,,202603020
e,artwork_rik_0001_02,artwork_rik_0001,TargetCount,1,202603020
e,artwork_rik_0002_01,artwork_rik_0002,All,,202603020
e,artwork_rik_0002_02,artwork_rik_0002,TargetCount,3,202603020
e,artwork_rik_0003_01,artwork_rik_0003,All,,202603020
e,artwork_rik_0003_02,artwork_rik_0003,TargetCount,3,202603020
e,artwork_mag_0001_01,artwork_mag_0001,All,,202603020
e,artwork_mag_0001_02,artwork_mag_0001,TargetCount,1,202603020
e,artwork_mag_0002_01,artwork_mag_0002,All,,202603020
e,artwork_mag_0002_02,artwork_mag_0002,TargetCount,3,202603020
e,artwork_mag_0003_01,artwork_mag_0003,All,,202603020
e,artwork_mag_0003_02,artwork_mag_0003,TargetCount,1,202603020
e,artwork_sum_0001_01,artwork_sum_0001,All,,202603020
e,artwork_sum_0001_02,artwork_sum_0001,TargetCount,1,202603020
e,artwork_sum_0002_01,artwork_sum_0002,All,,202603020
e,artwork_sum_0002_02,artwork_sum_0002,TargetCount,3,202603020
e,artwork_sum_0003_01,artwork_sum_0003,All,,202603020
e,artwork_sum_0003_02,artwork_sum_0003,TargetCount,1,202603020
e,artwork_osh_0001_01,artwork_osh_0001,All,,202603020
e,artwork_osh_0001_02,artwork_osh_0001,TargetCount,1,202603020
e,artwork_osh_0002_01,artwork_osh_0002,All,,202603020
e,artwork_osh_0002_02,artwork_osh_0002,TargetCount,1,202603020
e,artwork_osh_0003_01,artwork_osh_0003,All,,202603020
e,artwork_osh_0003_02,artwork_osh_0003,TargetCount,3,202603020
e,artwork_tutorial_0001_01,artwork_tutorial_0001,All,,202603020
e,artwork_tutorial_0001_02,artwork_tutorial_0001,TargetCount,1,202603020
e,artwork_event_kai_0001_01,artwork_event_kai_0001,Series,kai,202603020
e,artwork_event_kai_0001_02,artwork_event_kai_0001,TargetCount,10,202603020
e,artwork_event_kai_0002_01,artwork_event_kai_0002,Series,kai,202603020
e,artwork_event_kai_0002_02,artwork_event_kai_0002,TargetCount,10,202603020
e,artwork_event_spy_0001_01,artwork_event_spy_0001,Series,spy,202603020
e,artwork_event_spy_0001_02,artwork_event_spy_0001,TargetCount,10,202603020
e,artwork_event_spy_0002_01,artwork_event_spy_0002,Series,spy,202603020
e,artwork_event_spy_0002_02,artwork_event_spy_0002,TargetCount,10,202603020
e,artwork_event_dan_0001_01,artwork_event_dan_0001,Series,dan,202603020
e,artwork_event_dan_0001_02,artwork_event_dan_0001,TargetCount,10,202603020
e,artwork_event_dan_0002_01,artwork_event_dan_0002,Series,dan,202603020
e,artwork_event_dan_0002_02,artwork_event_dan_0002,TargetCount,10,202603020
e,artwork_event_mag_0001_01,artwork_event_mag_0001,Series,mag,202603020
e,artwork_event_mag_0001_02,artwork_event_mag_0001,TargetCount,10,202603020
e,artwork_event_mag_0002_01,artwork_event_mag_0002,Series,mag,202603020
e,artwork_event_mag_0002_02,artwork_event_mag_0002,TargetCount,10,202603020
e,artwork_event_yuw_0001_01,artwork_event_yuw_0001,Series,yuw,202603020
e,artwork_event_yuw_0001_02,artwork_event_yuw_0001,TargetCount,10,202603020
e,artwork_event_yuw_0002_01,artwork_event_yuw_0002,All,,202603020
