ENABLE,id,mst_quest_id,mst_unit_id,coin_bonus_rate,start_at,end_at,release_key
e,1,13,chara_gom_00001,0.1,"2024-01-01 0:00:00","2029-10-01 15:00:00",1
e,2,13,chara_dan_00001,0.1,"2024-01-01 0:00:01","2029-10-01 15:00:00",1
e,3,13,chara_jig_00101,0.1,"2024-01-01 0:00:02","2029-10-01 15:00:00",1
e,4,13,chara_sur_00001,0.2,"2024-01-01 0:00:03","2029-10-01 15:00:00",1
e,5,13,chara_jig_00001,0.2,"2024-01-01 0:00:04","2029-10-01 15:00:00",1
e,6,13,chara_dan_00002,0.2,"2024-01-01 0:00:05","2029-10-01 15:00:00",1
e,7,13,chara_gom_00101,0.3,"2024-01-01 0:00:06","2029-10-01 15:00:00",1
e,8,13,chara_gom_00201,0.3,"2024-01-01 0:00:07","2029-10-01 15:00:00",1
e,9,13,chara_dan_00101,0.3,"2024-01-01 0:00:08","2029-10-01 15:00:00",1
e,10,13,chara_rik_00001,0.4,"2024-01-01 0:00:00","2029-10-01 15:00:00",1
e,11,13,chara_rik_00101,0.4,"2024-01-01 0:00:00","2025-10-01 15:00:00",1
e,12,13,chara_rik_00101,0.6,"2025-01-02 0:00:00","2029-10-01 15:00:00",1
