ENABLE,id,release_key,condition_value,bonus_point,bonus_type
e,default_timebonus_1,202509010,30000,10,ClearTime
e,default_timebonus_2,202509010,40000,9,ClearTime
e,default_timebonus_3,202509010,50000,8,ClearTime
e,default_timebonus_4,202509010,60000,7,ClearTime
e,default_timebonus_5,202509010,70000,6,ClearTime
e,default_timebonus_6,202509010,80000,5,ClearTime
e,default_timebonus_7,202509010,90000,4,ClearTime
e,default_timebonus_8,202509010,100000,3,ClearTime
e,default_timebonus_9,202509010,120000,2,ClearTime
e,default_timebonus_10,202509010,140000,1,ClearTime
e,default_bronze_upper,202509010,Bronze,20,WinUpperBonus
e,default_bronze_same,202509010,Bronze,10,WinSameBonus
e,default_bronze_lower,202509010,Bronze,5,WinLowerBonus
e,default_silver_upper,202509010,Silver,20,WinUpperBonus
e,default_silver_same,202509010,Silver,10,WinSameBonus
e,default_silver_lower,202509010,Silver,5,WinLowerBonus
e,default_gold_upper,202509010,Gold,20,WinUpperBonus
e,default_gold_same,202509010,Gold,10,WinSameBonus
e,default_gold_lower,202509010,Gold,5,WinLowerBonus
e,default_platinum_upper,202509010,Platinum,20,WinUpperBonus
e,default_platinum_same,202509010,Platinum,10,WinSameBonus
e,default_platinum_lower,202509010,Platinum,5,WinLowerBonus
