ENABLE,release_key,id,mst_artwork_fragment_id,position
e,1,dan_b_0001,dan_b_0001,1
e,1,dan_b_0002,dan_b_0002,2
e,1,dan_b_0003,dan_b_0003,3
e,1,dan_b_0004,dan_b_0004,4
e,1,dan_b_0005,dan_b_0005,5
e,1,dan_b_0006,dan_b_0006,6
e,1,dan_b_0007,dan_b_0007,7
e,1,dan_b_0008,dan_b_0008,8
e,1,dan_b_0009,dan_b_0009,9
e,1,dan_b_0010,dan_b_0010,10
e,1,dan_b_0011,dan_b_0011,11
e,1,dan_b_0012,dan_b_0012,12
e,1,dan_b_0013,dan_b_0013,13
e,1,dan_b_0014,dan_b_0014,14
e,1,dan_b_0015,dan_b_0015,15
e,1,dan_b_0016,dan_b_0016,16
e,1,dan_c_0001,dan_c_0001,1
e,1,dan_c_0002,dan_c_0002,2
e,1,dan_c_0003,dan_c_0003,3
e,1,dan_c_0004,dan_c_0004,4
e,1,dan_c_0005,dan_c_0005,5
e,1,dan_c_0006,dan_c_0006,6
e,1,dan_c_0007,dan_c_0007,7
e,1,dan_c_0008,dan_c_0008,8
e,1,dan_c_0009,dan_c_0009,9
e,1,dan_c_0010,dan_c_0010,10
e,1,dan_c_0011,dan_c_0011,11
e,1,dan_c_0012,dan_c_0012,12
e,1,dan_c_0013,dan_c_0013,13
e,1,dan_c_0014,dan_c_0014,14
e,1,dan_c_0015,dan_c_0015,15
e,1,dan_c_0016,dan_c_0016,16
e,1,dan_d_0001,dan_d_0001,1
e,1,dan_d_0002,dan_d_0002,2
e,1,dan_d_0003,dan_d_0003,3
e,1,dan_d_0004,dan_d_0004,4
e,1,dan_d_0005,dan_d_0005,5
e,1,dan_d_0006,dan_d_0006,6
e,1,dan_d_0007,dan_d_0007,7
e,1,dan_d_0008,dan_d_0008,8
e,1,dan_d_0009,dan_d_0009,9
e,1,dan_d_0010,dan_d_0010,10
e,1,dan_d_0011,dan_d_0011,11
e,1,dan_d_0012,dan_d_0012,12
e,1,dan_d_0013,dan_d_0013,13
e,1,dan_d_0014,dan_d_0014,14
e,1,dan_d_0015,dan_d_0015,15
e,1,dan_d_0016,dan_d_0016,16
e,1,dan_e_0001,dan_e_0001,1
e,1,dan_e_0002,dan_e_0002,2
e,1,dan_e_0003,dan_e_0003,3
e,1,dan_e_0004,dan_e_0004,4
e,1,dan_e_0005,dan_e_0005,5
e,1,dan_e_0006,dan_e_0006,6
e,1,dan_e_0007,dan_e_0007,7
e,1,dan_e_0008,dan_e_0008,8
e,1,dan_e_0009,dan_e_0009,9
e,1,dan_e_0010,dan_e_0010,10
e,1,dan_e_0011,dan_e_0011,11
e,1,dan_e_0012,dan_e_0012,12
e,1,dan_e_0013,dan_e_0013,13
e,1,dan_e_0014,dan_e_0014,14
e,1,dan_e_0015,dan_e_0015,15
e,1,dan_e_0016,dan_e_0016,16
e,1,dan_f_0001,dan_f_0001,1
e,1,dan_f_0002,dan_f_0002,2
e,1,dan_f_0003,dan_f_0003,3
e,1,dan_f_0004,dan_f_0004,4
e,1,dan_f_0005,dan_f_0005,5
e,1,dan_f_0006,dan_f_0006,6
e,1,dan_f_0007,dan_f_0007,7
e,1,dan_f_0008,dan_f_0008,8
e,1,dan_f_0009,dan_f_0009,9
e,1,dan_f_0010,dan_f_0010,10
e,1,dan_f_0011,dan_f_0011,11
e,1,dan_f_0012,dan_f_0012,12
e,1,dan_f_0013,dan_f_0013,13
e,1,dan_f_0014,dan_f_0014,14
e,1,dan_f_0015,dan_f_0015,15
e,1,dan_f_0016,dan_f_0016,16
e,1,gom_b_0001,gom_b_0001,1
e,1,gom_b_0002,gom_b_0002,2
e,1,gom_b_0003,gom_b_0003,3
e,1,gom_b_0004,gom_b_0004,4
e,1,gom_b_0005,gom_b_0005,5
e,1,gom_b_0006,gom_b_0006,6
e,1,gom_b_0007,gom_b_0007,7
e,1,gom_b_0008,gom_b_0008,8
e,1,gom_b_0009,gom_b_0009,9
e,1,gom_b_0010,gom_b_0010,10
e,1,gom_b_0011,gom_b_0011,11
e,1,gom_b_0012,gom_b_0012,12
e,1,gom_b_0013,gom_b_0013,13
e,1,gom_b_0014,gom_b_0014,14
e,1,gom_b_0015,gom_b_0015,15
e,1,gom_b_0016,gom_b_0016,16
e,1,gom_c_0001,gom_c_0001,1
e,1,gom_c_0002,gom_c_0002,2
e,1,gom_c_0003,gom_c_0003,3
e,1,gom_c_0004,gom_c_0004,4
e,1,gom_c_0005,gom_c_0005,5
e,1,gom_c_0006,gom_c_0006,6
