ENABLE,id,mst_unit_id,grade_level,resource_type,resource_id,resource_amount,release_key
e,chara_spy_00001,chara_spy_00001,5,Artwork,artwork_chara_spy_00001,1,202603020
e,chara_spy_00101,chara_spy_00101,5,Artwork,artwork_chara_spy_00101,1,202603020
e,chara_spy_00201,chara_spy_00201,5,Artwork,artwork_chara_spy_00201,1,202603020
e,chara_spy_00501,chara_spy_00501,5,Artwork,artwork_chara_spy_00501,1,202603020
e,chara_dan_00002,chara_dan_00002,5,Artwork,artwork_chara_dan_00002,1,202603020
e,chara_dan_00202,chara_dan_00202,5,Artwork,artwork_chara_dan_00202,1,202603020
e,chara_gom_00001,chara_gom_00001,5,Artwork,artwork_chara_gom_00001,1,202603020
e,chara_chi_00002,chara_chi_00002,5,Artwork,artwork_chara_chi_00002,1,202603020
e,chara_kai_00002,chara_kai_00002,5,Artwork,artwork_chara_kai_00002,1,202603020
e,chara_kai_00102,chara_kai_00102,5,Artwork,artwork_chara_kai_00102,1,202603020
e,chara_kai_00201,chara_kai_00201,5,Artwork,artwork_chara_kai_00201,1,202603020
e,chara_kai_00701,chara_kai_00701,5,Artwork,artwork_chara_kai_00701,1,202603025
e,chara_yuw_00001,chara_yuw_00001,5,Artwork,artwork_chara_yuw_00001,1,202603020
e,chara_yuw_00101,chara_yuw_00101,5,Artwork,artwork_chara_yuw_00101,1,202603020
e,chara_yuw_00102,chara_yuw_00102,5,Artwork,artwork_chara_yuw_00102,1,202603020
e,chara_yuw_00301,chara_yuw_00301,5,Artwork,artwork_chara_yuw_00301,1,202603020
e,chara_yuw_00401,chara_yuw_00401,5,Artwork,artwork_chara_yuw_00401,1,202603020
e,chara_sur_00101,chara_sur_00101,5,Artwork,artwork_chara_sur_00101,1,202603020
e,chara_sur_00501,chara_sur_00501,5,Artwork,artwork_chara_sur_00501,1,202603020
e,chara_sur_00901,chara_sur_00901,5,Artwork,artwork_chara_sur_00901,1,202603020
e,chara_tak_00001,chara_tak_00001,5,Artwork,artwork_chara_tak_00001,1,202603020
e,chara_jig_00001,chara_jig_00001,5,Artwork,artwork_chara_jig_00001,1,202603020
e,chara_jig_00401,chara_jig_00401,5,Artwork,artwork_chara_jig_00401,1,202603020
e,chara_mag_00001,chara_mag_00001,5,Artwork,artwork_chara_mag_00001,1,202603020
e,chara_mag_00201,chara_mag_00201,5,Artwork,artwork_chara_mag_00201,1,202603020
e,chara_sum_00101,chara_sum_00101,5,Artwork,artwork_chara_sum_00101,1,202603020
e,chara_osh_00001,chara_osh_00001,5,Artwork,artwork_chara_osh_00001,1,202603020
e,chara_osh_00101,chara_osh_00101,5,Artwork,artwork_chara_osh_00101,1,202603020
e,chara_you_00001,chara_you_00001,5,Artwork,artwork_chara_you_00001,1,202603020
e,chara_kim_00001,chara_kim_00001,5,Artwork,artwork_chara_kim_00001,1,202603020
e,chara_hut_00001,chara_hut_00001,5,Artwork,artwork_chara_hut_00001,1,202603020
