ENABLE,id,mst_artwork_id,content_type,content_id,release_key
e,artwork_event_sur_0003,artwork_event_sur_0003,PanelMission,artwork_panel_f05anniv_01,202603020
e,artwork_event_kai_0003,artwork_event_kai_0003,PanelMission,artwork_panel_f05anniv_01,202603025
e,artwork_chara_spy_00001,artwork_chara_spy_00001,UnitGrade,chara_spy_00001,202603020
e,artwork_chara_spy_00101,artwork_chara_spy_00101,UnitGrade,chara_spy_00101,202603020
e,artwork_chara_spy_00201,artwork_chara_spy_00201,UnitGrade,chara_spy_00201,202603020
e,artwork_chara_spy_00501,artwork_chara_spy_00501,UnitGrade,chara_spy_00501,202603020
e,artwork_chara_dan_00002,artwork_chara_dan_00002,UnitGrade,chara_dan_00002,202603020
e,artwork_chara_dan_00202,artwork_chara_dan_00202,UnitGrade,chara_dan_00202,202603020
e,artwork_chara_gom_00001,artwork_chara_gom_00001,UnitGrade,chara_gom_00001,202603020
e,artwork_chara_chi_00002,artwork_chara_chi_00002,UnitGrade,chara_chi_00002,202603020
e,artwork_chara_kai_00002,artwork_chara_kai_00002,UnitGrade,chara_kai_00002,202603020
e,artwork_chara_kai_00102,artwork_chara_kai_00102,UnitGrade,chara_kai_00102,202603020
e,artwork_chara_kai_00201,artwork_chara_kai_00201,UnitGrade,chara_kai_00201,202603020
e,artwork_chara_kai_00701,artwork_chara_kai_00701,UnitGrade,chara_kai_00701,202603025
e,artwork_chara_yuw_00001,artwork_chara_yuw_00001,UnitGrade,chara_yuw_00001,202603020
e,artwork_chara_yuw_00101,artwork_chara_yuw_00101,UnitGrade,chara_yuw_00101,202603020
e,artwork_chara_yuw_00102,artwork_chara_yuw_00102,UnitGrade,chara_yuw_00102,202603020
e,artwork_chara_yuw_00301,artwork_chara_yuw_00301,UnitGrade,chara_yuw_00301,202603020
e,artwork_chara_yuw_00401,artwork_chara_yuw_00401,UnitGrade,chara_yuw_00401,202603020
e,artwork_chara_sur_00101,artwork_chara_sur_00101,UnitGrade,chara_sur_00101,202603020
e,artwork_chara_sur_00501,artwork_chara_sur_00501,UnitGrade,chara_sur_00501,202603020
e,artwork_chara_sur_00901,artwork_chara_sur_00901,UnitGrade,chara_sur_00901,202603020
e,artwork_chara_tak_00001,artwork_chara_tak_00001,UnitGrade,chara_tak_00001,202603020
e,artwork_chara_jig_00001,artwork_chara_jig_00001,UnitGrade,chara_jig_00001,202603020
e,artwork_chara_jig_00401,artwork_chara_jig_00401,UnitGrade,chara_jig_00401,202603020
e,artwork_chara_mag_00001,artwork_chara_mag_00001,UnitGrade,chara_mag_00001,202603020
e,artwork_chara_mag_00201,artwork_chara_mag_00201,UnitGrade,chara_mag_00201,202603020
e,artwork_chara_sum_00101,artwork_chara_sum_00101,UnitGrade,chara_sum_00101,202603020
e,artwork_chara_osh_00001,artwork_chara_osh_00001,UnitGrade,chara_osh_00001,202603020
e,artwork_chara_osh_00101,artwork_chara_osh_00101,UnitGrade,chara_osh_00101,202603020
e,artwork_chara_you_00001,artwork_chara_you_00001,UnitGrade,chara_you_00001,202603020
e,artwork_chara_kim_00001,artwork_chara_kim_00001,UnitGrade,chara_kim_00001,202603020
e,artwork_chara_hut_00001,artwork_chara_hut_00001,UnitGrade,chara_hut_00001,202603020
