ENABLE,release_key,id,mst_unit_id,language,name,description,detail
e,1,chara_glo_00001_ja,chara_glo_00001,ja,タンクネコ,[仮]GLOWオリジナル,"テストDetail 02"
e,1,chara_glo_00002_ja,chara_glo_00002,ja,ネコ海賊,[仮]GLOWオリジナル,"テストDetail 03"
e,1,chara_glo_00101_ja,chara_glo_00101,ja,モモ,"[仮]\n宇宙人の存在は信じていないが幽霊の存在は信じている。霊媒師の祖母を持ち、幼少期に周りからそのことでからかわれたことから、祖母に対して素直な態度を取れずにいるが、実際はおばあちゃん子であり、幽霊なども信じている。\n(Wikipediaより)","テストDetail 20"
e,1,chara_glo_00102_ja,chara_glo_00102,ja,ネコ,[仮]GLOWオリジナル,"テストDetail 06"
e,1,chara_glo_00111_ja,chara_glo_00111,ja,ウシネコ,[仮]GLOWオリジナル,"テストDetail 07"
e,1,chara_glo_00112_ja,chara_glo_00112,ja,キモネコ,[仮]GLOWオリジナル,"テストDetail 08"
e,1,chara_glo_00113_ja,chara_glo_00113,ja,ネコヴァルキリー,[仮]GLOWオリジナル,"テストDetail 09"
e,1,chara_glo_00121_ja,chara_glo_00121,ja,ネコエステ,[仮]GLOWオリジナル,"テストDetail 10"
e,1,chara_glo_00122_ja,chara_glo_00122,ja,ネコトカゲ,[仮]GLOWオリジナル,"テストDetail 11"
e,1,chara_glo_00140_ja,chara_glo_00140,ja,アクア(固定ダメージ),[仮]GLOWオリジナル,"テストDetail 06"
e,1,chara_glo_00141_ja,chara_glo_00141,ja,継続回復B,[仮]GLOWオリジナル(魔改造用),"テストDetail 07"
e,1,chara_glo_00142_ja,chara_glo_00142,ja,継続回復C,[仮]GLOWオリジナル,"テストDetail 08"
e,1,chara_glo_00143_ja,chara_glo_00143,ja,継続回復D,[仮]GLOWオリジナル,"テストDetail 09"
e,1,chara_glo_00144_ja,chara_glo_00144,ja,継続回復E,[仮]GLOWオリジナル,"テストDetail 10"
e,1,chara_glo_00145_ja,chara_glo_00145,ja,継続回復F,[仮]GLOWオリジナル,"テストDetail 11"
e,1,chara_glo_00146_ja,chara_glo_00146,ja,継続回復G,[仮]GLOWオリジナル,"テストDetail 12"
e,1,chara_glo_00147_ja,chara_glo_00147,ja,継続回復H,[仮]GLOWオリジナル,"テストDetail 13"
e,1,chara_glo_00148_ja,chara_glo_00148,ja,継続回復I,[仮]GLOWオリジナル,"テストDetail 14"
e,1,chara_glo_00149_ja,chara_glo_00149,ja,継続回復J,[仮]GLOWオリジナル,"テストDetail 15"
e,1,chara_sur_00001_ja,chara_sur_00001,ja,ネコアーチャー,[仮]GLOWオリジナル,"テストDetail 12"
e,1,chara_glo_00131_ja,chara_glo_00131,ja,"和倉 優希","[仮]\n高校3年生の時に魔都へと迷い込み、醜鬼に襲われていたところを京香に助けられ、奴隷 兼 魔防隊の管理人に。家事全般が得意。\n(アニメ公式より)","テストDetail 13"
e,1,chara_glo_00132_ja,chara_glo_00132,ja,ねねこ,[仮]GLOWオリジナル,"テストDetail 14"
e,1,chara_sur_00501_ja,chara_sur_00501,ja,"出雲 天花","[仮]test text",テストDetail
e,1,chara_sur_00801_ja,chara_sur_00801,ja,和倉優希（変身）,"[仮]test text",テストDetail
e,1,chara_yuw_00301_ja,chara_yuw_00301,ja,乃愛,"[仮]test text",テストDetail
e,1,chara_yuw_00401_ja,chara_yuw_00401,ja,"喜咲 アリア","[仮]test text",テストDetail
e,1,chara_yuw_00201_ja,chara_yuw_00201,ja,"羽生 まゆり","[仮]test text",テストDetail
e,1,chara_yuw_00501_ja,chara_yuw_00501,ja,753,"[仮]test text",テストDetail
e,1,chara_yuw_00601_ja,chara_yuw_00601,ja,"奥村 正宗","[仮]test text",テストDetail
e,1,chara_osh_00001_ja,chara_osh_00001,ja,"星野 アイ","[仮]test text",テストDetail
e,1,chara_osh_00101_ja,chara_osh_00101,ja,"星野 アクア","[仮]test text",テストDetail
e,1,chara_osh_00201_ja,chara_osh_00201,ja,"星野 ルビー","[仮]test text",テストDetail
e,1,chara_osh_00301_ja,chara_osh_00301,ja,MEMちょ,"[仮]test text",テストDetail
e,1,chara_osh_00401_ja,chara_osh_00401,ja,"有馬 かな","[仮]test text",テストDetail
e,1,chara_osh_00501_ja,chara_osh_00501,ja,"黒川 あかね","[仮]test text",テストDetail
e,1,chara_osh_00601_ja,chara_osh_00601,ja,ぴえヨン,"[仮]test text",テストDetail
e,1,chara_jig_00101_ja,chara_jig_00101,ja,オカルン,"オカルトマニアの男子高校生。\n幽霊は信じていないが、宇宙人は信じている。\nモモとの勝負のために心霊スポットへ向かい、\nターボババアにイチモツを奪われ、呪われてしまう。","テストDetail 05"
e,1,chara_dan_00001_ja,chara_dan_00001,ja,"山田浅ェ門 佐切","[仮]\n斬首刑などの処刑執行を務める浪人・山田家の娘。女性ながら剣技に優れるが、殺す事の業に囚われ悩む。試一刀流十二位。\n(アニメ公式より)","テストDetail 04"
e,1,chara_gom_00001_ja,chara_gom_00001,ja,姫様,"王女にして、国王軍第三騎士団の騎士団長。\n数々の戦場を生き抜き、多くの武勲をあげてきた。\n現在は魔王軍に囚われの身となり、拷問を受ける日々を送っている。\n厳しい教育と鍛錬を重ねた誇り高い孤高の騎士に見えるが……！？","テストDetail 01"
e,1,chara_dan_00001_ja,chara_dan_00001,ja,オカルン,"オカルトマニアの男子高校生。\n幽霊は信じていないが、宇宙人は信じている。怪奇現象オタクでターボババアに呪われてしまう。呪いを解くために、ターボババアと追いかけっこをするはめになる。",序盤で使いやすいデフェンスキャラ！ある程度の体力と防御性能を持ち、前線で味方を守る役割に特化！
e,1,chara_dan_00002_ja,chara_dan_00002,ja,"ターボババアの霊力 オカルン","オカルトマニアの男子高校生。\n幽霊は信じていないが、宇宙人は信じている。怪奇現象オタクでターボババアに呪われ、変身した姿。",高速移動で前線に即参戦！連続攻撃の必殺ワザで複数の敵を一掃！突風無効＆パワーUPコマを活かして火力を最大化！
e,1,chara_dan_00101_ja,chara_dan_00101,ja,モモ,"霊媒師の家系の女子高生で、宇宙人は信じていないが幽霊は信じている。\n宇宙人にさらわれた時に超能力に目覚める。呪われたオカルンとともにターボババアと決着をつける。",テスト
e,1,chara_dan_00101_01_ja,chara_dan_00101_01,ja,モモA,"霊媒師の家系の女子高生で、宇宙人は信じていないが幽霊は信じている。\n宇宙人にさらわれた時に超能力に目覚める。呪われたオカルンとともにターボババアと決着をつける。",テスト
e,1,chara_dan_00101_02_ja,chara_dan_00101_02,ja,モモB,"霊媒師の家系の女子高生で、宇宙人は信じていないが幽霊は信じている。\n宇宙人にさらわれた時に超能力に目覚める。呪われたオカルンとともにターボババアと決着をつける。",テスト
e,1,chara_dan_00101_03_ja,chara_dan_00101_03,ja,モモC,"霊媒師の家系の女子高生で、宇宙人は信じていないが幽霊は信じている。\n宇宙人にさらわれた時に超能力に目覚める。呪われたオカルンとともにターボババアと決着をつける。",テスト
e,1,chara_dan_00101_04_ja,chara_dan_00101_04,ja,モモD,"霊媒師の家系の女子高生で、宇宙人は信じていないが幽霊は信じている。\n宇宙人にさらわれた時に超能力に目覚める。呪われたオカルンとともにターボババアと決着をつける。",テスト
e,1,chara_dan_00101_05_ja,chara_dan_00101_05,ja,モモE,"霊媒師の家系の女子高生で、宇宙人は信じていないが幽霊は信じている。\n宇宙人にさらわれた時に超能力に目覚める。呪われたオカルンとともにターボババアと決着をつける。",テスト
e,1,chara_dan_00101_06_ja,chara_dan_00101_06,ja,モモF,"霊媒師の家系の女子高生で、宇宙人は信じていないが幽霊は信じている。\n宇宙人にさらわれた時に超能力に目覚める。呪われたオカルンとともにターボババアと決着をつける。",テスト
e,1,chara_dan_00101_07_ja,chara_dan_00101_07,ja,モモG,"霊媒師の家系の女子高生で、宇宙人は信じていないが幽霊は信じている。\n宇宙人にさらわれた時に超能力に目覚める。呪われたオカルンとともにターボババアと決着をつける。",テスト
e,1,chara_dan_00101_08_ja,chara_dan_00101_08,ja,モモH,"霊媒師の家系の女子高生で、宇宙人は信じていないが幽霊は信じている。\n宇宙人にさらわれた時に超能力に目覚める。呪われたオカルンとともにターボババアと決着をつける。",テスト
e,1,chara_dan_00101_09_ja,chara_dan_00101_09,ja,モモI,"霊媒師の家系の女子高生で、宇宙人は信じていないが幽霊は信じている。\n宇宙人にさらわれた時に超能力に目覚める。呪われたオカルンとともにターボババアと決着をつける。",テスト
e,1,chara_dan_00101_10_ja,chara_dan_00101_10,ja,モモJ,"霊媒師の家系の女子高生で、宇宙人は信じていないが幽霊は信じている。\n宇宙人にさらわれた時に超能力に目覚める。呪われたオカルンとともにターボババアと決着をつける。",テスト
e,1,chara_dan_00101_11_ja,chara_dan_00101_11,ja,モモK,"霊媒師の家系の女子高生で、宇宙人は信じていないが幽霊は信じている。\n宇宙人にさらわれた時に超能力に目覚める。呪われたオカルンとともにターボババアと決着をつける。",テスト
e,1,chara_dan_00101_12_ja,chara_dan_00101_12,ja,モモL,"霊媒師の家系の女子高生で、宇宙人は信じていないが幽霊は信じている。\n宇宙人にさらわれた時に超能力に目覚める。呪われたオカルンとともにターボババアと決着をつける。",テスト
e,1,chara_dan_00101_13_ja,chara_dan_00101_13,ja,モモM,"霊媒師の家系の女子高生で、宇宙人は信じていないが幽霊は信じている。\n宇宙人にさらわれた時に超能力に目覚める。呪われたオカルンとともにターボババアと決着をつける。",テスト
e,1,chara_gom_00001_ja,chara_gom_00001,ja,"囚われの王女 姫様","王女にして、国王軍第三騎士団の騎士団長。\n数々の戦場を生き抜き、多くの武勲をあげてきた。現在は魔王軍に囚われの身となり、拷問を受ける日々を送っている。厳しい教育と鍛錬を重ねた誇り高い孤高の騎士に見えるが……！？",耐久性に特化したディフェンスキャラ！ダメージコマ無効化とダメージカットの必殺ワザで高耐久！長期戦に強く、根性で致命的な攻撃にも耐えられる！
