ENABLE,id,release_key,criterion_type,criterion_value,criterion_count,unlock_criterion_type,unlock_criterion_value,unlock_criterion_count,group_key,mst_mission_reward_group_id,sort_order,destination_scene
e,achievement_1,1,LoginCount,,1,__NULL__,,0,,achievement_reward_1,1,Home
e,achievement_2,1,LoginCount,,2,__NULL__,,0,,achievement_reward_2,2,Home
e,achievement_3,1,LoginCount,,3,__NULL__,,0,,achievement_reward_3,3,Home
e,achievement_4,1,LoginCount,,4,__NULL__,,0,,achievement_reward_4,4,Home
e,achievement_5,1,LoginCount,,5,__NULL__,,0,,achievement_reward_5,5,Home
e,achievement_6,1,LoginCount,,6,__NULL__,,0,,achievement_reward_6,6,Home
e,achievement_7,1,LoginCount,,7,__NULL__,,0,,achievement_reward_7,7,Home
e,achievement_8,1,SpecificStageClearCount,1,1,__NULL__,,0,,achievement_reward_8,8,StageSelect
e,achievement_9,1,SpecificStageClearCount,2,1,__NULL__,,0,,achievement_reward_9,9,StageSelect
e,achievement_10,1,SpecificStageClearCount,3,1,__NULL__,,0,,achievement_reward_10,10,StageSelect
e,achievement_11,1,SpecificStageClearCount,4,1,__NULL__,,0,,achievement_reward_11,11,StageSelect
e,achievement_12,1,SpecificStageClearCount,5,1,__NULL__,,0,,achievement_reward_12,12,StageSelect
e,achievement_13,1,SpecificStageClearCount,6,1,__NULL__,,0,,achievement_reward_13,13,StageSelect
e,achievement_14,1,SpecificStageClearCount,7,1,__NULL__,,0,,achievement_reward_14,14,StageSelect
e,achievement_15,1,SpecificStageClearCount,8,1,__NULL__,,0,,achievement_reward_15,15,StageSelect
e,achievement_16,1,SpecificStageClearCount,9,1,__NULL__,,0,,achievement_reward_16,16,StageSelect
e,achievement_17,1,SpecificStageClearCount,10,1,__NULL__,,0,,achievement_reward_17,17,StageSelect
e,achievement_18,1,SpecificStageClearCount,11,1,__NULL__,,0,,achievement_reward_18,18,StageSelect
e,achievement_19,1,SpecificStageClearCount,12,1,__NULL__,,0,,achievement_reward_19,19,StageSelect
e,achievement_20,1,SpecificStageClearCount,13,1,__NULL__,,0,,achievement_reward_20,20,StageSelect
e,achievement_21,1,SpecificStageClearCount,14,1,__NULL__,,0,,achievement_reward_21,21,StageSelect
e,achievement_22,1,UnitLevelUpCount,,1,__NULL__,,0,,achievement_reward_22,22,UnitList
e,achievement_23,1,UnitLevelUpCount,,5,__NULL__,,0,,achievement_reward_23,23,UnitList
e,achievement_24,1,UnitLevelUpCount,,10,__NULL__,,0,,achievement_reward_24,24,UnitList
e,achievement_25,1,UnitLevelUpCount,,30,__NULL__,,0,,achievement_reward_25,25,UnitList
e,achievement_26,1,UnitLevelUpCount,,50,__NULL__,,0,,achievement_reward_26,26,UnitList
e,achievement_27,1,UnitLevelUpCount,,70,__NULL__,,0,,achievement_reward_27,27,UnitList
e,achievement_28,1,UnitLevelUpCount,,100,__NULL__,,0,,achievement_reward_28,28,UnitList
e,achievement_29,1,UnitLevelUpCount,,150,__NULL__,,0,,achievement_reward_29,29,UnitList
e,achievement_30,1,UnitLevelUpCount,,200,__NULL__,,0,,achievement_reward_30,30,UnitList
