ENABLE,id,rarity,grade_level,mst_series_id,mst_artwork_id,release_key
e,spy_01,R,2,spy,,202603020
e,spy_02,R,3,spy,,202603020
e,spy_03,R,4,spy,,202603020
e,spy_04,R,5,spy,,202603020
e,spy_05,SR,2,spy,,202603020
e,spy_06,SR,3,spy,,202603020
e,spy_07,SR,4,spy,,202603020
e,spy_08,SR,5,spy,,202603020
e,spy_09,SSR,2,spy,,202603020
e,spy_010,SSR,3,spy,,202603020
e,spy_011,SSR,4,spy,,202603020
e,spy_012,SSR,5,spy,,202603020
e,aka_01,R,2,aka,,202603020
e,aka_02,R,3,aka,,202603020
e,aka_03,R,4,aka,,202603020
e,aka_04,R,5,aka,,202603020
e,aka_05,SR,2,aka,,202603020
e,aka_06,SR,3,aka,,202603020
e,aka_07,SR,4,aka,,202603020
e,aka_08,SR,5,aka,,202603020
e,aka_09,SSR,2,aka,,202603020
e,aka_010,SSR,3,aka,,202603020
e,aka_011,SSR,4,aka,,202603020
e,aka_012,SSR,5,aka,,202603020
e,rik_01,R,2,rik,,202603020
e,rik_02,R,3,rik,,202603020
e,rik_03,R,4,rik,,202603020
e,rik_04,R,5,rik,,202603020
e,rik_05,SR,2,rik,,202603020
e,rik_06,SR,3,rik,,202603020
e,rik_07,SR,4,rik,,202603020
e,rik_08,SR,5,rik,,202603020
e,rik_09,SSR,2,rik,,202603020
e,rik_010,SSR,3,rik,,202603020
e,rik_011,SSR,4,rik,,202603020
e,rik_012,SSR,5,rik,,202603020
e,dan_01,R,2,dan,,202603020
e,dan_02,R,3,dan,,202603020
e,dan_03,R,4,dan,,202603020
e,dan_04,R,5,dan,,202603020
e,dan_05,SR,2,dan,,202603020
e,dan_06,SR,3,dan,,202603020
e,dan_07,SR,4,dan,,202603020
e,dan_08,SR,5,dan,,202603020
e,dan_09,SSR,2,dan,,202603020
e,dan_010,SSR,3,dan,,202603020
e,dan_011,SSR,4,dan,,202603020
e,dan_012,SSR,5,dan,,202603020
e,gom_01,R,2,gom,,202603020
e,gom_02,R,3,gom,,202603020
e,gom_03,R,4,gom,,202603020
e,gom_04,R,5,gom,,202603020
e,gom_05,SR,2,gom,,202603020
e,gom_06,SR,3,gom,,202603020
e,gom_07,SR,4,gom,,202603020
e,gom_08,SR,5,gom,,202603020
e,gom_09,SSR,2,gom,,202603020
e,gom_010,SSR,3,gom,,202603020
e,gom_011,SSR,4,gom,,202603020
e,gom_012,SSR,5,gom,,202603020
e,chi_01,R,2,chi,,202603020
e,chi_02,R,3,chi,,202603020
e,chi_03,R,4,chi,,202603020
e,chi_04,R,5,chi,,202603020
e,chi_05,SR,2,chi,,202603020
e,chi_06,SR,3,chi,,202603020
e,chi_07,SR,4,chi,,202603020
e,chi_08,SR,5,chi,,202603020
e,chi_09,SSR,2,chi,,202603020
e,chi_010,SSR,3,chi,,202603020
e,chi_011,SSR,4,chi,,202603020
e,chi_012,SSR,5,chi,,202603020
e,mag_01,R,2,mag,,202603020
e,mag_02,R,3,mag,,202603020
e,mag_03,R,4,mag,,202603020
e,mag_04,R,5,mag,,202603020
e,mag_05,SR,2,mag,,202603020
e,mag_06,SR,3,mag,,202603020
e,mag_07,SR,4,mag,,202603020
e,mag_08,SR,5,mag,,202603020
e,mag_09,SSR,2,mag,,202603020
e,mag_010,SSR,3,mag,,202603020
e,mag_011,SSR,4,mag,,202603020
e,mag_012,SSR,5,mag,,202603020
e,kai_01,R,2,kai,,202603020
e,kai_02,R,3,kai,,202603020
e,kai_03,R,4,kai,,202603020
e,kai_04,R,5,kai,,202603020
e,kai_05,SR,2,kai,,202603020
e,kai_06,SR,3,kai,,202603020
e,kai_07,SR,4,kai,,202603020
e,kai_08,SR,5,kai,,202603020
e,kai_09,SSR,2,kai,,202603020
e,kai_010,SSR,3,kai,,202603020
e,kai_011,SSR,4,kai,,202603020
e,kai_012,SSR,5,kai,,202603020
e,yuw_01,R,2,yuw,,202603020
e,yuw_02,R,3,yuw,,202603020
e,yuw_03,R,4,yuw,,202603020
e,yuw_04,R,5,yuw,,202603020
e,yuw_05,SR,2,yuw,,202603020
e,yuw_06,SR,3,yuw,,202603020
e,yuw_07,SR,4,yuw,,202603020
e,yuw_08,SR,5,yuw,,202603020
e,yuw_09,SSR,2,yuw,,202603020
e,yuw_010,SSR,3,yuw,,202603020
e,yuw_011,SSR,4,yuw,,202603020
e,yuw_012,SSR,5,yuw,,202603020
e,sur_01,R,2,sur,,202603020
e,sur_02,R,3,sur,,202603020
e,sur_03,R,4,sur,,202603020
e,sur_04,R,5,sur,,202603020
e,sur_05,SR,2,sur,,202603020
e,sur_06,SR,3,sur,,202603020
e,sur_07,SR,4,sur,,202603020
e,sur_08,SR,5,sur,,202603020
e,sur_09,SSR,2,sur,,202603020
e,sur_010,SSR,3,sur,,202603020
e,sur_011,SSR,4,sur,,202603020
e,sur_012,SSR,5,sur,,202603020
e,sum_01,R,2,sum,,202603020
e,sum_02,R,3,sum,,202603020
e,sum_03,R,4,sum,,202603020
e,sum_04,R,5,sum,,202603020
e,sum_05,SR,2,sum,,202603020
e,sum_06,SR,3,sum,,202603020
e,sum_07,SR,4,sum,,202603020
e,sum_08,SR,5,sum,,202603020
e,sum_09,SSR,2,sum,,202603020
e,sum_010,SSR,3,sum,,202603020
e,sum_011,SSR,4,sum,,202603020
e,sum_012,SSR,5,sum,,202603020
e,jig_01,R,2,jig,,202603020
e,jig_02,R,3,jig,,202603020
e,jig_03,R,4,jig,,202603020
e,jig_04,R,5,jig,,202603020
e,jig_05,SR,2,jig,,202603020
e,jig_06,SR,3,jig,,202603020
e,jig_07,SR,4,jig,,202603020
e,jig_08,SR,5,jig,,202603020
e,jig_09,SSR,2,jig,,202603020
e,jig_010,SSR,3,jig,,202603020
e,jig_011,SSR,4,jig,,202603020
e,jig_012,SSR,5,jig,,202603020
e,tak_01,R,2,tak,,202603020
e,tak_02,R,3,tak,,202603020
e,tak_03,R,4,tak,,202603020
e,tak_04,R,5,tak,,202603020
e,tak_05,SR,2,tak,,202603020
e,tak_06,SR,3,tak,,202603020
e,tak_07,SR,4,tak,,202603020
e,tak_08,SR,5,tak,,202603020
e,tak_09,SSR,2,tak,,202603020
e,tak_010,SSR,3,tak,,202603020
e,tak_011,SSR,4,tak,,202603020
e,tak_012,SSR,5,tak,,202603020
e,osh_01,R,2,osh,,202603020
