ENABLE,id,mst_pack_id,resource_type,resource_id,resource_amount,is_bonus,display_order,release_key
e,1,a2_release_pack_1,FreeDiamond,2,500,1,1,1
e,2,a2_release_pack_1,Item,memory_glo_00001,50,,2,1
e,3,a2_release_pack_2,FreeDiamond,2,1000,1,1,1
e,4,a2_release_pack_2,Item,memory_glo_00001,75,,2,1
e,5,a2_release_pack_3,FreeDiamond,2,1000,1,1,1
e,6,a2_release_pack_3,Item,box_glo_00005,40,,2,1
e,7,a2_release_pack_3,Item,box_glo_00006,20,,3,1
e,8,level_pack_1,FreeDiamond,2,300,1,1,1
e,9,level_pack_1,Item,box_glo_00005,50,,2,1
e,level_pack_1_3,level_pack_1,Item,ticket_glo_00001,10,,3,1
e,10,level_pack_2,FreeDiamond,2,500,1,1,1
e,11,level_pack_2,Item,box_glo_00006,20,,2,1
e,12,level_pack_3,FreeDiamond,2,750,1,1,1
e,13,level_pack_3,Item,box_glo_00007,10,,2,1
e,14,level_pack_4,FreeDiamond,2,750,1,1,1
e,15,level_pack_4,Item,box_glo_00008,10,,2,1
e,16,stgclear_pack_dan_1,FreeDiamond,2,100,1,1,1
e,17,stgclear_pack_dan_1,Item,box_glo_00001,20,,2,1
e,18,stgclear_pack_dan_2,FreeDiamond,2,100,1,1,1
e,19,stgclear_pack_dan_2,Item,box_glo_00005,20,,2,1
e,20,stgclear_pack_gom_1,FreeDiamond,2,100,1,1,1
e,21,stgclear_pack_gom_1,Item,box_glo_00002,20,,2,1
e,22,stgclear_pack_gom_2,FreeDiamond,2,100,1,1,1
e,23,stgclear_pack_gom_2,Item,box_glo_00006,20,,2,1
e,24,stgclear_pack_jig_1,FreeDiamond,2,300,1,1,1
e,25,stgclear_pack_jig_1,Item,box_glo_00003,20,,2,1
e,26,stgclear_pack_jig_2,FreeDiamond,2,100,1,1,1
e,27,stgclear_pack_jig_2,Item,box_glo_00007,10,,2,1
e,28,stgclear_pack_jig_2,Item,box_glo_00008,10,,3,1
e,29,stgclear_pack_sur_1,FreeDiamond,2,300,1,1,1
e,30,stgclear_pack_sur_1,Item,box_glo_00004,20,,2,1
e,112,offer_FreeDiamond150_202512015,FreeDiamond,,150,,1,1
