ENABLE,release_key,id,mst_ability_id,language,description,filter_title
e,1,ability_none_ja,ability_none,ja,なし,なし
e,1,ability_slip_damage_koma_block_ja,ability_slip_damage_koma_block,ja,ダメージコマ効果を無効化,ダメージコマ無効化
e,1,ability_attack_power_up_in_normal_koma_ja,ability_attack_power_up_in_normal_koma,ja,通常コマ時にいる間、攻撃が{0}％アップ,通常コマ時攻撃UP
e,1,ability_damage_cut_in_normal_koma_ja,ability_damage_cut_in_normal_koma,ja,通常コマ時にいる間、受けるダメージを{0}％軽減,通常コマ時ダメージ軽減
e,1,ability_move_speed_up_in_normal_koma_ja,ability_move_speed_up_in_normal_koma,ja,通常コマ時にいる間、移動速度{0}％アップ,通常コマ時移動速度UP
e,1,ability_gust_koma_block_ja,ability_gust_koma_block,ja,突風コマ効果を無効化,突風コマ無効化
e,1,ability_attack_power_up_koma_boost_ja,ability_attack_power_up_koma_boost,ja,攻撃UPコマにいる間、攻撃{0}%UP,パワーUPコマ
e,1,ability_attack_power_down_koma_block_ja,ability_attack_power_down_koma_block,ja,攻撃DOWNコマ効果を無効化,パワーDOWNコマ無効化
e,1,ability_knockback_block_ja,ability_knockback_block,ja,ノックバック効果を無効化,ノックバック無効化
e,1,ability_guts_ja,ability_guts,ja,撃破される時に{0}回だけ体力を1残して耐える,根性
e,1,ability_burn_damage_cut_ja,ability_burn_damage_cut,ja,火傷ダメージを{0}%軽減,火傷ダメージ軽減
e,1,ability_poison_damage_cut_ja,ability_poison_damage_cut,ja,毒ダメージを{0}%軽減,毒ダメージ軽減
e,1,ability_StunBlock_ja,ability_StunBlock,ja,{0}%の確率でスタンを無効化,スタン攻撃無効化
e,1,ability_FreezeBlock_ja,ability_FreezeBlock,ja,{0}%の確率で氷結を無効化,氷結攻撃無効化
e,1,ability_attack_power_up_by_hp_percentage_over_ja,ability_attack_power_up_by_hp_percentage_over,ja,最大HP{1}%以上時攻撃力{0}%アップ,HP条件強化(以上/攻撃)
e,1,ability_attack_power_up_by_hp_percentage_less_ja,ability_attack_power_up_by_hp_percentage_less,ja,最大HP{1}%以下時攻撃力{0}%アップ,HP条件強化(以下/攻撃)
e,1,ability_damage_cut_by_hp_percentage_over_ja,ability_damage_cut_by_hp_percentage_over,ja,最大HP{1}%以上時受けるダメージを{0}%軽減,HP条件強化(以上/被ダメージ)
e,1,ability_damage_cut_by_hp_percentage_less_ja,ability_damage_cut_by_hp_percentage_less,ja,最大HP{1}%以下時受けるダメージを{0}%軽減,HP条件強化(以下/被ダメージ)
e,1,ability_WeakeningBlock_ja,ability_WeakeningBlock,ja,弱体化を無効化,弱体化無効化
