ENABLE,id,unit_label,rank,amount,require_level,sr_memory_fragment_amount,ssr_memory_fragment_amount,ur_memory_fragment_amount,release_key
e,1,DropR,1,999999,20,0,0,0,1
e,2,DropR,2,250,30,0,0,0,1
e,3,DropR,3,300,40,5,0,0,1
e,4,DropR,4,350,50,10,0,0,1
e,5,DropR,5,400,60,15,3,0,1
e,6,DropR,6,450,70,20,5,0,1
e,10,DropSR,1,200,20,0,0,0,1
e,11,DropSR,2,250,30,0,0,0,1
e,12,DropSR,3,300,40,5,0,0,1
e,13,DropSR,4,350,50,10,0,0,1
e,14,DropSR,5,400,60,15,3,0,1
e,15,DropSR,6,450,70,20,5,0,1
e,19,DropSSR,1,200,20,0,0,0,1
e,20,DropSSR,2,250,30,0,0,0,1
e,21,DropSSR,3,300,40,5,0,0,1
e,22,DropSSR,4,350,50,10,0,0,1
e,23,DropSSR,5,400,60,15,3,0,1
e,24,DropSSR,6,450,70,20,5,0,1
e,28,PremiumR,1,999999,20,0,0,0,1
e,29,PremiumR,2,250,30,0,0,0,1
e,30,PremiumR,3,300,40,5,0,0,1
e,31,PremiumR,4,350,50,10,0,0,1
e,32,PremiumR,5,400,60,15,3,0,1
e,33,PremiumR,6,450,70,20,5,0,1
e,37,PremiumSR,1,200,20,0,0,0,1
e,38,PremiumSR,2,250,30,0,0,0,1
e,39,PremiumSR,3,300,40,5,0,0,1
e,40,PremiumSR,4,350,50,10,0,0,1
e,41,PremiumSR,5,400,60,15,3,0,1
e,42,PremiumSR,6,450,70,20,5,0,1
e,46,PremiumSSR,1,200,20,0,0,0,1
e,47,PremiumSSR,2,250,30,0,0,0,1
e,48,PremiumSSR,3,300,40,5,0,0,1
e,49,PremiumSSR,4,350,50,10,0,0,1
e,50,PremiumSSR,5,400,60,15,3,0,1
e,51,PremiumSSR,6,450,70,20,5,0,1
e,55,PremiumUR,1,200,20,0,0,0,1
e,56,PremiumUR,2,250,30,0,0,0,1
e,57,PremiumUR,3,300,40,5,0,0,1
e,58,PremiumUR,4,350,50,10,0,0,1
e,59,PremiumUR,5,400,60,15,3,0,1
e,60,PremiumUR,6,450,70,20,5,0,1
e,64,FestivalUR,1,200,20,0,0,0,1
e,65,FestivalUR,2,250,30,0,0,0,1
e,66,FestivalUR,3,300,40,5,0,0,1
e,67,FestivalUR,4,350,50,10,0,0,1
e,68,FestivalUR,5,400,60,15,3,0,1
e,69,FestivalUR,6,450,70,20,5,0,1
