ENABLE,id,mst_advent_battle_id,rank_type,rank_level,required_lower_score,asset_key,release_key
e,advent_battle_test_rank_1,advent_battle_test,Bronze,1,5000,,1
e,advent_battle_test_rank_2,advent_battle_test,Bronze,2,10000,,1
e,advent_battle_test_rank_3,advent_battle_test,Bronze,3,15000,,1
e,advent_battle_test_rank_4,advent_battle_test,Bronze,4,20000,,1
e,advent_battle_test_rank_5,advent_battle_test,Silver,1,30000,,1
e,advent_battle_test_rank_6,advent_battle_test,Silver,2,40000,,1
e,advent_battle_test_rank_7,advent_battle_test,Silver,3,50000,,1
e,advent_battle_test_rank_8,advent_battle_test,Silver,4,60000,,1
e,advent_battle_test_rank_9,advent_battle_test,Gold,1,100000,,1
e,advent_battle_test_rank_10,advent_battle_test,Gold,2,140000,,1
e,advent_battle_test_rank_11,advent_battle_test,Gold,3,180000,,1
e,advent_battle_test_rank_12,advent_battle_test,Gold,4,200000,,1
e,advent_battle_test_rank_13,advent_battle_test,Master,1,300000,,1
e,advent_battle_test_rank_14,advent_battle_test,Master,2,400000,,1
e,advent_battle_test_rank_15,advent_battle_test,Master,3,500000,,1
e,advent_battle_test_rank_16,advent_battle_test,Master,4,600000,,1
e,quest_raid_kai_00001_rank_01,quest_raid_kai_00001,Bronze,1,1000,,1
e,quest_raid_kai_00001_rank_02,quest_raid_kai_00001,Bronze,2,2000,,1
e,quest_raid_kai_00001_rank_03,quest_raid_kai_00001,Bronze,3,3000,,1
e,quest_raid_kai_00001_rank_04,quest_raid_kai_00001,Bronze,4,4000,,1
e,quest_raid_kai_00001_rank_05,quest_raid_kai_00001,Silver,1,5000,,1
e,quest_raid_kai_00001_rank_06,quest_raid_kai_00001,Silver,2,7500,,1
e,quest_raid_kai_00001_rank_07,quest_raid_kai_00001,Silver,3,10000,,1
e,quest_raid_kai_00001_rank_08,quest_raid_kai_00001,Silver,4,12500,,1
e,quest_raid_kai_00001_rank_09,quest_raid_kai_00001,Gold,1,15000,,1
e,quest_raid_kai_00001_rank_10,quest_raid_kai_00001,Gold,2,30000,,1
e,quest_raid_kai_00001_rank_11,quest_raid_kai_00001,Gold,3,50000,,1
e,quest_raid_kai_00001_rank_12,quest_raid_kai_00001,Gold,4,75000,,1
e,quest_raid_kai_00001_rank_13,quest_raid_kai_00001,Master,1,100000,,1
e,quest_raid_kai_00001_rank_14,quest_raid_kai_00001,Master,2,250000,,1
e,quest_raid_kai_00001_rank_15,quest_raid_kai_00001,Master,3,500000,,1
e,quest_raid_kai_00001_rank_16,quest_raid_kai_00001,Master,4,1000000,,1
e,quest_raid_kai_00001_rank_01,quest_raid_kai_00002,Bronze,1,1000,,1
e,quest_raid_kai_00001_rank_02,quest_raid_kai_00002,Bronze,2,2000,,1
e,quest_raid_kai_00001_rank_03,quest_raid_kai_00002,Bronze,3,3000,,1
e,quest_raid_kai_00001_rank_04,quest_raid_kai_00002,Bronze,4,4000,,1
e,quest_raid_kai_00001_rank_05,quest_raid_kai_00002,Silver,1,5000,,1
e,quest_raid_kai_00001_rank_06,quest_raid_kai_00002,Silver,2,7500,,1
e,quest_raid_kai_00001_rank_07,quest_raid_kai_00002,Silver,3,10000,,1
e,quest_raid_kai_00001_rank_08,quest_raid_kai_00002,Silver,4,12500,,1
e,quest_raid_kai_00001_rank_09,quest_raid_kai_00002,Gold,1,15000,,1
e,quest_raid_kai_00001_rank_10,quest_raid_kai_00002,Gold,2,30000,,1
e,quest_raid_kai_00001_rank_11,quest_raid_kai_00002,Gold,3,50000,,1
e,quest_raid_kai_00001_rank_12,quest_raid_kai_00002,Gold,4,75000,,1
e,quest_raid_kai_00001_rank_13,quest_raid_kai_00002,Master,1,100000,,1
e,quest_raid_kai_00001_rank_14,quest_raid_kai_00002,Master,2,250000,,1
e,quest_raid_kai_00001_rank_15,quest_raid_kai_00002,Master,3,500000,,1
e,quest_raid_kai_00001_rank_16,quest_raid_kai_00002,Master,4,1000000,,1
