ENABLE,id,release_key,progress_group_key,criterion_type,criterion_value,criterion_count,mission_category,mst_mission_reward_group_id,sort_order,destination_scene,start_at,end_at
e,limited_term_1,1,group1,AdventBattleChallengeCount,,1,AdventBattle,mission_reward_limited_term_1,1,AdventBattle,"2025-01-01 00:00:00","2025-12-31 23:59:59"
e,limited_term_2,1,group1,AdventBattleChallengeCount,,3,AdventBattle,mission_reward_limited_term_2,2,AdventBattle,"2025-01-01 00:00:00","2025-12-31 23:59:59"
e,limited_term_3,1,group1,AdventBattleChallengeCount,,5,AdventBattle,mission_reward_limited_term_3,3,AdventBattle,"2025-01-01 00:00:00","2025-12-31 23:59:59"
e,limited_term_4,1,group1,AdventBattleChallengeCount,,7,AdventBattle,mission_reward_limited_term_4,4,AdventBattle,"2025-01-01 00:00:00","2025-12-31 23:59:59"
e,limited_term_5,1,group1,AdventBattleChallengeCount,,10,AdventBattle,mission_reward_limited_term_5,5,AdventBattle,"2025-01-01 00:00:00","2025-12-31 23:59:59"
e,limited_term_6,1,group1,AdventBattleChallengeCount,,15,AdventBattle,mission_reward_limited_term_6,6,AdventBattle,"2025-01-01 00:00:00","2025-12-31 23:59:59"
e,limited_term_7,1,group1,AdventBattleChallengeCount,,20,AdventBattle,mission_reward_limited_term_7,7,AdventBattle,"2025-01-01 00:00:00","2025-12-31 23:59:59"
e,limited_term_8,1,group1,AdventBattleChallengeCount,,25,AdventBattle,mission_reward_limited_term_8,8,AdventBattle,"2025-01-01 00:00:00","2025-12-31 23:59:59"
e,limited_term_9,1,group1,AdventBattleChallengeCount,,30,AdventBattle,mission_reward_limited_term_9,9,AdventBattle,"2025-01-01 00:00:00","2025-12-31 23:59:59"
e,limited_term_10,1,group1,AdventBattleChallengeCount,,35,AdventBattle,mission_reward_limited_term_10,10,AdventBattle,"2025-01-01 00:00:00","2025-12-31 23:59:59"
e,limited_term_11,1,group1,AdventBattleChallengeCount,,40,AdventBattle,mission_reward_limited_term_11,11,AdventBattle,"2025-01-01 00:00:00","2025-12-31 23:59:59"
e,limited_term_12,1,group1,AdventBattleChallengeCount,,45,AdventBattle,mission_reward_limited_term_12,12,AdventBattle,"2025-01-01 00:00:00","2025-12-31 23:59:59"
e,limited_term_13,1,group1,AdventBattleChallengeCount,,50,AdventBattle,mission_reward_limited_term_13,13,AdventBattle,"2025-01-01 00:00:00","2025-12-31 23:59:59"
