ENABLE,id,mst_advent_battle_reward_group_id,resource_type,resource_id,resource_amount,release_key
e,advent_battle_test_reward_1,advent_battle_test_reward_group_1,Coin,,100,1
e,advent_battle_test_reward_2,advent_battle_test_reward_group_2,FreeDiamond,,50,1
e,advent_battle_test_reward_3,advent_battle_test_reward_group_3,Coin,,400,1
e,advent_battle_test_reward_4,advent_battle_test_reward_group_4,FreeDiamond,,50,1
e,advent_battle_test_reward_5,advent_battle_test_reward_group_5,Coin,,700,1
e,advent_battle_test_reward_6,advent_battle_test_reward_group_6,FreeDiamond,,100,1
e,advent_battle_test_reward_7,advent_battle_test_reward_group_7,Item,box_glo_00003,40,1
e,advent_battle_test_reward_8,advent_battle_test_reward_group_8,Coin,,1000,1
e,advent_battle_test_reward_9,advent_battle_test_reward_group_9,FreeDiamond,,50,1
e,advent_battle_test_reward_10,advent_battle_test_reward_group_10,Coin,,1300,1
e,advent_battle_test_reward_11,advent_battle_test_reward_group_11,FreeDiamond,,50,1
e,advent_battle_test_reward_12,advent_battle_test_reward_group_12,Coin,,1600,1
e,advent_battle_test_reward_13,advent_battle_test_reward_group_13,FreeDiamond,,100,1
e,advent_battle_test_reward_14,advent_battle_test_reward_group_14,FreeDiamond,,50,1
e,advent_battle_test_reward_15,advent_battle_test_reward_group_15,Coin,,1600,1
e,advent_battle_test_reward_16,advent_battle_test_reward_group_16,FreeDiamond,,100,1
e,advent_battle_test_reward_17,advent_battle_test_reward_group_17,Item,box_glo_00003,40,1
e,advent_battle_test_reward_18,advent_battle_test_reward_group_18,Coin,,1000,1
e,advent_battle_test_reward_19,advent_battle_test_reward_group_19,FreeDiamond,,50,1
e,advent_battle_test_reward_20,advent_battle_test_reward_group_20,Coin,,1300,1
e,advent_battle_test_reward_21,advent_battle_test_reward_group_21,FreeDiamond,,50,1
e,advent_battle_test_reward_22,advent_battle_test_reward_group_22,Coin,,1600,1
e,advent_battle_test_reward_23,advent_battle_test_reward_group_23,FreeDiamond,,100,1
e,advent_battle_test_reward_24,advent_battle_test_reward_group_24,FreeDiamond,,50,1
e,advent_battle_test_reward_25,advent_battle_test_reward_group_25,Coin,,1600,1
e,advent_battle_test_reward_26,advent_battle_test_reward_group_26,FreeDiamond,,100,1
e,advent_battle_test_reward_27,advent_battle_test_reward_group_27,Item,box_glo_00003,40,1
e,advent_battle_test_reward_28,advent_battle_test_reward_group_28,Coin,,1000,1
e,advent_battle_test_reward_29,advent_battle_test_reward_group_29,FreeDiamond,,50,1
e,advent_battle_test_reward_30,advent_battle_test_reward_group_30,Coin,,1300,1
e,advent_battle_test_reward_31,advent_battle_test_reward_group_31,FreeDiamond,,50,1
e,advent_battle_test_reward_32,advent_battle_test_reward_group_32,Coin,,1600,1
e,advent_battle_test_reward_33,advent_battle_test_reward_group_33,FreeDiamond,,100,1
e,advent_battle_test_reward_34,advent_battle_test_reward_group_34,FreeDiamond,,50,1
e,advent_battle_test_reward_35,advent_battle_test_reward_group_35,Coin,,1600,1
e,advent_battle_test_reward_36,advent_battle_test_reward_group_36,FreeDiamond,,100,1
e,advent_battle_test_reward_37,advent_battle_test_reward_group_37,Item,box_glo_00003,40,1
e,advent_battle_test_reward_38,advent_battle_test_reward_group_38,Coin,,1000,1
e,advent_battle_test_reward_39,advent_battle_test_reward_group_39,FreeDiamond,,50,1
e,advent_battle_test_reward_40,advent_battle_test_reward_group_40,Coin,,1300,1
e,advent_battle_test_reward_41,advent_battle_test_reward_group_41,FreeDiamond,,50,1
e,advent_battle_test_reward_42,advent_battle_test_reward_group_42,Coin,,1600,1
e,advent_battle_test_reward_43,advent_battle_test_reward_group_43,Item,box_glo_00003,40,1
e,advent_battle_test_reward_44,advent_battle_test_reward_group_44,Coin,,1000,1
e,advent_battle_test_reward_45,advent_battle_test_reward_group_45,FreeDiamond,,50,1
e,advent_battle_test_reward_46,advent_battle_test_reward_group_46,Coin,,1300,1
e,advent_battle_test_reward_47,advent_battle_test_reward_group_47,FreeDiamond,,50,1
e,advent_battle_test_reward_48,advent_battle_test_reward_group_48,Coin,,1600,1
e,advent_battle_test_reward_49,advent_battle_test_reward_group_49,FreeDiamond,,100,1
e,advent_battle_test_reward_50,advent_battle_test_reward_group_50,FreeDiamond,,50,1
e,advent_battle_test_reward_51,advent_battle_test_reward_group_51,Coin,,1600,1
e,advent_battle_test_reward_52,advent_battle_test_reward_group_52,FreeDiamond,,1000,1
e,advent_battle_test_reward_53,advent_battle_test_reward_group_53,Item,box_glo_00003,40,1
e,advent_battle_test_reward_54,advent_battle_test_reward_group_53,Coin,,1000,1
e,advent_battle_test_reward_55,advent_battle_test_reward_group_53,FreeDiamond,,5000,1
e,advent_battle_test_reward_56,advent_battle_test_reward_group_53,Item,box_glo_00008,40,1
e,advent_battle_test_reward_57,advent_battle_test_reward_group_53,Emblem,emblem_spy_adventbattle_season1_00001,1,1
e,advent_battle_test_reward_58,advent_battle_test_reward_group_54,Item,memory_glo_00001,100,1
e,advent_battle_test_reward_59,advent_battle_test_reward_group_54,Item,memory_glo_00002,100,1
e,advent_battle_test_reward_60,advent_battle_test_reward_group_54,Item,memory_glo_00003,100,1
e,advent_battle_test_reward_61,advent_battle_test_reward_group_54,Emblem,emblem_spy_adventbattle_season1_00002,1,1
e,advent_battle_test_reward_62,advent_battle_test_reward_group_55,Item,memory_glo_00001,50,1
e,advent_battle_test_reward_63,advent_battle_test_reward_group_55,Item,memory_glo_00002,50,1
e,advent_battle_test_reward_64,advent_battle_test_reward_group_55,Item,memory_glo_00003,50,1
e,advent_battle_test_reward_65,advent_battle_test_reward_group_55,Emblem,emblem_spy_adventbattle_season1_00003,1,1
e,advent_battle_test_reward_66,advent_battle_test_reward_group_56,Coin,,1000,1
e,advent_battle_test_reward_67,advent_battle_test_reward_group_56,FreeDiamond,,1000,1
e,advent_battle_test_reward_68,advent_battle_test_reward_group_56,Emblem,emblem_spy_adventbattle_season1_00004,1,1
e,advent_battle_test_reward_69,advent_battle_test_reward_group_57,Item,memory_glo_00001,50,1
e,advent_battle_test_reward_70,advent_battle_test_reward_group_57,Emblem,emblem_spy_adventbattle_season1_00005,1,1
e,advent_battle_test_reward_71,advent_battle_test_reward_group_58,Item,memory_glo_00003,50,1
e,advent_battle_test_reward_72,advent_battle_test_reward_group_58,Emblem,emblem_spy_adventbattle_season1_00006,1,1
e,advent_battle_test_reward_73,advent_battle_test_reward_group_59,FreeDiamond,,100,1
e,quest_raid_kai_reward_group_00001_01,quest_raid_kai_reward_group_00001_01,FreeDiamond,,20,1
e,quest_raid_kai_reward_group_00001_02,quest_raid_kai_reward_group_00001_02,Coin,,1000,1
e,quest_raid_kai_reward_group_00001_03,quest_raid_kai_reward_group_00001_03,FreeDiamond,,20,1
e,quest_raid_kai_reward_group_00001_04,quest_raid_kai_reward_group_00001_04,Coin,,2000,1
e,quest_raid_kai_reward_group_00001_05,quest_raid_kai_reward_group_00001_05,FreeDiamond,,30,1
e,quest_raid_kai_reward_group_00001_06,quest_raid_kai_reward_group_00001_06,Coin,,3000,1
e,quest_raid_kai_reward_group_00001_07,quest_raid_kai_reward_group_00001_07,FreeDiamond,,40,1
e,quest_raid_kai_reward_group_00001_08,quest_raid_kai_reward_group_00001_08,Coin,,3000,1
