ENABLE,id,mst_unit_id,language,condition_type,balloon_type,side,duration,text,release_key
e,1,chara_dan_00001,ja,SpecialAttackCharge,Maru,Right,0.5,"全てを\n許すことができる",202509010
e,2,chara_dan_00001,ja,Summon,Maru,Left,1.5,"強くならなきゃ\nもっと強く !!",202509010
e,4,chara_dan_00002,ja,SpecialAttackCharge,Maru,Right,0.5,"これが\nターボババアの力かよ…",202509010
e,5,chara_dan_00002,ja,Summon,Maru,Left,1.5,萎えるぜ,202509010
e,7,chara_dan_00101,ja,SpecialAttackCharge,Maru,Right,0.5,やったらあ！,202509010
e,8,chara_dan_00101,ja,Summon,Maru,Left,1.5,"おっしゃあ！\nやったらあ！",202509010
e,13,chara_dan_00201,ja,SpecialAttackCharge,Maru,Right,0.5,"選ばれた存在\nってことなのね !!",202510020
e,14,chara_dan_00201,ja,Summon,Maru,Left,1.5,"私は美少女\nなんだもの !!",202510020
e,16,chara_dan_00202,ja,SpecialAttackCharge,Maru,Right,0.5,"お舞踏\n\n\n\n︵パーティー︶の\n時間ですわ",202510020
e,17,chara_dan_00202,ja,Summon,Maru,Left,1.5,"選ばれた存在\nだったようですね",202510020
e,19,chara_dan_00301,ja,SpecialAttackCharge,Maru,Right,0.5,"ブチ殺したらあ !!",202510020
e,20,chara_dan_00301,ja,Summon,Maru,Left,1.5,"ボキャボキャ\nにするわあ !!",202510020
e,22,chara_gom_00001,ja,SpecialAttackCharge,Maru,Left,0.5,"この“拷問”\nもらった！",202509010
e,23,chara_gom_00001,ja,Summon,Maru,Left,1.5,"エクス…\n私は大丈夫だ",202509010
e,25,chara_gom_00101,ja,SpecialAttackCharge,Maru,Right,0.5,それでは・・・,202509010
e,26,chara_gom_00101,ja,Summon,Maru,Left,1.5,"全力で\nいかせて頂きます",202509010
e,28,chara_gom_00201,ja,SpecialAttackCharge,Maru,Right,0.5,"これには\n耐えれるかな☆",202509010
e,29,chara_gom_00201,ja,Summon,Maru,Left,1.5,"さっさと\n話すことですね",202509010
e,31,chara_jig_00001,ja,SpecialAttackCharge,Maru,Right,0.5,"今は考えるな\nただ殺せ",202509010
e,32,chara_jig_00001,ja,Summon,Maru,Left,1.5,"殺しに来るなら\n殺すよ",202509010
e,34,chara_jig_00101,ja,SpecialAttackCharge,Maru,Right,0.5,"ただ黙って\n受け入れる\nなんて真っ平",202509010
e,35,chara_jig_00101,ja,Summon,Maru,Left,1.5,"刀には\n人の本性が映る",202509010
e,37,chara_jig_00201,ja,SpecialAttackCharge,Maru,Right,0.5,"やりたい事は\nやらなくちゃ",202509010
e,38,chara_jig_00201,ja,Summon,Maru,Left,1.5,"私の人生を\n邪魔する奴は\nブッ殺す！",202509010
e,40,chara_jig_00301,ja,SpecialAttackCharge,Maru,Right,0.5,"僕も…\n仕事なので",202509010
e,41,chara_jig_00301,ja,Summon,Maru,Left,1.5,"皆で情報\n整理しませんか？",202509010
e,43,chara_sur_00001,ja,SpecialAttackCharge,Maru,Right,0.5,"かっこつけ\nたかったんだよ",202509010
e,44,chara_sur_00001,ja,Summon,Maru,Left,1.5,"頑張り甲斐が\nあるってもんだ！",202509010
e,46,chara_sur_00101,ja,SpecialAttackCharge,Maru,Right,0.5,速やかに潰す,202509010
e,47,chara_sur_00101,ja,Summon,Maru,Left,1.5,我らも征くぞ,202509010
e,49,chara_sur_00201,ja,SpecialAttackCharge,Maru,Right,0.5,"お前は\n自分が倒す！",202509010
e,50,chara_sur_00201,ja,Summon,Maru,Left,1.5,"逆らうん\nじゃないわよ！",202509010
e,52,chara_sur_00301,ja,SpecialAttackCharge,Maru,Right,0.5,"盛り上がって\nきたねー",202509010
e,53,chara_sur_00301,ja,Summon,Maru,Left,1.5,"かっこいい所を\n見せないとね",202509010
e,55,chara_sur_00401,ja,SpecialAttackCharge,Maru,Right,0.5,安心してください,202509010
e,56,chara_sur_00401,ja,Summon,Maru,Left,1.5,"応援たくさん\n頑張ります",202509010
e,58,chara_kai_00001,ja,SpecialAttackCharge,Maru,Right,0.5,"日比野カフカ\n出ます！",202509010
e,59,chara_kai_00001,ja,Summon,Maru,Left,1.5,俺たちも行くぞ！,202509010
e,61,chara_kai_00002,ja,SpecialAttackCharge,Maru,Right,0.5,安心して休んでろ,202509010
e,62,chara_kai_00002,ja,Summon,Maru,Left,1.5,１発で解体するぜ,202509010
e,64,chara_kai_00101,ja,SpecialAttackCharge,Maru,Right,0.5,行ってください,202509010
e,65,chara_kai_00101,ja,Summon,Maru,Left,1.5,フォローします,202509010
e,67,chara_kai_00301,ja,SpecialAttackCharge,Maru,Right,0.5,"これ以上好き勝手\nさせないわよ",202509010
e,68,chara_kai_00301,ja,Summon,Maru,Left,1.5,"吠え面\nかかせてやるわ！",202509010
e,70,chara_kai_00201,ja,SpecialAttackCharge,Maru,Right,0.5,"カフカくん\nこれが今の私",202509010
e,71,chara_kai_00201,ja,Summon,Maru,Left,1.5,"皆\nよく耐えてくれた",202509010
e,73,chara_kai_00401,ja,SpecialAttackCharge,Maru,Right,0.5,討伐する,202509010
e,74,chara_kai_00401,ja,Summon,Maru,Left,1.5,怪獣退治の時間や,202509010
e,76,chara_kai_00501,ja,SpecialAttackCharge,Maru,Right,0.5,愚か者め,202509010
e,77,chara_kai_00501,ja,Summon,Maru,Left,1.5,処理を開始する,202509010
e,79,chara_kai_00601,ja,SpecialAttackCharge,Maru,Right,0.5,"お前が俺を\n守るんじゃねぇ",202509010
e,80,chara_kai_00601,ja,Summon,Maru,Left,1.5,"腹くくる\nしかねーな",202509010
e,82,chara_dos_00001,ja,SpecialAttackCharge,Maru,Right,0.5,"明日休み\nなんだし\nいいしょ？",202509010
e,83,chara_dos_00001,ja,Summon,Maru,Left,1.5,"ウチが一緒に\n行ったげる♪",202509010
e,85,chara_dos_00101,ja,SpecialAttackCharge,Maru,Right,0.5,私決めたよ,202509010
e,86,chara_dos_00101,ja,Summon,Maru,Left,1.5,師匠と呼べよ〜,202509010
e,88,chara_chi_00001,ja,SpecialAttackCharge,Maru,Right,0.5,"俺は！男と！\n喧嘩する！時ゃ！",202509010
e,89,chara_chi_00001,ja,Summon,Maru,Left,1.5,"俺がぶっ殺して\nやるぜ\n!!",202509010
e,91,chara_chi_00002,ja,SpecialAttackCharge,Maru,Right,0.5,"悪いヤツぁ\n好きだぜー？",202509010
