ENABLE,id,release_key,rank_class_type,rank_class_level,matching_type,mst_dummy_user_id
e,pvp_dummy_0_1,1,Bronze,0,Lower,dummy_0_1
e,pvp_dummy_0_2,1,Bronze,0,Same,dummy_0_2
e,pvp_dummy_0_3,1,Bronze,0,Upper,dummy_0_3
e,pvp_dummy_1,1,Bronze,1,Lower,dummy_1
e,pvp_dummy_2,1,Bronze,1,Same,dummy_2
e,pvp_dummy_3,1,Bronze,1,Upper,dummy_3
e,pvp_dummy_4,1,Bronze,2,Lower,dummy_4
e,pvp_dummy_5,1,Bronze,2,Same,dummy_5
e,pvp_dummy_6,1,Bronze,2,Upper,dummy_6
e,pvp_dummy_7,1,Bronze,3,Lower,dummy_7
e,pvp_dummy_8,1,Bronze,3,Same,dummy_8
e,pvp_dummy_9,1,Bronze,3,Upper,dummy_9
e,pvp_dummy_10,1,Bronze,4,Lower,dummy_10
e,pvp_dummy_11,1,Bronze,4,Same,dummy_11
e,pvp_dummy_12,1,Bronze,4,Upper,dummy_12
e,pvp_dummy_13,1,Silver,1,Lower,dummy_13
e,pvp_dummy_14,1,Silver,1,Same,dummy_14
e,pvp_dummy_15,1,Silver,1,Upper,dummy_15
e,pvp_dummy_16,1,Silver,1,Upper,dummy_16
e,pvp_dummy_17,1,Silver,1,Upper,dummy_17
e,pvp_dummy_18,1,Silver,2,Lower,dummy_18
e,pvp_dummy_19,1,Silver,2,Same,dummy_19
e,pvp_dummy_20,1,Silver,2,Upper,dummy_20
e,pvp_dummy_21,1,Silver,3,Lower,dummy_21
e,pvp_dummy_22,1,Silver,3,Same,dummy_22
e,pvp_dummy_23,1,Silver,3,Upper,dummy_23
e,pvp_dummy_24,1,Silver,4,Lower,dummy_24
e,pvp_dummy_25,1,Silver,4,Same,dummy_25
e,pvp_dummy_26,1,Silver,4,Upper,dummy_26
e,pvp_dummy_27,1,Gold,1,Lower,dummy_27
e,pvp_dummy_28,1,Gold,1,Same,dummy_28
e,pvp_dummy_29,1,Gold,1,Upper,dummy_29
e,pvp_dummy_30,1,Gold,2,Lower,dummy_30
e,pvp_dummy_31,1,Gold,2,Same,dummy_31
e,pvp_dummy_32,1,Gold,2,Upper,dummy_32
e,pvp_dummy_33,1,Gold,3,Lower,dummy_33
e,pvp_dummy_34,1,Gold,3,Same,dummy_34
e,pvp_dummy_35,1,Gold,3,Upper,dummy_35
e,pvp_dummy_36,1,Gold,4,Lower,dummy_36
e,pvp_dummy_37,1,Gold,4,Same,dummy_37
e,pvp_dummy_38,1,Gold,4,Upper,dummy_38
e,pvp_dummy_39,1,Platinum,1,Lower,dummy_39
e,pvp_dummy_40,1,Platinum,1,Same,dummy_40
e,pvp_dummy_41,1,Platinum,1,Upper,dummy_41
e,pvp_dummy_42,1,Platinum,2,Lower,dummy_42
e,pvp_dummy_43,1,Platinum,2,Same,dummy_43
e,pvp_dummy_44,1,Platinum,2,Upper,dummy_44
e,pvp_dummy_45,1,Platinum,3,Lower,dummy_45
e,pvp_dummy_46,1,Platinum,3,Same,dummy_46
e,pvp_dummy_47,1,Platinum,3,Upper,dummy_47
e,pvp_dummy_48,1,Platinum,4,Lower,dummy_48
e,pvp_dummy_49,1,Platinum,4,Same,dummy_49
e,pvp_dummy_50,1,Platinum,4,Upper,dummy_50
