ENABLE,id,sequence_set_id,sequence_group_id,sequence_element_id,priority_sequence_element_id,condition_type,condition_value,action_type,action_value,action_value2,summon_count,summon_interval,summon_animation_type,summon_position,move_start_condition_type,move_start_condition_value,move_stop_condition_type,move_stop_condition_value,move_restart_condition_type,move_restart_condition_value,move_loop_count,is_summon_unit_outpost_damage_invalidation,last_boss_trigger,aura_type,death_type,override_drop_battle_point,defeated_score,enemy_hp_coef,enemy_attack_coef,enemy_speed_coef,action_delay,deactivation_condition_type,deactivation_condition_value,release_key
e,develop_001,develop_001,,sequence_1,,OutpostDamage,1,SummonEnemy,a2e_0012,,1,0,Fall,,None,,None,,None,,,,1,Default,Normal,,0,1,1,1,,None,,1
e,develop_001,develop_001,,sequence_2,,InitialSummon,50,SummonEnemy,a2e_0203,,-1,300,None,0.5,ElapsedTime,300,None,,None,,,,,Default,Normal,,0,1,1,1,,None,,1
e,develop_001,develop_001,,sequence_3,,InitialSummon,50,SummonEnemy,develop_a2e_0203,,-1,300,None,2.2,EnterTargetKoma,2,None,,None,,,,,Default,Normal,,0,1,1,1,,None,,1
e,develop_001,develop_001,,sequence_4,,EnterTargetKomaIndex,3,SummonEnemy,a2e_0203,,1,0,Fall,2.3,None,,None,,None,,,,,Default,Normal,,0,1,1,1,,None,,1
e,develop_001,develop_001,,sequence_5,,EnterTargetKomaIndex,3,SummonEnemy,a2e_0203,,1,0,Fall0,2.5,None,,None,,None,,,,,Default,Normal,,0,1,1,1,,None,,1
e,develop_001,develop_001,,sequence_6,,EnterTargetKomaIndex,3,SummonEnemy,a2e_0203,,1,0,Fall4,2.7,None,,None,,None,,,,,Default,Normal,,0,1,1,1,,None,,1
e,develop_002,develop_002,,sequence_1,,ElapsedTime,0,SummonEnemy,test_01,,-1,500,None,,None,,None,,None,,,,,Default,Normal,0,0,1,1,1,,None,,1
e,develop_002,develop_002,,sequence_2,,ElapsedTime,50,SummonEnemy,test_02,,-1,500,None,,None,,None,,None,,,,,Default,Normal,0,0,1,1,1,,None,,1
e,develop_002,develop_002,,sequence_3,,ElapsedTime,100,SummonEnemy,test_03,,-1,500,None,,None,,None,,None,,,,,Default,Normal,0,0,1,1,1,,None,,1
e,develop_002,develop_002,,sequence_4,,ElapsedTime,150,SummonEnemy,test_04,,-1,500,None,,None,,None,,None,,,,,Default,Normal,0,0,1,1,1,,None,,1
e,develop_002,develop_002,,sequence_5,,ElapsedTime,200,SummonEnemy,test_05,,-1,500,None,,None,,None,,None,,,,,Default,Normal,0,0,1,1,1,,None,,1
e,develop_002,develop_002,,sequence_6,,ElapsedTime,250,SummonEnemy,test_06,,-1,500,None,,None,,None,,None,,,,,Default,Normal,0,0,1,1,1,,None,,1
e,develop_002,develop_002,,sequence_7,,ElapsedTime,300,SummonEnemy,test_07,,-1,500,None,,None,,None,,None,,,,,Default,Normal,0,0,1,1,1,,None,,1
e,develop_002,develop_002,,sequence_8,,ElapsedTime,350,SummonEnemy,test_08,,-1,500,None,,None,,None,,None,,,,,Default,Normal,0,0,1,1,1,,None,,1
e,develop_002,develop_002,,sequence_9,,ElapsedTime,400,SummonEnemy,test_09,,-1,500,None,,None,,None,,None,,,,,Default,Normal,0,0,1,1,1,,None,,1
e,develop_002,develop_002,,sequence_10,,ElapsedTime,450,SummonEnemy,test_10,,-1,500,None,,None,,None,,None,,,,,Default,Normal,0,0,1,1,1,,None,,1
e,develop_003,develop_003,,sequence_1,,OutpostDamage,1,SummonEnemy,a2e_0012,,1,0,Fall,,None,,None,,None,,,,1,Default,Normal,,0,1,1,1,,None,,1
e,develop_003,develop_003,,sequence_4,,EnterTargetKomaIndex,1,SummonEnemy,a2e_0203,,1,0,Fall,1.2,None,,None,,None,,,,,Default,Normal,,0,1,1,1,,None,,1
e,develop_003,develop_003,,sequence_5,,EnterTargetKomaIndex,1,SummonEnemy,a2e_0203,,1,0,Fall0,1.5,None,,None,,None,,,,,Default,Normal,,0,1,1,1,,None,,1
e,develop_003,develop_003,,sequence_6,,EnterTargetKomaIndex,1,SummonEnemy,a2e_0203,,1,0,Fall4,1.7,None,,None,,None,,,,,Default,Normal,,0,1,1,1,,None,,1
e,develop_advent_battle,develop_advent_battle,group1,sequence_1,,InitialSummon,4,SummonEnemy,develop_advent_battle_boss,,-1,300,None,3.3,FoeEnterSameKoma,,None,,None,,,,1,Default,Normal,,0,1,1,1,,None,,1
e,develop_advent_battle,develop_advent_battle,group1,sequence_2,,ElapsedTime,3,SummonEnemy,en_phantom_dan_00001,,100,1000,None,,None,,None,,None,,,,,Default,Normal,,0,1,1,1,,None,,1
e,develop_advent_battle,develop_advent_battle,group1,sequence_3,,ElapsedTimeSinceSequenceGroupActivated,3000,SwitchSequenceGroup,group2,,,,None,,None,,None,,None,,,,,Default,Normal,,0,,,,,None,,1
e,develop_advent_battle,develop_advent_battle,group2,sequence_4,,ElapsedTime,3,SummonEnemy,en_phantom_dan_00101,,100,1000,None,,None,,None,,None,,,,,Default,Normal,,0,1,1,1,,None,,1
e,develop_advent_battle,develop_advent_battle,group2,sequence_5,,ElapsedTimeSinceSequenceGroupActivated,3000,SwitchSequenceGroup,group3,,,,None,,None,,None,,None,,,,,Default,Normal,,0,,,,,None,,1
