ENABLE,release_key,id,mst_mission_beginner_id,language,title,description
e,1,beginner_11_ja,beginner_11,ja,,累計1回ログインしよう
e,1,beginner_12_ja,beginner_12,ja,,累計1回キャラを強化しよう
e,1,beginner_13_ja,beginner_13,ja,,ゲートを合計1回以上強化しよう
e,1,beginner_14_ja,beginner_14,ja,,累計3回キャラを強化しよう
e,1,beginner_15_ja,beginner_15,ja,,ゲートを合計3回以上強化しよう
e,1,beginner_21_ja,beginner_21,ja,,累計2回ログインしよう
e,1,beginner_22_ja,beginner_22,ja,,累計5回キャラを強化しよう
e,1,beginner_23_ja,beginner_23,ja,,ゲートを合計5回以上強化しよう
e,1,beginner_24_ja,beginner_24,ja,,累計7回キャラを強化しよう
e,1,beginner_25_ja,beginner_25,ja,,ゲートを合計7回以上強化しよう
e,1,beginner_31_ja,beginner_31,ja,,累計3回ログインしよう
e,1,beginner_32_ja,beginner_32,ja,,累計9回キャラを強化しよう
e,1,beginner_33_ja,beginner_33,ja,,ゲートを合計9回以上強化しよう
e,1,beginner_34_ja,beginner_34,ja,,累計11回キャラを強化しよう
e,1,beginner_35_ja,beginner_35,ja,,ゲートを合計11回以上強化しよう
e,1,beginner_41_ja,beginner_41,ja,,累計4回ログインしよう
e,1,beginner_42_ja,beginner_42,ja,,累計13回キャラを強化しよう
e,1,beginner_43_ja,beginner_43,ja,,ゲートを合計13回以上強化しよう
e,1,beginner_44_ja,beginner_44,ja,,累計15回キャラを強化しよう
e,1,beginner_45_ja,beginner_45,ja,,ゲートを合計15回以上強化しよう
e,1,beginner_51_ja,beginner_51,ja,,累計5回ログインしよう
e,1,beginner_52_ja,beginner_52,ja,,累計17回キャラを強化しよう
e,1,beginner_53_ja,beginner_53,ja,,ゲートを合計17回以上強化しよう
e,1,beginner_54_ja,beginner_54,ja,,累計19回キャラを強化しよう
e,1,beginner_55_ja,beginner_55,ja,,ゲートを合計19回以上強化しよう
e,1,beginner_61_ja,beginner_61,ja,,累計6回ログインしよう
e,1,beginner_62_ja,beginner_62,ja,,累計21回キャラを強化しよう
e,1,beginner_63_ja,beginner_63,ja,,ゲートを合計21回以上強化しよう
e,1,beginner_64_ja,beginner_64,ja,,累計23回キャラを強化しよう
e,1,beginner_65_ja,beginner_65,ja,,ゲートを合計23回以上強化しよう
e,1,beginner_71_ja,beginner_71,ja,,累計7回ログインしよう
e,1,beginner_72_ja,beginner_72,ja,,累計25回キャラを強化しよう
e,1,beginner_73_ja,beginner_73,ja,,ゲートを合計25回以上強化しよう
e,1,beginner_74_ja,beginner_74,ja,,累計27回キャラを強化しよう
e,1,beginner_75_ja,beginner_75,ja,,ゲートを合計27回以上強化しよう
e,1,beginner_bonus_point_1_ja,beginner_bonus_point_1,ja,,累計ポイントを50貯めよう
e,1,beginner_bonus_point_2_ja,beginner_bonus_point_2,ja,,累計ポイントを100貯めよう
e,1,beginner_bonus_point_3_ja,beginner_bonus_point_3,ja,,累計ポイントを150貯めよう
e,1,beginner_bonus_point_4_ja,beginner_bonus_point_4,ja,,累計ポイントを200貯めよう
e,1,beginner_bonus_point_5_ja,beginner_bonus_point_5,ja,,累計ポイントを250貯めよう
e,1,beginner_bonus_point_6_ja,beginner_bonus_point_6,ja,,累計ポイントを300貯めよう
e,1,beginner_bonus_point_7_ja,beginner_bonus_point_7,ja,,累計ポイントを350貯めよう
e,1,beginner_bonus_point_8_ja,beginner_bonus_point_8,ja,,累計ポイントを400貯めよう
