ENABLE,id,min_threshold_score,coin_reward_amount,coin_reward_size_type,release_key
e,1,1,100,Small,202509010
e,2,5000,250,Small,202509010
e,3,10000,400,Small,202509010
e,4,20000,600,Small,202509010
e,5,30000,800,Small,202509010
e,6,40000,1000,Medium,202509010
e,7,50000,1250,Medium,202509010
e,8,75000,1500,Medium,202509010
e,9,100000,2000,Large,202509010
e,10,150000,2500,Large,202509010
e,11,300000,3000,Large,202509010
e,12,500000,3500,ExtraLarge,202509010
e,13,700000,4000,ExtraLarge,202509010
e,14,1000000,5000,ExtraLarge,202509010
