ENABLE,release_key,id,mst_attack_id,sort_order,attack_delay,attack_type,range_start_type,range_start_parameter,range_end_type,range_end_parameter,max_target_count,target,target_type,target_colors,target_roles,target_mst_series_ids,target_mst_character_ids,damage_type,hit_type,hit_parameter1,hit_parameter2,hit_effect_id,is_hit_stop,probability,power_parameter_type,power_parameter,effect_type,effective_count,effective_duration,effect_parameter,effect_value,effect_trigger_roles,effect_trigger_colors
e,202509010,chara_dan_00001_Normal_00000,chara_dan_00001_Normal_00000,1,0,Direct,Distance,0,Distance,0.17,1,Foe,All,All,All,,,Damage,Normal,0,0,dageki_1,1,100,Percentage,100,None,0,0,0,,,
e,202509010,chara_dan_00001_Special_00001,chara_dan_00001_Special_00001,1,0,Direct,Distance,0,Distance,0.17,1,Foe,All,All,All,,,None,Normal,0,0,,,100,Percentage,0,None,0,0,0,,,
e,202509010,chara_dan_00001_Special_00001a,chara_dan_00001_Special_00001,2,0,Direct,Distance,0,Distance,0,1,Self,All,All,All,,,None,Normal,0,0,,,100,Percentage,0,DamageCut,-1,300,10,,,
e,202509010,chara_dan_00001_Special_00002,chara_dan_00001_Special_00002,1,0,Direct,Distance,0,Distance,0.17,1,Foe,All,All,All,,,None,Normal,0,0,,,100,Percentage,0,None,0,0,0,,,
e,202509010,chara_dan_00001_Special_00002a,chara_dan_00001_Special_00002,2,0,Direct,Distance,0,Distance,0,1,Self,All,All,All,,,None,Normal,0,0,,,100,Percentage,0,DamageCut,-1,325,12,,,
e,202509010,chara_dan_00001_Special_00003,chara_dan_00001_Special_00003,1,0,Direct,Distance,0,Distance,0.17,1,Foe,All,All,All,,,None,Normal,0,0,,,100,Percentage,0,None,0,0,0,,,
e,202509010,chara_dan_00001_Special_00003a,chara_dan_00001_Special_00003,2,0,Direct,Distance,0,Distance,0,1,Self,All,All,All,,,None,Normal,0,0,,,100,Percentage,0,DamageCut,-1,335,13,,,
e,202509010,chara_dan_00001_Special_00004,chara_dan_00001_Special_00004,1,0,Direct,Distance,0,Distance,0.17,1,Foe,All,All,All,,,None,Normal,0,0,,,100,Percentage,0,None,0,0,0,,,
e,202509010,chara_dan_00001_Special_00004a,chara_dan_00001_Special_00004,2,0,Direct,Distance,0,Distance,0,1,Self,All,All,All,,,None,Normal,0,0,,,100,Percentage,0,DamageCut,-1,345,13,,,
e,202509010,chara_dan_00001_Special_00005,chara_dan_00001_Special_00005,1,0,Direct,Distance,0,Distance,0.17,1,Foe,All,All,All,,,None,Normal,0,0,,,100,Percentage,0,None,0,0,0,,,
e,202509010,chara_dan_00001_Special_00005a,chara_dan_00001_Special_00005,2,0,Direct,Distance,0,Distance,0,1,Self,All,All,All,,,None,Normal,0,0,,,100,Percentage,0,DamageCut,-1,345,14,,,
e,202509010,chara_dan_00002_Normal_00000,chara_dan_00002_Normal_00000,1,33,Direct,Distance,0,Distance,0.35,1,Foe,All,All,All,,,Damage,Normal,0,0,dageki_1,1,100,Percentage,50,None,0,0,0,,,
e,202509010,chara_dan_00002_Normal_00000_01,chara_dan_00002_Normal_00000,2,64,Direct,Distance,0,Distance,0.55,1,Foe,All,All,All,,,Damage,Normal,0,0,dageki_1,1,100,Percentage,50,None,0,0,0,,,
e,202509010,chara_dan_00002_Special_00001_01,chara_dan_00002_Special_00001,1,89,Direct,Distance,0,Distance,0.55,100,Foe,All,All,All,,,Damage,Normal,0,0,dageki_1,1,100,Percentage,4,None,0,0,0,,,
e,202509010,chara_dan_00002_Special_00001_02,chara_dan_00002_Special_00001,2,167,Direct,Distance,0,Distance,0.55,100,Foe,All,All,All,,,Damage,Normal,0,0,dageki_1,1,100,Percentage,4,None,0,0,0,,,
e,202509010,chara_dan_00002_Special_00001_03,chara_dan_00002_Special_00001,3,188,Direct,Distance,0,Distance,0.55,100,Foe,All,All,All,,,Damage,Normal,0,0,dageki_1,,100,Percentage,4,None,0,0,0,,,
