ENABLE,id,mst_ability_id,ability_parameter1,ability_parameter2,ability_parameter3,release_key
e,ability_glo_00001,ability_gust_koma_block,20,0,0,1
e,ability_glo_00002,ability_slip_damage_koma_block,20,0,0,1
e,ability_gom_00001,ability_attack_power_down_koma_block,20,0,0,1
e,ability_gom_00002,ability_slip_damage_koma_block,10,0,0,1
e,ability_gom_00003,ability_wind_koma_boost,30,0,0,1
e,ability_jig_00101,ability_attack_power_up_in_normal_koma,20,0,0,1
e,ability_dan_00001,ability_gust_koma_block,20,0,0,1
e,ability_glo_00101,ability_attack_power_down_koma_block,20,0,0,1
e,ability_glo_00102,ability_attack_power_up_koma_boost,20,0,0,1
e,ability_glo_00111,ability_attack_power_down_koma_block,20,0,0,1
e,ability_glo_00112,ability_slip_damage_koma_block,20,0,0,1
e,ability_glo_00113,ability_gust_koma_block,20,0,0,1
e,ability_glo_00121,ability_slip_damage_koma_block,20,0,0,1
e,ability_glo_00122,ability_attack_power_down_koma_block,20,0,0,1
e,ability_sur_00001,ability_slip_damage_koma_block,20,0,0,1
e,ability_glo_00131,ability_gust_koma_block,20,0,0,1
e,ability_glo_00132,ability_attack_power_down_koma_block,20,0,0,1
e,ability_jig_00001,ability_attack_power_up_in_normal_koma,20,0,0,1
e,ability_dan_00002,ability_attack_power_up_in_normal_koma,20,0,0,1
e,ability_gom_00101,ability_attack_power_up_in_normal_koma,20,0,0,1
e,ability_gom_00201,ability_attack_power_up_in_normal_koma,20,0,0,1
e,ability_kai_00002_01,ability_StunBlock,50,All,All,1
e,ability_kai_00002_02,ability_attack_power_up_koma_boost,25,0,0,1
e,enemy_ability_knockback_block,ability_knockback_block,0,0,0,1
e,ability_poison_cut,ability_poison_damage_cut,50,0,0,1
e,ability_burn_cut,ability_burn_damage_cut,50,0,0,1
e,ability_StunBlock_100,ability_StunBlock,100,All,All,1
e,ability_StunBlock_50,ability_StunBlock,50,All,All,1
e,ability_StunBlock_20,ability_StunBlock,20,All,All,1
e,ability_knockback_block_100,ability_knockback_block,0,0,0,1
e,ability_FreezeBlock_100,ability_FreezeBlock,100,All,All,1
e,ability_FreezeBlock_50,ability_FreezeBlock,50,All,All,1
e,ability_FreezeBlock_20,ability_FreezeBlock,20,All,All,1
e,ability_guts_1,ability_guts,1,100,0,1
e,ability_guts_2more,ability_guts,3,100,0,1
e,ability_guts_50per,ability_guts,1,50,0,1
e,ability_guts_30per,ability_guts,1,30,0,1
e,ability_poison_damage_cut_20,ability_poison_damage_cut,20,0,0,1
e,ability_poison_damage_cut_30,ability_poison_damage_cut,30,0,0,1
e,ability_burn_damage_cut_20,ability_burn_damage_cut,20,0,0,1
e,ability_burn_damage_cut_30,ability_burn_damage_cut,30,0,0,1
e,ability_spy_00101_01,ability_poison_damage_cut,20,0,0,1
e,ability_spy_00101_02,ability_attack_power_up_koma_boost,25,0,0,1
e,ability_attack_power_up_by_hp_percentage_over_20_30,ability_attack_power_up_by_hp_percentage_over,20,30,0,1
e,ability_attack_power_up_by_hp_percentage_less_20_30,ability_attack_power_up_by_hp_percentage_less,20,30,0,1
e,ability_damage_cut_by_hp_percentage_over_20_30,ability_damage_cut_by_hp_percentage_over,20,30,0,1
e,ability_damage_cut_by_hp_percentage_less_20_30,ability_damage_cut_by_hp_percentage_less,20,30,0,1
e,ability_attack_power_up_by_hp_percentage_over_100_90,ability_attack_power_up_by_hp_percentage_over,100,90,0,1
e,ability_attack_power_up_by_hp_percentage_less_100_90,ability_attack_power_up_by_hp_percentage_less,100,90,0,1
e,ability_damage_cut_by_hp_percentage_over_90_90,ability_damage_cut_by_hp_percentage_over,90,90,0,1
e,ability_damage_cut_by_hp_percentage_less_90_50,ability_damage_cut_by_hp_percentage_less,99,50,0,1
e,ability_chara_ron_00101,ability_WeakeningBlock,0,All,All,1
