ENABLE,id,mst_artwork_id,effect_type,grade_level1_value,grade_level2_value,grade_level3_value,grade_level4_value,grade_level5_value,release_key
e,artwork_spy_0001,artwork_spy_0001,AttackPowerUp,0.28,0.55,0.83,1.1,1.65,202603020
e,artwork_spy_0002,artwork_spy_0002,HpUp,0.37,0.73,1.1,1.47,1.83,202603020
e,artwork_spy_0003,artwork_spy_0003,AttackPowerUp,2.37,2.67,2.97,3.26,3.56,202603020
e,artwork_gom_0001,artwork_gom_0001,HpUp,0.28,0.55,0.83,1.1,1.65,202603020
e,artwork_gom_0002,artwork_gom_0002,AttackPowerUp,0.37,0.73,1.1,1.47,1.83,202603020
e,artwork_gom_0003,artwork_gom_0003,AttackPowerUp,0.75,0.84,0.93,1.03,1.12,202603020
e,artwork_aka_0001,artwork_aka_0001,AttackPowerUp,0.28,0.55,0.83,1.1,1.65,202603020
e,artwork_aka_0002,artwork_aka_0002,HpUp,0.37,0.73,1.1,1.47,1.83,202603020
e,artwork_aka_0003,artwork_aka_0003,HpUp,1.33,1.5,1.67,1.83,2,202603020
e,artwork_dan_0001,artwork_dan_0001,JumbleRushDamageUp,0.02,0.05,0.07,0.1,0.12,202603020
e,artwork_dan_0002,artwork_dan_0002,AttackPowerUp,0.37,0.73,1.1,1.47,1.83,202603020
e,artwork_dan_0003,artwork_dan_0003,AttackPowerUp,1.23,1.38,1.53,1.69,1.84,202603020
e,artwork_jig_0001,artwork_jig_0001,HpUp,0.28,0.55,0.83,1.1,1.65,202603020
e,artwork_jig_0002,artwork_jig_0002,AttackPowerUp,0.37,0.73,1.1,1.47,1.83,202603020
e,artwork_jig_0003,artwork_jig_0003,AttackPowerUp,1.41,1.59,1.77,1.94,2.12,202603020
e,artwork_tak_0001,artwork_tak_0001,JumbleRushDamageUp,0.02,0.05,0.07,0.09,0.12,202603020
e,artwork_tak_0002,artwork_tak_0002,AttackPowerUp,0.37,0.73,1.1,1.47,1.83,202603020
e,artwork_tak_0003,artwork_tak_0003,JumbleRushDamageUp,0.5,0.6,0.71,0.81,1.02,202603020
e,artwork_chi_0001,artwork_chi_0001,AttackPowerUp,0.28,0.55,0.83,1.1,1.65,202603020
e,artwork_chi_0002,artwork_chi_0002,JumbleRushChargeSpeedUp,20,30,43,60,75,202603020
e,artwork_chi_0003,artwork_chi_0003,JumbleRushDamageUp,0.38,0.47,0.55,0.72,1.02,202603020
e,artwork_kai_0001,artwork_kai_0001,AttackPowerUp,0.28,0.55,0.83,1.1,1.65,202603020
e,artwork_kai_0002,artwork_kai_0002,HpUp,0.37,0.73,1.1,1.47,1.83,202603020
e,artwork_kai_0003,artwork_kai_0003,InitialLeaderPointUp,20,25,30,40,50,202603020
e,artwork_sur_0001,artwork_sur_0001,AttackPowerUp,0.28,0.55,0.83,1.1,1.65,202603020
e,artwork_sur_0002,artwork_sur_0002,InitialLeaderPointUp,10,15,20,25,30,202603020
e,artwork_sur_0003,artwork_sur_0003,HpUp,1.33,1.5,1.66,1.83,2,202603020
e,artwork_rik_0001,artwork_rik_0001,HpUp,0.28,0.55,0.83,1.1,1.65,202603020
e,artwork_rik_0002,artwork_rik_0002,HpUp,0.37,0.73,1.1,1.47,1.83,202603020
e,artwork_rik_0003,artwork_rik_0003,AttackPowerUp,1.41,1.59,1.77,1.94,2.12,202603020
e,artwork_mag_0001,artwork_mag_0001,InitialLeaderPointUp,5,7,10,15,20,202603020
e,artwork_mag_0002,artwork_mag_0002,HpUp,0.37,0.73,1.1,1.47,1.83,202603020
e,artwork_mag_0003,artwork_mag_0003,JumbleRushChargeSpeedUp,30,50,75,85,100,202603020
e,artwork_sum_0001,artwork_sum_0001,AttackPowerUp,0.28,0.55,0.83,1.1,1.65,202603020
e,artwork_sum_0002,artwork_sum_0002,HpUp,0.37,0.73,1.1,1.47,1.83,202603020
e,artwork_sum_0003,artwork_sum_0003,SpecialAttackChargeSpeedUp,50,60,70,80,100,202603020
e,artwork_osh_0001,artwork_osh_0001,AttackPowerUp,0.28,0.55,0.83,1.1,1.65,202603020
e,artwork_osh_0002,artwork_osh_0002,InitialLeaderPointUp,10,15,20,25,30,202603020
e,artwork_osh_0003,artwork_osh_0003,HpUp,1.33,1.5,1.67,1.83,2,202603020
e,artwork_tutorial_0001,artwork_tutorial_0001,InitialLeaderPointUp,5,7,10,15,20,202603020
e,artwork_event_kai_0001,artwork_event_kai_0001,AttackPowerUp,0.58,0.67,0.8,0.93,1.02,202603020
e,artwork_event_kai_0002,artwork_event_kai_0002,HpUp,1.16,1.34,1.6,1.87,2.05,202603020
e,artwork_event_spy_0001,artwork_event_spy_0001,AttackPowerUp,0.58,0.67,0.8,0.93,1.02,202603020
e,artwork_event_spy_0002,artwork_event_spy_0002,HpUp,1.16,1.34,1.6,1.87,2.05,202603020
e,artwork_event_dan_0001,artwork_event_dan_0001,HpUp,1.16,1.34,1.6,1.87,2.05,202603020
e,artwork_event_dan_0002,artwork_event_dan_0002,AttackPowerUp,0.58,0.67,0.8,0.93,1.02,202603020
e,artwork_event_mag_0001,artwork_event_mag_0001,HpUp,1.16,1.34,1.6,1.87,2.05,202603020
e,artwork_event_mag_0002,artwork_event_mag_0002,AttackPowerUp,0.58,0.67,0.8,0.93,1.02,202603020
e,artwork_event_yuw_0001,artwork_event_yuw_0001,AttackPowerUp,0.58,0.67,0.8,0.93,1.02,202603020
e,artwork_event_yuw_0002,artwork_event_yuw_0002,InitialLeaderPointUp,20,25,30,40,50,202603020
e,artwork_event_sur_0001,artwork_event_sur_0001,AttackPowerUp,0.58,0.67,0.8,0.93,1.02,202603020
e,artwork_event_sur_0002,artwork_event_sur_0002,HpUp,1.16,1.34,1.6,1.87,2.05,202603020
e,artwork_event_osh_0001,artwork_event_osh_0001,InitialLeaderPointUp,20,25,30,40,50,202603020
e,artwork_event_osh_0002,artwork_event_osh_0002,HpUp,1.16,1.34,1.6,1.87,2.05,202603020
e,artwork_event_jig_0001,artwork_event_jig_0001,HpUp,1.16,1.34,1.6,1.87,2.05,202603020
e,artwork_event_jig_0002,artwork_event_jig_0002,AttackPowerUp,0.58,0.67,0.8,0.93,1.02,202603020
e,artwork_event_you_0001,artwork_event_you_0001,AttackPowerUp,0.58,0.67,0.8,0.93,1.02,202603020
e,artwork_event_you_0002,artwork_event_you_0002,HpUp,1.16,1.34,1.6,1.87,2.05,202603020
e,artwork_event_kim_0001,artwork_event_kim_0001,InitialLeaderPointUp,20,25,30,40,50,202603020
e,artwork_event_kim_0002,artwork_event_kim_0002,HpUp,1.16,1.34,1.6,1.87,2.05,202603020
e,artwork_event_hut_0001,artwork_event_hut_0001,AttackPowerUp,0.58,0.67,0.8,0.93,1.02,202603020
e,artwork_event_hut_0002,artwork_event_hut_0002,InitialLeaderPointUp,20,25,30,40,50,202603020
e,artwork_event_ara_0001,artwork_event_ara_0001,JumbleRushDamageUp,0.36,0.46,0.61,0.77,1.02,202603020
e,artwork_event_hyp_0001,artwork_event_hyp_0001,InitialLeaderPointUp,30,35,40,50,60,202603020
e,artwork_event_gam_0001,artwork_event_gam_0001,JumbleRushChargeSpeedUp,30,50,75,85,100,202603020
e,artwork_event_osh_0003,artwork_event_osh_0003,AttackPowerUp,0.58,0.67,0.8,0.93,1.02,202603025
e,artwork_event_gom_0001,artwork_event_gom_0001,HpUp,1.16,1.34,1.6,1.87,2.05,202603025
e,artwork_event_sur_0003,artwork_event_sur_0003,ResummonSpeedUp,70,80,90,100,110,202603020
e,artwork_event_kai_0003,artwork_event_kai_0003,ResummonSpeedUp,70,80,90,100,110,202603025
e,artwork_chara_spy_00001,artwork_chara_spy_00001,HpUp,1,1.5,1.75,2.25,3,202603020
e,artwork_chara_spy_00101,artwork_chara_spy_00101,AttackPowerUp,7.06,8.23,8.82,9.41,10,202603020
e,artwork_chara_spy_00201,artwork_chara_spy_00201,AttackPowerUp,7.06,8.23,8.82,9.41,10,202603020
e,artwork_chara_spy_00501,artwork_chara_spy_00501,HpUp,7.06,8.23,8.82,9.41,10,202603020
e,artwork_chara_dan_00002,artwork_chara_dan_00002,AttackPowerUp,7.06,8.23,8.82,9.41,10,202603020
e,artwork_chara_dan_00202,artwork_chara_dan_00202,AttackPowerUp,7.06,8.23,8.82,9.41,10,202603020
e,artwork_chara_gom_00001,artwork_chara_gom_00001,HpUp,7.06,8.23,8.82,9.41,10,202603020
e,artwork_chara_chi_00002,artwork_chara_chi_00002,ResummonSpeedUp,112,127,135,142,150,202603020
e,artwork_chara_kai_00002,artwork_chara_kai_00002,AttackPowerUp,7.06,8.23,8.82,9.41,10,202603020
e,artwork_chara_kai_00102,artwork_chara_kai_00102,ResummonSpeedUp,112,127,135,142,150,202603020
e,artwork_chara_kai_00201,artwork_chara_kai_00201,AttackPowerUp,7.06,8.23,8.82,9.41,10,202603020
e,artwork_chara_kai_00701,artwork_chara_kai_00701,HpUp,10,12,13,14,15,202603025
e,artwork_chara_yuw_00001,artwork_chara_yuw_00001,AttackPowerUp,7.06,8.23,8.82,9.41,10,202603020
e,artwork_chara_yuw_00101,artwork_chara_yuw_00101,ResummonSpeedUp,112,127,135,142,150,202603020
e,artwork_chara_yuw_00102,artwork_chara_yuw_00102,SpecialAttackChargeSpeedUp,125,187,250,310,370,202603020
e,artwork_chara_yuw_00301,artwork_chara_yuw_00301,SpecialAttackChargeSpeedUp,75,112,150,185,220,202603020
e,artwork_chara_yuw_00401,artwork_chara_yuw_00401,HpUp,7.06,8.23,8.82,9.41,10,202603020
e,artwork_chara_sur_00101,artwork_chara_sur_00101,AttackPowerUp,7.06,8.23,8.82,9.41,10,202603020
e,artwork_chara_sur_00501,artwork_chara_sur_00501,ResummonSpeedUp,112,127,135,142,150,202603020
e,artwork_chara_sur_00901,artwork_chara_sur_00901,AttackPowerUp,10,12,13,14,15,202603020
e,artwork_chara_tak_00001,artwork_chara_tak_00001,HpUp,7.06,8.23,8.82,9.41,10,202603020
e,artwork_chara_jig_00001,artwork_chara_jig_00001,ResummonSpeedUp,112,127,135,142,150,202603020
e,artwork_chara_jig_00401,artwork_chara_jig_00401,ResummonSpeedUp,112,127,135,142,150,202603020
e,artwork_chara_mag_00001,artwork_chara_mag_00001,AttackPowerUp,7.06,8.23,8.82,9.41,10,202603020
e,artwork_chara_mag_00201,artwork_chara_mag_00201,AttackPowerUp,7.06,8.23,8.82,9.41,10,202603020
e,artwork_chara_sum_00101,artwork_chara_sum_00101,SpecialAttackChargeSpeedUp,75,112,150,185,220,202603020
e,artwork_chara_osh_00001,artwork_chara_osh_00001,ResummonSpeedUp,187,212,225,237,250,202603020
e,artwork_chara_osh_00101,artwork_chara_osh_00101,AttackPowerUp,1,1.5,1.75,2.25,3,202603020
e,artwork_chara_you_00001,artwork_chara_you_00001,AttackPowerUp,7.06,8.23,8.82,9.41,10,202603020
e,artwork_chara_kim_00001,artwork_chara_kim_00001,HpUp,7.06,8.23,8.82,9.41,10,202603020
e,artwork_chara_hut_00001,artwork_chara_hut_00001,HpUp,7.06,8.23,8.82,9.41,10,202603020
e,artwork_chara_gom_00401,artwork_chara_gom_00401,AttackPowerUp,1,1.5,1.75,2.25,3,202603025
