ENABLE,id,mst_artwork_id,language,grade_level1_effect_text,grade_level2_effect_text,grade_level3_effect_text,grade_level4_effect_text,grade_level5_effect_text,release_key
e,artwork_spy_0001,artwork_spy_0001,ja,バトル中永続で、ランダムに味方1体の攻撃を0.28%UP,バトル中永続で、ランダムに味方1体の攻撃を0.55%UP,バトル中永続で、ランダムに味方1体の攻撃を0.83%UP,バトル中永続で、ランダムに味方1体の攻撃を1.10%UP,バトル中永続で、ランダムに味方1体の攻撃を1.65%UP,202603020
e,artwork_spy_0002,artwork_spy_0002,ja,バトル中永続で、ランダムに味方3体の体力を0.37%UP,バトル中永続で、ランダムに味方3体の体力を0.73%UP,バトル中永続で、ランダムに味方3体の体力を1.10%UP,バトル中永続で、ランダムに味方3体の体力を1.47%UP,バトル中永続で、ランダムに味方3体の体力を1.83%UP,202603020
e,artwork_spy_0003,artwork_spy_0003,ja,バトル中永続で、『SPY×FAMILY』作品キャラを1体以上編成している場合、ランダムに味方3体の攻撃を2.37%UP,バトル中永続で、『SPY×FAMILY』作品キャラを1体以上編成している場合、ランダムに味方3体の攻撃を2.67%UP,バトル中永続で、『SPY×FAMILY』作品キャラを1体以上編成している場合、ランダムに味方3体の攻撃を2.97%UP,バトル中永続で、『SPY×FAMILY』作品キャラを1体以上編成している場合、ランダムに味方3体の攻撃を3.26%UP,バトル中永続で、『SPY×FAMILY』作品キャラを1体以上編成している場合、ランダムに味方3体の攻撃を3.56%UP,202603020
e,artwork_gom_0001,artwork_gom_0001,ja,バトル中永続で、ランダムに味方1体の体力を0.28%UP,バトル中永続で、ランダムに味方1体の体力を0.55%UP,バトル中永続で、ランダムに味方1体の体力を0.83%UP,バトル中永続で、ランダムに味方1体の体力を1.10%UP,バトル中永続で、ランダムに味方1体の体力を1.65%UP,202603020
e,artwork_gom_0002,artwork_gom_0002,ja,バトル中永続で、ランダムに味方3体の攻撃を0.37%UP,バトル中永続で、ランダムに味方3体の攻撃を0.73%UP,バトル中永続で、ランダムに味方3体の攻撃を1.10%UP,バトル中永続で、ランダムに味方3体の攻撃を1.47%UP,バトル中永続で、ランダムに味方3体の攻撃を1.83%UP,202603020
e,artwork_gom_0003,artwork_gom_0003,ja,バトル中永続で、『姫様“拷問”の時間です』作品キャラを1体以上編成している場合、ランダムに味方3体の攻撃を0.75%UP,バトル中永続で、『姫様“拷問”の時間です』作品キャラを1体以上編成している場合、ランダムに味方3体の攻撃を0.84%UP,バトル中永続で、『姫様“拷問”の時間です』作品キャラを1体以上編成している場合、ランダムに味方3体の攻撃を0.93%UP,バトル中永続で、『姫様“拷問”の時間です』作品キャラを1体以上編成している場合、ランダムに味方3体の攻撃を1.03%UP,バトル中永続で、『姫様“拷問”の時間です』作品キャラを1体以上編成している場合、ランダムに味方3体の攻撃を1.12%UP,202603020
e,artwork_aka_0001,artwork_aka_0001,ja,バトル中永続で、ランダムに味方1体の攻撃を0.28%UP,バトル中永続で、ランダムに味方1体の攻撃を0.55%UP,バトル中永続で、ランダムに味方1体の攻撃を0.83%UP,バトル中永続で、ランダムに味方1体の攻撃を1.10%UP,バトル中永続で、ランダムに味方1体の攻撃を1.65%UP,202603020
e,artwork_aka_0002,artwork_aka_0002,ja,バトル中永続で、ランダムに味方3体の体力を0.37%UP,バトル中永続で、ランダムに味方3体の体力を0.73%UP,バトル中永続で、ランダムに味方3体の体力を1.10%UP,バトル中永続で、ランダムに味方3体の体力を1.47%UP,バトル中永続で、ランダムに味方3体の体力を1.83%UP,202603020
e,artwork_aka_0003,artwork_aka_0003,ja,バトル中永続で、『ラーメン赤猫』作品キャラを1体以上編成している場合、ランダムに味方3体の体力を1.33%UP,バトル中永続で、『ラーメン赤猫』作品キャラを1体以上編成している場合、ランダムに味方3体の体力を1.50%UP,バトル中永続で、『ラーメン赤猫』作品キャラを1体以上編成している場合、ランダムに味方3体の体力を1.67%UP,バトル中永続で、『ラーメン赤猫』作品キャラを1体以上編成している場合、ランダムに味方3体の体力を1.83%UP,バトル中永続で、『ラーメン赤猫』作品キャラを1体以上編成している場合、ランダムに味方3体の体力を2%UP,202603020
e,artwork_dan_0001,artwork_dan_0001,ja,"バトル中永続で、『ダンダダン』作品キャラを1体以上編成している場合、JUMBLE RUSHで与えるダメージを0.02%UP","バトル中永続で、『ダンダダン』作品キャラを1体以上編成している場合、JUMBLE RUSHで与えるダメージを0.05%UP","バトル中永続で、『ダンダダン』作品キャラを1体以上編成している場合、JUMBLE RUSHで与えるダメージを0.07%UP","バトル中永続で、『ダンダダン』作品キャラを1体以上編成している場合、JUMBLE RUSHで与えるダメージを0.10%UP","バトル中永続で、『ダンダダン』作品キャラを1体以上編成している場合、JUMBLE RUSHで与えるダメージを0.12%UP",202603020
e,artwork_dan_0002,artwork_dan_0002,ja,バトル中永続で、ランダムに味方3体の攻撃を0.37%UP,バトル中永続で、ランダムに味方3体の攻撃を0.73%UP,バトル中永続で、ランダムに味方3体の攻撃を1.10%UP,バトル中永続で、ランダムに味方3体の攻撃を1.47%UP,バトル中永続で、ランダムに味方3体の攻撃を1.83%UP,202603020
e,artwork_dan_0003,artwork_dan_0003,ja,バトル中永続で、『ダンダダン』作品キャラを1体以上編成している場合、ランダムに味方3体の攻撃を1.23%UP,バトル中永続で、『ダンダダン』作品キャラを1体以上編成している場合、ランダムに味方3体の攻撃を1.38%UP,バトル中永続で、『ダンダダン』作品キャラを1体以上編成している場合、ランダムに味方3体の攻撃を1.53%UP,バトル中永続で、『ダンダダン』作品キャラを1体以上編成している場合、ランダムに味方3体の攻撃を1.69%UP,バトル中永続で、『ダンダダン』作品キャラを1体以上編成している場合、ランダムに味方3体の攻撃を1.84%UP,202603020
e,artwork_jig_0001,artwork_jig_0001,ja,バトル中永続で、ランダムに味方1体の体力を0.28%UP,バトル中永続で、ランダムに味方1体の体力を0.55%UP,バトル中永続で、ランダムに味方1体の体力を0.83%UP,バトル中永続で、ランダムに味方1体の体力を1.10%UP,バトル中永続で、ランダムに味方1体の体力を1.65%UP,202603020
e,artwork_jig_0002,artwork_jig_0002,ja,バトル中永続で、ランダムに味方3体の攻撃を0.37%UP,バトル中永続で、ランダムに味方3体の攻撃を0.73%UP,バトル中永続で、ランダムに味方3体の攻撃を1.10%UP,バトル中永続で、ランダムに味方3体の攻撃を1.47%UP,バトル中永続で、ランダムに味方3体の攻撃を1.83%UP,202603020
e,artwork_jig_0003,artwork_jig_0003,ja,バトル中永続で、『地獄楽』作品キャラを1体以上編成している場合、ランダムに味方3体の攻撃を1.41%UP,バトル中永続で、『地獄楽』作品キャラを1体以上編成している場合、ランダムに味方3体の攻撃を1.59%UP,バトル中永続で、『地獄楽』作品キャラを1体以上編成している場合、ランダムに味方3体の攻撃を1.77%UP,バトル中永続で、『地獄楽』作品キャラを1体以上編成している場合、ランダムに味方3体の攻撃を1.94%UP,バトル中永続で、『地獄楽』作品キャラを1体以上編成している場合、ランダムに味方3体の攻撃を2.12%UP,202603020
e,artwork_tak_0001,artwork_tak_0001,ja,"バトル中永続で、『タコピーの原罪』作品キャラを1体以上編成している場合、JUMBLE RUSHで与えるダメージを0.02%UP","バトル中永続で、『タコピーの原罪』作品キャラを1体以上編成している場合、JUMBLE RUSHで与えるダメージを0.05%UP","バトル中永続で、『タコピーの原罪』作品キャラを1体以上編成している場合、JUMBLE RUSHで与えるダメージを0.07%UP","バトル中永続で、『タコピーの原罪』作品キャラを1体以上編成している場合、JUMBLE RUSHで与えるダメージを0.09%UP","バトル中永続で、『タコピーの原罪』作品キャラを1体以上編成している場合、JUMBLE RUSHで与えるダメージを0.12%UP",202603020
e,artwork_tak_0002,artwork_tak_0002,ja,バトル中永続で、ランダムに味方3体の攻撃を0.37%UP,バトル中永続で、ランダムに味方3体の攻撃を0.73%UP,バトル中永続で、ランダムに味方3体の攻撃を1.10%UP,バトル中永続で、ランダムに味方3体の攻撃を1.47%UP,バトル中永続で、ランダムに味方3体の攻撃を1.83%UP,202603020
e,artwork_tak_0003,artwork_tak_0003,ja,"バトル中永続で、『タコピーの原罪』作品キャラを1体以上編成している場合、JUMBLE RUSHで与えるダメージを0.50%UP","バトル中永続で、『タコピーの原罪』作品キャラを1体以上編成している場合、JUMBLE RUSHで与えるダメージを0.60%UP","バトル中永続で、『タコピーの原罪』作品キャラを1体以上編成している場合、JUMBLE RUSHで与えるダメージを0.71%UP","バトル中永続で、『タコピーの原罪』作品キャラを1体以上編成している場合、JUMBLE RUSHで与えるダメージを0.81%UP","バトル中永続で、『タコピーの原罪』作品キャラを1体以上編成している場合、JUMBLE RUSHで与えるダメージを1.02%UP",202603020
e,artwork_chi_0001,artwork_chi_0001,ja,バトル中永続で、ランダムに味方1体の攻撃を0.28%UP,バトル中永続で、ランダムに味方1体の攻撃を0.55%UP,バトル中永続で、ランダムに味方1体の攻撃を0.83%UP,バトル中永続で、ランダムに味方1体の攻撃を1.10%UP,バトル中永続で、ランダムに味方1体の攻撃を1.65%UP,202603020
e,artwork_chi_0002,artwork_chi_0002,ja,"バトル中永続で、『チェンソーマン』作品キャラを1体以上編成している場合、JUMBLE RUSH発動までの時間を0.40秒短縮","バトル中永続で、『チェンソーマン』作品キャラを1体以上編成している場合、JUMBLE RUSH発動までの時間を0.60秒短縮","バトル中永続で、『チェンソーマン』作品キャラを1体以上編成している場合、JUMBLE RUSH発動までの時間を0.86秒短縮","バトル中永続で、『チェンソーマン』作品キャラを1体以上編成している場合、JUMBLE RUSH発動までの時間を1.20秒短縮","バトル中永続で、『チェンソーマン』作品キャラを1体以上編成している場合、JUMBLE RUSH発動までの時間を1.50秒短縮",202603020
e,artwork_chi_0003,artwork_chi_0003,ja,"バトル中永続で、『チェンソーマン』作品キャラを1体以上編成している場合、JUMBLE RUSHで与えるダメージを0.38%UP","バトル中永続で、『チェンソーマン』作品キャラを1体以上編成している場合、JUMBLE RUSHで与えるダメージを0.47%UP","バトル中永続で、『チェンソーマン』作品キャラを1体以上編成している場合、JUMBLE RUSHで与えるダメージを0.55%UP","バトル中永続で、『チェンソーマン』作品キャラを1体以上編成している場合、JUMBLE RUSHで与えるダメージを0.72%UP","バトル中永続で、『チェンソーマン』作品キャラを1体以上編成している場合、JUMBLE RUSHで与えるダメージを1.02%UP",202603020
e,artwork_kai_0001,artwork_kai_0001,ja,バトル中永続で、ランダムに味方1体の攻撃を0.28%UP,バトル中永続で、ランダムに味方1体の攻撃を0.55%UP,バトル中永続で、ランダムに味方1体の攻撃を0.83%UP,バトル中永続で、ランダムに味方1体の攻撃を1.10%UP,バトル中永続で、ランダムに味方1体の攻撃を1.65%UP,202603020
