ENABLE,release_key,id,opr_gacha_id,step_number,loop_count_target,resource_type,resource_id,resource_amount
e,999999999,1,step_1,1,0,FreeDiamond,,1
e,999999999,2,step_2,1,0,FreeDiamond,,1
e,999999999,3,step_2,2,0,FreeDiamond,,100
e,999999999,4,step_2,3,0,FreeDiamond,,20
e,999999999,5,step_2,4,0,FreeDiamond,,10
e,999999999,6,step_2,5,0,FreeDiamond,,500
e,999999999,7,test_stepup_1,1,__NULL__,Item,stamina_item_glo_00001,10
e,999999999,8,test_stepup_1,2,__NULL__,Coin,,100000
e,999999999,9,test_stepup_1,3,__NULL__,Unit,chara_spy_00101,1
e,999999999,10,test_stepup_1,4,__NULL__,Coin,,100000
e,999999999,11,test_stepup_1,5,__NULL__,Item,stamina_item_glo_00001,10
e,202603020,12,stepup_half_1,1,__NULL__,Item,stamina_item_glo_00001,10
e,202603020,13,stepup_half_1,3,__NULL__,Item,stamina_item_glo_00001,10
e,202603020,14,stepup_half_1,5,__NULL__,Item,stamina_item_glo_00001,10
e,202603020,15,stepup_half_Ticket_1,1,__NULL__,Item,stamina_item_glo_00001,10
e,202603020,16,stepup_half_Ticket_1,3,__NULL__,Item,stamina_item_glo_00001,10
e,202603020,17,stepup_half_Ticket_1,5,__NULL__,Item,stamina_item_glo_00001,10
