ENABLE,id,opr_gacha_id,mst_unit_id,language,sort_order,description,release_key
e,1,Pickup_kai_001,chara_kai_00201,ja,1,遠距離から単体と範囲攻撃を使い分ける器用なアタッカー！,202509010
e,2,Pickup_kai_001,chara_kai_00401,ja,2,近距離で素早く攻撃し、必殺ワザの連続攻撃で大ダメージ！,202509010
e,3,StartDash_001,chara_gom_00001,ja,1,"必殺ワザと特性で\n耐久性抜群の\nディフェンスキャラ!",202509010
e,4,StartDash_001,chara_jig_00001,ja,2,"火傷付与と\n状態異常軽減を\n兼ね揃えている\nテクニカルキャラ!",202509010
e,5,StartDash_001,chara_jig_00101,ja,3,"必殺ワザで\n緑属性の相手に対して\n大ダメージを与える!",202509010
e,6,StartDash_001,chara_gom_00101,ja,4,"敵の攻撃力を下げて\n味方を支援！",202509010
e,7,UR_10Ticket_001,chara_dan_00002,ja,1,"連続攻撃の必殺ワザで\n複数の相手を一掃する\nアタックキャラ!",202509010
e,8,UR_10Ticket_001,chara_mag_00001,ja,2,"遠距離からの\n通常攻撃が強力!\n必殺ワザで複数の相手\nに攻撃可能!",202509010
e,9,UR_10Ticket_001,chara_spy_00101,ja,3,"遠距離アタッカー!\nさらに、必殺ワザで\n青属性の相手に\n大ダメージを与える!",202509010
e,10,UR_10Ticket_001,chara_kai_00002,ja,4,"必殺ワザの\n連続範囲攻撃で\n圧倒的ダメージを誇る\nアタッカー!",202509010
e,11,Special_Ticket_001,chara_gom_00001,ja,1,"必殺ワザと特性で\n耐久性抜群の\nディフェンスキャラ!",202509010
e,12,Special_Ticket_001,chara_jig_00001,ja,2,"火傷付与と\n状態異常軽減を\n兼ね揃えている\nテクニカルキャラ!",202509010
e,13,Special_Ticket_001,chara_jig_00101,ja,3,"必殺ワザで\n緑属性の相手に対して\n大ダメージを与える!",202509010
e,14,Special_Ticket_001,chara_gom_00101,ja,4,"敵の攻撃力を下げて\n味方を支援！",202509010
e,15,Pickup_kai_Ticket_001,chara_kai_00201,ja,1,遠距離から単体と範囲攻撃を使い分ける器用なアタッカー！,202509010
e,16,Pickup_kai_Ticket_001,chara_kai_00401,ja,2,近距離で素早く攻撃し、必殺ワザの連続攻撃で大ダメージ！,202509010
e,17,StartDash_Ticket_001,chara_gom_00001,ja,1,"必殺ワザと特性で\n耐久性抜群の\nディフェンスキャラ!",202509010
e,18,StartDash_Ticket_001,chara_jig_00001,ja,2,"火傷付与と\n状態異常軽減を\n兼ね揃えている\nテクニカルキャラ!",202509010
e,19,StartDash_Ticket_001,chara_jig_00101,ja,3,"必殺ワザで\n緑属性の相手に対して\n大ダメージを与える!",202509010
e,20,StartDash_Ticket_001,chara_gom_00101,ja,4,"敵の攻撃力を下げて\n味方を支援！",202509010
e,21,Pickup_spy_001,chara_spy_00501,ja,1,"必殺ワザの\nダメージカットで\n味方を守る\nディフェンスキャラ!",202510010
e,22,Pickup_spy_002,chara_spy_00101,ja,1,"遠距離アタッカー!\nさらに、必殺ワザで\n青属性の相手に\n大ダメージを与える!",202510010
e,23,Pickup_spy_002,chara_spy_00201,ja,2,"高い攻撃性能を誇り\n必殺ワザで大ダメージ\nを与えつつ\n自身の攻撃もUP!",202510010
e,24,Pickup_spy_002,chara_spy_00001,ja,3,"必殺ワザで\n特定のコマにいる味方\nを一気に回復!\nさらに攻撃をUP!",202510010
e,25,Pickup_mag_001,chara_mag_00201,ja,1,"必殺ワザで遠距離から\n範囲攻撃できる\nアタックキャラ!\n特定の条件で攻撃UP",202511010
e,26,Pickup_mag_001,chara_mag_00301,ja,2,"中距離のディフェンス\nキャラ!\n必殺ワザで自身が\n受けるダメージカット",202511010
e,27,Pickup_mag_002,chara_mag_00001,ja,1,"遠距離からの\n通常攻撃が強力!\n必殺ワザの範囲攻撃で\n複数の相手にダメージ",202511010
e,28,Pickup_mag_002,chara_mag_00301,ja,2,"中距離のディフェンス\nキャラ!\n必殺ワザで自身が\n受けるダメージカット",202511010
e,29,Pickup_dan_001,chara_dan_00202,ja,1,"中距離の攻撃が得意な\nアタックキャラ!\n必殺ワザの連続攻撃で\n単体にダメージ!",202510020
e,30,Pickup_dan_001,chara_dan_00101,ja,2,"必殺ワザで複数の相手\nにダメージを与え\n相手をノックバック\nさせることができる!",202510020
e,31,Pickup_dan_002,chara_dan_00002,ja,1,"素早く前線に到着し\n連続攻撃の必殺ワザで\n複数の相手に\nダメージを与える",202510020
e,32,Pickup_dan_002,chara_dan_00101,ja,2,"必殺ワザで複数の相手\nにダメージを与え\n相手をノックバック\nさせることができる!",202510020
e,36,Pickup_yuw_001,chara_yuw_00401,ja,1,"必殺ワザで\n単体に大ダメージ!\n特定の条件で\n自身の被ダメージをカット!",202511020
e,37,Pickup_yuw_001,chara_yuw_00301,ja,2,"チームの火力を上げる\nサポートキャラ!\n必殺ワザの攻撃UPで\nチーム全体を優位に！",202511020
e,38,Pickup_yuw_001,chara_yuw_00201,ja,3,"必殺ワザで\n複数の相手の\n攻撃をDOWNする\nテクニカルキャラ!",202511020
e,39,Pickup_yuw_002,chara_yuw_00001,ja,1,"必殺ワザで複数の相手にダメージを与える!\nさらに、必殺ワザで\n青属性の相手には大ダメージ!",202511020
e,40,Pickup_yuw_002,chara_yuw_00101,ja,2,"必殺ワザで相手の\n攻撃をDOWNさせる\nテクニカルキャラ!",202511020
e,41,Pickup_yuw_002,chara_yuw_00201,ja,3,"必殺ワザで\n複数の相手の\n攻撃をDOWNする\nテクニカルキャラ!",202511020
e,42,Pickup_sur_001,chara_sur_00501,ja,1,"遠距離から\n広範囲の必殺ワザで\n相手をスタン状態に\nすることができるぞ!",202512010
e,43,Pickup_sur_001,chara_sur_00601,ja,2,"中距離からの必殺ワザ\nで複数の相手を\nスタン状態にすること\nができるぞ!",202512010
e,44,Pickup_sur_002,chara_sur_00101,ja,1,"必殺ワザの範囲攻撃で\n複数の相手に\nダメージ!\n特性も強力!",202512010
e,45,Pickup_sur_002,chara_sur_00601,ja,2,"中距離からの必殺ワザ\nで複数の相手を\nスタン状態にすること\nができるぞ!",202512010
e,46,Fest_Xmas_001,chara_yuw_00102,ja,1,"広範囲の必殺ワザで\n相手にダメージを与え\nオブジェクトを\nランダムに生成する!",202512015
e,47,Fest_osh_001,chara_osh_00001,ja,1,"味方の必殺ワザ発動の\n時間を短縮できるぞ!\nさらに、必殺ワザで\n複数の攻撃をDOWN",202512020
e,48,Pickup_osh_001,chara_osh_00101,ja,1,"選択したコマと\n一つ先までのコマに\nいる敵にダメージ!\n味方の再召喚時間短縮",202512020
e,49,Pickup_osh_001,chara_osh_00201,ja,2,"必殺ワザで\n自身の攻撃をUPする\nアタックキャラ! ",202512020
e,50,Pickup_osh_001,chara_osh_00301,ja,3,"必殺ワザで\n自身と黄属性の味方の\nダメージをカット!",202512020
e,51,Pickup_osh_001,chara_osh_00401,ja,4,"必殺ワザで\n複数の相手を\nスタン状態にする!	",202512020
e,52,Pickup_osh_001,chara_osh_00501,ja,5,"必殺ワザで\n複数の相手の攻撃を\nDOWNする\nテクニカルキャラ!",202512020
e,53,SSRticket_osh_001,chara_osh_00201,ja,1,"必殺ワザで\n自身の攻撃をUPする\nアタックキャラ! ",202512020
e,54,SSRticket_osh_001,chara_osh_00301,ja,2,"必殺ワザで\n自身と黄属性の味方の\nダメージをカット!",202512020
e,55,SSRticket_osh_001,chara_osh_00401,ja,3,"必殺ワザで\n複数の相手を\nスタン状態にする!	",202512020
e,56,SSRticket_osh_001,chara_osh_00501,ja,4,"必殺ワザで\n複数の相手の攻撃を\nDOWNする\nテクニカルキャラ!",202512020
e,66,UR_newyear_001,chara_spy_00201,ja,1,"高い攻撃性能を誇り\n必殺ワザで大ダメージ\nを与えつつ\n自身の攻撃もUP!",202512020
e,67,UR_newyear_001,chara_yuw_00001,ja,2,"必殺ワザで複数の相手にダメージを与える!\nさらに、必殺ワザで\n青属性の相手には大ダメージ!",202512020
e,68,UR_newyear_001,chara_mag_00001,ja,3,"遠距離からの\n通常攻撃が強力!\n必殺ワザで複数の相手\nに攻撃可能!",202512020
e,69,UR_newyear_001,chara_kai_00002,ja,4,"必殺ワザの\n連続範囲攻撃で\n圧倒的ダメージを誇る\nアタッカー!",202512020
e,70,Pickup_jig_001,chara_jig_00401,ja,1,"必殺ワザで複数の相手\nを弱体化させつつ、\n体力も吸収する\nテクニカルキャラ! ",202601010
e,71,Pickup_jig_001,chara_jig_00501,ja,2,"前線を支える\nサポートキャラ!\n攻撃UPとダメージ\nカットで戦況を有利に",202601010
e,72,Pickup_jig_002,chara_jig_00001,ja,1,"火傷付与と\n状態異常軽減を\n兼ね揃えている\nテクニカルキャラ!",202601010
e,73,Pickup_jig_002,chara_jig_00501,ja,2,"前線を支える\nサポートキャラ!\n攻撃UPとダメージ\nカットで戦況を有利に",202601010
e,74,UR_newyear_Ticket_001,chara_spy_00201,ja,1,"高い攻撃性能を誇り\n必殺ワザで大ダメージ\nを与えつつ\n自身の攻撃もUP!",202512020
e,75,UR_newyear_Ticket_001,chara_yuw_00001,ja,2,"必殺ワザで複数の相手にダメージを与える!\nさらに、必殺ワザで\n青属性の相手には大ダメージ!",202512020
e,76,UR_newyear_Ticket_001,chara_mag_00001,ja,3,"遠距離からの\n通常攻撃が強力!\n必殺ワザで複数の相手\nに攻撃可能!",202512020
e,77,UR_newyear_Ticket_001,chara_kai_00002,ja,4,"必殺ワザの\n連続範囲攻撃で\n圧倒的ダメージを誇る\nアタッカー!",202512020
e,81,Pickup_you_001,chara_you_00001,ja,1,"必殺ワザで\n連続攻撃する中距離\nアタックキャラ!\n緑属性に大ダメージ!",202602010
e,82,Pickup_you_001,chara_you_00101,ja,2,"必殺ワザで複数体の\n相手にダメージを与え\n相手を毒状態にする\nテクニカルキャラ!",202602010
e,83,Pickup_Valentine_001,chara_sum_00101,ja,1,"前線の維持に特化した\nサポートキャラ!\n必殺ワザで味方の\n被ダメージを軽減! ",202602010
e,84,Pickup_Valentine_001,chara_gom_00001,ja,2,"必殺ワザと特性で\n耐久性抜群の\nディフェンスキャラ!",202602010
e,85,Pickup_Valentine_001,chara_chi_00301,ja,3,"必殺ワザで複数の相手\nにダメージを与える!\n赤属性の相手に\n大ダメージ!",202602010
e,86,Pickup_Valentine_001,chara_dos_00001,ja,4,"前線を支える遠距離\nサポートキャラ!\n攻撃UPで戦況を有利\nに導くことができるぞ",202602010
e,87,Pickup_kim_001,chara_kim_00001,ja,1,キャラ性能待ち,202602020
e,88,Pickup_kim_001,chara_kim_00101,ja,2,キャラ性能待ち,202602020
e,89,Pickup_kim_001,chara_kim_00201,ja,3,キャラ性能待ち,202602020
e,90,Pickup_kim_001,chara_kim_00301,ja,4,キャラ性能待ち,202602020
e,91,SSRticket_kim_001,chara_kim_00101,ja,1,キャラ性能待ち,202602020
e,92,SSRticket_kim_001,chara_kim_00201,ja,2,キャラ性能待ち,202602020
e,93,SSRticket_kim_001,chara_kim_00301,ja,3,キャラ性能待ち,202602020
e,94,Pickup_White_001,chara_chi_00002,ja,1,"必殺ワザで連続攻撃と\n体力吸収する\n近距離での単体攻撃に特化した\nテクニカルキャラ!",202602020
e,95,Pickup_White_001,chara_dan_00002,ja,2,"連続攻撃の必殺ワザで\n複数の相手を一掃する\nアタックキャラ!",202602020
e,96,Pickup_White_001,chara_ron_00001,ja,3,"必殺ワザで\n相手をスタン状態に\nすることができるぞ!",202602020
e,97,Pickup_White_001,chara_aha_00001,ja,4,"コストが低く\n召喚しやすい近距離\nディフェンスキャラ!",202602020
