ENABLE,id,mst_series_id,is_displayed_series_logo,is_displayed_jump_plus,start_at,end_at,asset_key,release_key
e,event_kai_00001,kai,1,1,"2025-09-22 11:00:00","2025-10-22 11:59:59",event_kai_00001,202509010
e,event_spy_00001,spy,1,1,"2025-10-06 15:00:00","2025-11-06 14:59:59",event_spy_00001,202510010
e,event_dan_00001,dan,1,1,"2025-10-22 15:00:00","2025-11-25 14:59:59",event_dan_00001,202510020
e,event_mag_00001,mag,1,1,"2025-11-06 15:00:00","2025-12-08 10:59:59",event_mag_00001,202511010
e,event_yuw_00001,yuw,1,1,"2025-11-25 15:00:00","2025-12-31 23:59:59",event_yuw_00001,202511020
e,event_sur_00001,sur,1,1,"2025-12-08 15:00:00","2026-01-16 10:59:59",event_sur_00001,202512010
e,event_osh_00001,osh,1,1,"2026-01-01 00:00:00","2026-02-02 10:59:59",event_osh_00001,202512020
e,event_glo_00001,glo,1,1,"2026-01-01 00:00:00","2026-01-05 23:59:59",event_glo_00001,202512020
e,event_jig_00001,jig,1,1,"2026-01-16 15:00:00","2026-02-16 10:59:59",event_jig_00001,202601010
e,event_you_00001,you,1,1,"2026-02-02 15:00:00","2026-03-02 14:59:59",event_you_00001,202602010
e,event_kim_00001,kim,1,1,"2026-02-16 15:00:00","2026-03-16 14:59:59",event_you_00001,999999999
