ENABLE,id,gacha_type,upper_group,enable_ad_play,enable_add_ad_play_upper,ad_play_interval_time,multi_draw_count,multi_fixed_prize_count,daily_play_limit_count,total_play_limit_count,daily_ad_limit_count,total_ad_limit_count,prize_group_id,fixed_prize_group_id,appearance_condition,unlock_condition_type,unlock_duration_hours,start_at,end_at,display_information_id,display_gacha_caution_id,gacha_priority,release_key
e,2,Premium,Premium,1,1,0,10,0,__NULL__,__NULL__,3,__NULL__,1,__NULL__,Always,None,__NULL__,"2024-01-01 09:00:00","2038-01-01 00:00:00",,4c341dda-20e1-42ff-8ade-b0fc02e07f8d,5,1
e,3,Pickup,Pickup,1,1,0,10,0,__NULL__,__NULL__,3,__NULL__,2,__NULL__,Always,None,__NULL__,"2024-01-01 09:00:00","2025-09-04 09:00:00",9ceb2784-91c5-4e01-a70a-c1dffac1be6c,4c341dda-20e1-42ff-8ade-b0fc02e07f8d,1,1
e,4,Festival,Festival,1,,0,10,0,__NULL__,__NULL__,1,__NULL__,2,__NULL__,Always,None,__NULL__,"2024-01-01 09:00:00","2026-09-04 09:00:00",9ceb2784-91c5-4e01-a70a-c1dffac1be6c,4c341dda-20e1-42ff-8ade-b0fc02e07f8d,2,1
e,fes_2,Festival,Festival,1,,0,10,0,__NULL__,__NULL__,1,__NULL__,2,__NULL__,Always,None,__NULL__,"2024-01-01 09:00:00","2026-09-04 09:00:00",9ceb2784-91c5-4e01-a70a-c1dffac1be6c,4c341dda-20e1-42ff-8ade-b0fc02e07f8d,20,1
e,5,Ticket,Ticket,,,__NULL__,10,0,__NULL__,__NULL__,1,__NULL__,1,__NULL__,HasTicket,None,__NULL__,"2024-01-01 09:00:00","2026-09-04 09:00:00",9ceb2784-91c5-4e01-a70a-c1dffac1be6c,4c341dda-20e1-42ff-8ade-b0fc02e07f8d,3,1
e,ticket_2,Ticket,Ticket,,,__NULL__,10,0,__NULL__,__NULL__,1,__NULL__,1,__NULL__,Always,None,__NULL__,"2024-01-01 09:00:00","2026-09-04 09:00:00",9ceb2784-91c5-4e01-a70a-c1dffac1be6c,4c341dda-20e1-42ff-8ade-b0fc02e07f8d,3,1
e,6,PaidOnly,PaidOnly,,,__NULL__,10,0,__NULL__,10,1,__NULL__,2,__NULL__,Always,None,__NULL__,"2024-01-01 09:00:00","2026-09-04 09:00:00",9ceb2784-91c5-4e01-a70a-c1dffac1be6c,4c341dda-20e1-42ff-8ade-b0fc02e07f8d,4,1
e,7,Medal,Medal2,,,__NULL__,10,1,__NULL__,__NULL__,0,__NULL__,Pickup_kai_001,fixd_Pickup_kai_001,HasTicket,None,__NULL__,"2024-01-01 09:00:00","2026-09-04 09:00:00",9ceb2784-91c5-4e01-a70a-c1dffac1be6c,,1,1
e,8,Medal,Medal2,,,__NULL__,10,1,__NULL__,__NULL__,0,__NULL__,Pickup_kai_001,fixd_Pickup_kai_001,Always,None,__NULL__,"2024-01-01 09:00:00","2026-09-04 09:00:00",,,2,1
e,0,Tutorial,,,,__NULL__,10,1,__NULL__,__NULL__,0,__NULL__,4,5,Always,None,__NULL__,"2024-01-01 09:00:00","2038-01-01 00:00:00",,,100,1
e,9,PaidOnly,,,,__NULL__,10,1,__NULL__,10,0,__NULL__,4,5,Always,MainPartTutorialComplete,72,"2024-01-01 09:00:00","2038-01-01 00:00:00",9ceb2784-91c5-4e01-a70a-c1dffac1be6c,4c341dda-20e1-42ff-8ade-b0fc02e07f8d,100,1
e,Pickup_kai_001,Pickup,Pickup_kai_001,1,1,__NULL__,10,1,__NULL__,__NULL__,3,__NULL__,Pickup_kai_001,fixd_Pickup_kai_001,Always,None,__NULL__,"2025-09-22 00:00:00","2025-11-01 11:59:59",,4c341dda-20e1-42ff-8ade-b0fc02e07f8d,50,1
e,test_normal_pickup,Pickup,,,,__NULL__,10,0,__NULL__,__NULL__,0,__NULL__,only_normal,__NULL__,Always,None,__NULL__,"2024-01-01 09:00:00","2038-01-01 00:00:00",9ea21da9-3bfe-4ecd-8f90-df4f446c23af,4c341dda-20e1-42ff-8ade-b0fc02e07f8d,1,1
