ENABLE,release_key,id,mst_series_id,asset_key,is_phantomized,is_displayed_encyclopedia,mst_attack_hit_onomatopeia_group_id
e,202509010,e_glo_00001_tutorial_Normal_Yellow,glo,enemy_glo_00001,0,0,
e,202509010,e_glo_00001_tutorial_Boss_Yellow,glo,enemy_glo_00001,0,0,
e,202509010,e_glo_00001_general_as_Normal_Red,glo,enemy_glo_00001,0,0,
e,202509010,e_glo_00001_general_as_h_Normal_Red,glo,enemy_glo_00001,0,0,
e,202509010,e_glo_00002_general_as_Boss_Red,glo,enemy_sur_00101,0,0,
e,202509010,e_glo_00002_general_as_h_Boss_Red,glo,enemy_sur_00101,0,0,
e,202509010,e_glo_00001_general_as_Normal_Yellow,glo,enemy_glo_00001,0,0,
e,202509010,e_glo_00001_general_as_h_Normal_Yellow,glo,enemy_glo_00001,0,0,
e,202509010,e_glo_00002_general_as_h_Boss_Yellow,glo,enemy_sur_00101,0,0,
e,202509010,e_glo_00002_general_as_Boss_Yellow,glo,enemy_sur_00101,0,0,
e,202509010,c_spy_00101_general_Boss_Colorless,spy,chara_spy_00101,1,0,
e,202509010,chara_spy_00101,spy,chara_spy_00101,1,1,
e,202509010,chara_spy_00201,spy,chara_spy_00201,1,1,
e,202509010,chara_spy_00401,spy,chara_spy_00401,1,1,
e,202510010,chara_spy_00501,spy,chara_spy_00501,1,1,
e,202509010,chara_aka_00001,aka,chara_aka_00001,1,1,
e,202509010,chara_aka_00101,aka,chara_aka_00101,1,1,
e,202509010,chara_rik_00001,rik,chara_rik_00001,1,1,
e,202509010,chara_rik_00101,rik,chara_rik_00101,1,1,
e,202509010,chara_dan_00001,dan,chara_dan_00001,1,1,
e,202509010,chara_dan_00002,dan,chara_dan_00002,1,1,
e,202509010,chara_dan_00101,dan,chara_dan_00101,1,1,
e,202510020,chara_dan_00201,dan,chara_dan_00201,1,1,
e,202510020,chara_dan_00202,dan,chara_dan_00202,1,1,
e,202510020,chara_dan_00301,dan,chara_dan_00301,1,1,
e,202509010,chara_gom_00001,gom,chara_gom_00001,1,1,
e,202509010,chara_gom_00101,gom,chara_gom_00101,1,1,
e,202509010,chara_gom_00201,gom,chara_gom_00201,1,1,
e,202509010,chara_chi_00001,chi,chara_chi_00001,1,1,
e,202509010,chara_chi_00002,chi,chara_chi_00002,1,1,
e,202509010,chara_chi_00201,chi,chara_chi_00201,1,1,
e,202509010,chara_chi_00301,chi,chara_chi_00301,1,1,
e,202509010,chara_bat_00001,bat,chara_bat_00001,1,0,
e,202509010,chara_bat_00101,bat,chara_bat_00101,1,0,
e,202509010,chara_kai_00001,kai,chara_kai_00001,1,1,
e,202509010,chara_kai_00002,kai,chara_kai_00002,1,1,
e,202509010,chara_kai_00101,kai,chara_kai_00101,1,1,
e,202509010,chara_kai_00201,kai,chara_kai_00201,1,1,
e,202509010,chara_kai_00301,kai,chara_kai_00301,1,1,
e,202509010,chara_kai_00401,kai,chara_kai_00401,1,1,
e,202509010,chara_kai_00501,kai,chara_kai_00501,1,1,
e,202509010,chara_kai_00601,kai,chara_kai_00601,1,1,
e,202511020,chara_yuw_00001,yuw,chara_yuw_00001,1,1,
e,202511020,chara_yuw_00101,yuw,chara_yuw_00101,1,1,
e,202511020,chara_yuw_00201,yuw,chara_yuw_00201,1,1,
e,202511020,chara_yuw_00301,yuw,chara_yuw_00301,1,1,
e,202511020,chara_yuw_00401,yuw,chara_yuw_00401,1,1,
e,202511020,chara_yuw_00501,yuw,chara_yuw_00501,1,1,
e,202511020,chara_yuw_00601,yuw,chara_yuw_00601,1,1,
e,202509010,chara_sur_00001,sur,chara_sur_00001,1,1,
e,202509010,chara_sur_00101,sur,chara_sur_00101,1,1,
e,202509010,chara_sur_00201,sur,chara_sur_00201,1,1,
e,202509010,chara_sur_00301,sur,chara_sur_00301,1,1,
e,202512010,chara_sur_00501,sur,chara_sur_00501,1,1,
e,202512010,chara_sur_00601,sur,chara_sur_00601,1,1,
e,202512010,chara_sur_00701,sur,chara_sur_00701,1,0,
e,202512010,chara_sur_00801,sur,chara_sur_00801,1,1,
e,202509010,chara_tak_00001,tak,chara_tak_00001,1,1,
e,202509010,chara_jig_00001,jig,chara_jig_00001,1,1,
e,202509010,chara_jig_00101,jig,chara_jig_00101,1,1,
e,202509010,chara_jig_00201,jig,chara_jig_00201,1,1,
e,202509010,chara_jig_00301,jig,chara_jig_00301,1,1,
e,202601010,chara_jig_00401,jig,chara_jig_00401,1,1,
e,202601010,chara_jig_00501,jig,chara_jig_00501,1,1,
e,202601010,chara_jig_00601,jig,chara_jig_00601,1,1,
e,202509010,chara_mag_00001,mag,chara_mag_00001,1,1,
e,202509010,chara_mag_00101,mag,chara_mag_00101,1,1,
