ENABLE,id,release_key,campaign_type,target_type,difficulty,target_id_type,target_id,effect_value,asset_key,start_at,end_at
e,Campaign1_1,999999999,Stamina,NormalQuest,Normal,Quest,quest_main_spy_normal_1,50,,"2024-10-10 09:00:00","2025-4-14 15:00:00"
e,Campaign1_2,999999999,Exp,NormalQuest,Hard,Quest,quest_main_gom_hard_2,200,,"2025-5-10 09:00:00","2025-5-21 23:59:59"
e,Campaign1_3,999999999,ArtworkFragment,NormalQuest,Hard,Quest,quest_main_aka_hard_3,200,,"2025-5-10 09:00:00","2025-5-21 23:59:59"
e,Campaign1_4,999999999,ItemDrop,NormalQuest,Hard,Quest,quest_main_glo1_hard_4,200,,"2025-5-10 09:00:00","2025-5-21 23:59:59"
e,Campaign1_5,999999999,CoinDrop,EnhanceQuest,Normal,Quest,quest_enhance_00001,200,,"2025-5-10 09:00:00","2025-5-21 23:59:59"
e,Campaign1_6,999999999,ChallengeCount,AdventBattle,Normal,Quest,,3,,"2024-10-10 09:00:00","2025-4-14 15:00:00"
e,Campaign1_7,999999999,Stamina,NormalQuest,Hard,Quest,quest_main_spy_hard_1,50,,"2024-10-10 09:00:00","2025-6-01 09:00:00"
e,Campaign1_8,999999999,ArtworkFragment,NormalQuest,Hard,Quest,quest_main_spy_hard_1,330,,"2024-10-10 09:00:00","2025-4-19 12:00:00"
e,Campaign1_9,999999999,ItemDrop,EventQuest,Normal,Quest,quest_event_kai1_charaget01,200,,"2025-5-10 09:00:00","2025-5-21 23:59:59"
e,Campaign1_10,999999999,ChallengeCount,AdventBattle,Normal,Quest,,3,,"2024-10-10 09:00:00","2025-4-16 12:00:00"
e,Campaign1_11,999999999,CoinDrop,NormalQuest,Hard,Quest,quest_main_dan_hard_5,200,,"2025-5-10 09:00:00","2025-5-21 23:59:59"
e,Campaign1_12,999999999,CoinDrop,AdventBattle,Normal,Quest,,200,,"2025-5-10 09:00:00","2025-5-21 23:59:59"
e,Campaign1_13,202510020,CoinDrop,EnhanceQuest,Normal,Quest,quest_enhance_00001,200,,"2025-10-22 15:00:00","2025-10-31 14:59:59"
e,BFCampaign1_1,202511020,Stamina,NormalQuest,Normal,Quest,,50,,"2025-11-21 15:00:00","2025-12-01 23:59:59"
e,BFCampaign1_2,202511020,Stamina,NormalQuest,Hard,Quest,,50,,"2025-11-21 15:00:00","2025-12-01 23:59:59"
e,BFCampaign1_3,202511020,Stamina,NormalQuest,Extra,Quest,,50,,"2025-11-21 15:00:00","2025-12-01 23:59:59"
e,BFCampaign1_4,202511020,ChallengeCount,EnhanceQuest,Normal,Quest,quest_enhance_00001,2,,"2025-11-21 15:00:00","2025-12-02 03:59:59"
e,newyear_CP1_1,202512020,Stamina,NormalQuest,Normal,Quest,,50,,"2025-12-26 12:00:00","2026-01-05 11:59:59"
e,newyear_CP1_2,202512020,Stamina,NormalQuest,Hard,Quest,,50,,"2025-12-26 12:00:00","2026-01-05 11:59:59"
e,newyear_CP1_3,202512020,Stamina,NormalQuest,Extra,Quest,,50,,"2025-12-26 12:00:00","2026-01-05 11:59:59"
e,newyear_CP1_4,202512020,ChallengeCount,EnhanceQuest,Normal,Quest,quest_enhance_00001,2,,"2025-12-26 12:00:00","2026-01-05 11:59:59"
e,halfanniv_CP1_1,202603020,ChallengeCount,EnhanceQuest,Normal,Quest,quest_enhance_00001,2,,"2026-03-16 15:00:00","2026-04-13 14:59:59"
