ENABLE,release_key,id,mst_event_id,language,name,balloon
e,202509010,event_kai_00001_ja,event_kai_00001,ja,怪獣８号いいジャン祭,"怪獣８号いいジャン祭\n開催中!"
e,202510010,event_spy_00001_ja,event_spy_00001,ja,SPY×FAMILYいいジャン祭,"SPY×FAMILYいいジャン祭\n開催中！"
e,202510020,event_dan_00001_ja,event_dan_00001,ja,ダンダダンいいジャン祭,"ダンダダンいいジャン祭\n開催中！"
e,202511010,event_mag_00001_ja,event_mag_00001,ja,株式会社マジルミエいいジャン祭,"株式会社マジルミエいいジャン祭\n開催中！"
e,202511020,event_yuw_00001_ja,event_yuw_00001,ja,"2.5次元の誘惑 いいジャン祭","2.5次元の誘惑 いいジャン祭\n開催中！"
e,202512010,event_sur_00001_ja,event_sur_00001,ja,"魔都精兵のスレイブ いいジャン祭","魔都精兵のスレイブ いいジャン祭\n開催中！"
e,202512020,event_osh_00001_ja,event_osh_00001,ja,"【推しの子】 いいジャン祭","【推しの子】 いいジャン祭\n開催中！"
e,202512020,event_glo_00001_ja,event_glo_00001,ja,お正月キャンペーン,"お正月キャンペーン\n開催中！"
e,202601010,event_jig_00001_ja,event_jig_00001,ja,地獄楽いいジャン祭,"地獄楽いいジャン祭\n開催中！"
e,202602015,event_you_00001_ja,event_you_00001,ja,"幼稚園WARS いいジャン祭","幼稚園WARS いいジャン祭\n開催中！"
e,202602020,event_kim_00001_ja,event_kim_00001,ja,"100カノ いいジャン祭","君のことが大大大大大好きな100人の彼女いいジャン祭\n開催中！"
e,202603010,event_hut_00001_ja,event_hut_00001,ja,ふつうの軽音部いいジャン祭,"ふつうの軽音部いいジャン祭\n開催中！"
e,202603020,event_glo_00002_ja,event_glo_00002,ja,"ハーフアニバーサリー感謝祭 前半","ハーフアニバーサリー感謝祭\n開催中！"
e,202603025,event_glo_00003_ja,event_glo_00003,ja,"ハーフアニバーサリー感謝祭 後半","ハーフアニバーサリー感謝祭\n開催中！"
