ENABLE,id,mst_stage_id,reward_category,resource_type,resource_id,resource_amount,percentage,sort_order,release_key
e,1,event_kai1_1day_00001,FirstClear,FreeDiamond,prism_glo_00001,20,100,1,202509010
e,2,event_kai1_charaget01_00001,FirstClear,Unit,chara_kai_00601,1,100,1,202509010
e,3,event_kai1_charaget01_00001,FirstClear,FreeDiamond,prism_glo_00001,30,100,2,202509010
e,4,event_kai1_charaget01_00001,FirstClear,Coin,,250,100,3,202509010
e,5,event_kai1_charaget01_00001,Random,Item,piece_kai_00601,3,10,4,202509010
e,6,event_kai1_charaget01_00002,FirstClear,FreeDiamond,prism_glo_00001,30,100,1,202509010
e,7,event_kai1_charaget01_00002,FirstClear,Coin,,250,100,2,202509010
e,8,event_kai1_charaget01_00002,Random,Item,piece_kai_00601,3,15,3,202509010
e,9,event_kai1_charaget01_00003,FirstClear,FreeDiamond,prism_glo_00001,30,100,1,202509010
e,10,event_kai1_charaget01_00003,FirstClear,Coin,,250,100,2,202509010
e,11,event_kai1_charaget01_00003,Random,Item,piece_kai_00601,3,20,3,202509010
e,12,event_kai1_charaget01_00004,FirstClear,FreeDiamond,prism_glo_00001,30,100,1,202509010
e,13,event_kai1_charaget01_00004,FirstClear,Coin,,350,100,2,202509010
e,14,event_kai1_charaget01_00004,Random,Item,piece_kai_00601,5,25,3,202509010
e,15,event_kai1_charaget01_00005,FirstClear,FreeDiamond,prism_glo_00001,30,100,1,202509010
e,16,event_kai1_charaget01_00005,FirstClear,Coin,,350,100,2,202509010
e,17,event_kai1_charaget01_00005,FirstClear,Item,memory_chara_kai_00601,200,100,3,202509010
e,18,event_kai1_charaget01_00005,Random,Item,piece_kai_00601,5,30,4,202509010
e,19,event_kai1_charaget01_00006,FirstClear,FreeDiamond,prism_glo_00001,30,100,1,202509010
e,20,event_kai1_charaget01_00006,FirstClear,Coin,,350,100,2,202509010
e,21,event_kai1_charaget01_00006,FirstClear,Item,memory_chara_kai_00601,250,100,3,202509010
e,22,event_kai1_charaget01_00006,FirstClear,Item,memoryfragment_glo_00001,15,100,4,202509010
e,23,event_kai1_charaget01_00006,Random,Item,piece_kai_00601,5,40,5,202509010
e,24,event_kai1_charaget01_00007,FirstClear,FreeDiamond,prism_glo_00001,30,100,1,202509010
e,25,event_kai1_charaget01_00007,FirstClear,Coin,,500,100,2,202509010
e,26,event_kai1_charaget01_00007,FirstClear,Item,memory_chara_kai_00601,300,100,3,202509010
e,27,event_kai1_charaget01_00007,FirstClear,Item,memoryfragment_glo_00002,10,100,4,202509010
e,28,event_kai1_charaget01_00007,Random,Item,piece_kai_00601,10,45,5,202509010
e,29,event_kai1_charaget01_00008,FirstClear,FreeDiamond,prism_glo_00001,30,100,1,202509010
e,30,event_kai1_charaget01_00008,FirstClear,Coin,,500,100,2,202509010
e,31,event_kai1_charaget01_00008,FirstClear,Item,memory_chara_kai_00601,350,100,3,202509010
e,32,event_kai1_charaget01_00008,FirstClear,Item,memoryfragment_glo_00003,1,100,4,202509010
e,33,event_kai1_charaget01_00008,Random,Item,piece_kai_00601,10,60,5,202509010
e,34,event_kai1_charaget02_00001,FirstClear,Unit,chara_kai_00501,1,100,1,202509010
e,35,event_kai1_charaget02_00001,FirstClear,FreeDiamond,prism_glo_00001,30,100,2,202509010
e,36,event_kai1_charaget02_00001,FirstClear,Coin,,250,100,3,202509010
e,37,event_kai1_charaget02_00001,Random,Item,piece_kai_00501,3,10,4,202509010
