ENABLE,release_key,id,opr_gacha_id,step_number,cost_type,cost_id,cost_num,draw_count,fixed_prize_count,fixed_prize_rarity_threshold_type,prize_group_id,fixed_prize_group_id,is_first_free
e,1,1,step_1,1,PaidDiamond,,1,1,1,__NULL__,2,5,
e,1,2,step_1,2,Diamond,,10,10,1,UR,2,5,
e,1,3,step_1,3,Diamond,,100,10,1,__NULL__,2,5,
e,1,4,step_1,4,Diamond,,50,10,1,__NULL__,2,5,
e,1,5,step_1,5,Diamond,,100,10,2,UR,2,5,
e,1,6,step_2,1,Diamond,,10,10,1,__NULL__,2,5,
e,1,7,step_2,2,Diamond,,20,10,1,UR,2,5,
e,1,8,step_2,3,Diamond,,30,10,1,__NULL__,2,5,
e,1,9,step_2,4,Diamond,,40,10,1,__NULL__,2,5,
e,1,10,step_2,5,Diamond,,50,10,2,UR,2,5,
e,1,11,step_3,1,Diamond,,1,1,1,__NULL__,2,5,
e,1,12,step_3,2,Diamond,,2,10,1,__NULL__,2,5,
