ENABLE,id,release_key,group_id,mst_mission_event_id,unlock_order
e,1,1,event_dependency_1,event_achievement_1,1
e,2,1,event_dependency_1,event_achievement_2,2
e,3,1,event_dependency_1,event_achievement_3,3
e,4,1,event_dependency_1,event_achievement_4,4
e,5,1,event_dependency_1,event_achievement_5,5
e,6,1,event_dependency_1,event_achievement_6,6
e,7,1,event_dependency_1,event_achievement_7,7
e,8,1,event_dependency_1,event_achievement_8,8
e,9,1,event_dependency_1,event_achievement_9,9
e,10,1,event_dependency_1,event_achievement_10,10
e,11,1,event_dependency_1,event_achievement_11,11
e,12,1,event_dependency_1,event_achievement_12,12
e,13,1,event_dependency_1,event_achievement_13,13
e,14,1,event_dependency_1,event_achievement_14,14
e,15,1,event_dependency_2,event_achievement_15,1
e,16,1,event_dependency_2,event_achievement_16,2
e,17,1,event_dependency_2,event_achievement_17,3
e,18,1,event_dependency_2,event_achievement_18,4
e,19,1,event_dependency_2,event_achievement_19,5
e,20,1,event_dependency_2,event_achievement_20,6
e,21,1,event_dependency_2,event_achievement_21,7
e,22,1,event_dependency_2,event_achievement_22,8
e,23,1,event_dependency_2,event_achievement_23,9
e,24,1,event_dependency_3,event_achievement_24,1
e,25,1,event_dependency_3,event_achievement_25,2
e,26,1,event_dependency_3,event_achievement_26,3
e,27,1,event_dependency_3,event_achievement_27,4
e,28,1,event_dependency_3,event_achievement_28,5
e,29,1,event_dependency_3,event_achievement_29,6
e,30,1,event_dependency_3,event_achievement_30,7
e,31,1,event_dependency_3,event_achievement_31,8
e,32,1,event_dependency_3,event_achievement_32,9
e,33,1,event_dependency_4,event_achievement_37,1
e,34,1,event_dependency_4,event_achievement_38,2
e,35,1,event_dependency_1,event_achievement_39,1
e,36,1,event_dependency_1,event_achievement_40,9
e,37,1,event_dependency_1,event_achievement_41,1
e,38,1,event_dependency_1,event_achievement_42,2
e,39,1,event_dependency_1,event_achievement_43,1
