ENABLE,id,mst_unit_id,mst_dummy_user_id,language,name,release_key
e,test_0_1,chara_aha_00001,dummy_0_1,ja,test_0_1,1
e,test_0_2,chara_aha_00001,dummy_0_2,ja,test_0_2,1
e,test_0_3,chara_aha_00001,dummy_0_3,ja,test_0_3,1
e,test,chara_aha_00001,dummy_1,ja,test,1
e,test_2,chara_aha_00001,dummy_2,ja,test_2,1
e,test_3,chara_aha_00001,dummy_3,ja,test_3,1
e,test_4,chara_aha_00001,dummy_4,ja,test_4,1
e,test_5,chara_aha_00001,dummy_5,ja,test_5,1
e,test_6,chara_aha_00001,dummy_6,ja,test_6,1
e,test_7,chara_aha_00001,dummy_7,ja,test_7,1
e,test_8,chara_aha_00001,dummy_8,ja,test_8,1
e,test_9,chara_aha_00001,dummy_9,ja,test_9,1
e,test_10,chara_aha_00001,dummy_10,ja,test_10,1
e,test_11,chara_aha_00001,dummy_11,ja,test_11,1
e,test_12,chara_aha_00001,dummy_12,ja,test_12,1
e,test_13,chara_aha_00001,dummy_13,ja,test_13,1
e,test_14,chara_aha_00001,dummy_14,ja,test_14,1
e,test_15,chara_aha_00001,dummy_15,ja,test_15,1
e,test_16,chara_aha_00001,dummy_16,ja,test_16,1
e,test_17,chara_aha_00001,dummy_17,ja,test_17,1
e,test_18,chara_aha_00001,dummy_18,ja,test_18,1
e,test_19,chara_aha_00001,dummy_19,ja,test_19,1
e,test_20,chara_aha_00001,dummy_20,ja,test_20,1
e,test_21,chara_aha_00001,dummy_21,ja,test_21,1
e,test_22,chara_aha_00001,dummy_22,ja,test_22,1
e,test_23,chara_aha_00001,dummy_23,ja,test_23,1
e,test_24,chara_aha_00001,dummy_24,ja,test_24,1
e,test_25,chara_aha_00001,dummy_25,ja,test_25,1
e,test_26,chara_aha_00001,dummy_26,ja,test_26,1
e,test_27,chara_aha_00001,dummy_27,ja,test_27,1
e,test_28,chara_aha_00001,dummy_28,ja,test_28,1
e,test_29,chara_aha_00001,dummy_29,ja,test_29,1
e,test_30,chara_aha_00001,dummy_30,ja,test_30,1
e,test_31,chara_aha_00001,dummy_31,ja,test_31,1
e,test_32,chara_aha_00001,dummy_32,ja,test_32,1
e,test_33,chara_aha_00001,dummy_33,ja,test_33,1
e,test_34,chara_aha_00001,dummy_34,ja,test_34,1
e,test_35,chara_aha_00001,dummy_35,ja,test_35,1
e,test_36,chara_aha_00001,dummy_36,ja,test_36,1
e,test_37,chara_aha_00001,dummy_37,ja,test_37,1
e,test_38,chara_aha_00001,dummy_38,ja,test_38,1
e,test_39,chara_aha_00001,dummy_39,ja,test_39,1
e,test_40,chara_aha_00001,dummy_40,ja,test_40,1
e,test_41,chara_aha_00001,dummy_41,ja,test_41,1
e,test_42,chara_aha_00001,dummy_42,ja,test_42,1
e,test_43,chara_aha_00001,dummy_43,ja,test_43,1
e,test_44,chara_aha_00001,dummy_44,ja,test_44,1
e,test_45,chara_aha_00001,dummy_45,ja,test_45,1
e,test_46,chara_aha_00001,dummy_46,ja,test_46,1
e,test_47,chara_aha_00001,dummy_47,ja,test_47,1
e,test_48,chara_aha_00001,dummy_48,ja,test_48,1
e,test_49,chara_aha_00001,dummy_49,ja,test_49,1
e,test_50,chara_aha_00001,dummy_50,ja,test_50,1
