ENABLE,id,product_id_ios,product_id_android,product_id_webstore,release_key
e,1,BNEI0434_0001,com.bandainamcoent.jumble_0001,,202509010
e,2,BNEI0434_0002,com.bandainamcoent.jumble_0002,,202509010
e,3,BNEI0434_0003,com.bandainamcoent.jumble_0003,,202509010
e,4,BNEI0434_0004,com.bandainamcoent.jumble_0004,,202509010
e,5,BNEI0434_0005,com.bandainamcoent.jumble_0005,,202509010
e,6,BNEI0434_0006,com.bandainamcoent.jumble_0006,,202509010
e,7,BNEI0434_0007,com.bandainamcoent.jumble_0007,,202509010
e,8,BNEI0434_0008,com.bandainamcoent.jumble_0008,,202509010
e,9,BNEI0434_0009,com.bandainamcoent.jumble_0009,,202509010
e,10,BNEI0434_0010,com.bandainamcoent.jumble_0010,,202509010
e,11,BNEI0434_0011,com.bandainamcoent.jumble_0011,,202509010
e,12,BNEI0434_0012,com.bandainamcoent.jumble_0012,,202509010
e,13,BNEI0434_0013,com.bandainamcoent.jumble_0013,,202509010
e,14,BNEI0434_0014,com.bandainamcoent.jumble_0014,,202509010
e,15,BNEI0434_0015,com.bandainamcoent.jumble_0015,,202509010
e,16,BNEI0434_0016,com.bandainamcoent.jumble_0016,,202509010
e,17,BNEI0434_0017,com.bandainamcoent.jumble_0017,,202509010
e,18,,,,202509010
e,19,BNEI0434_0018,com.bandainamcoent.jumble_0018,,202510010
e,20,BNEI0434_0019,com.bandainamcoent.jumble_0019,,202510020
e,21,BNEI0434_0020,com.bandainamcoent.jumble_0020,,202511010
e,22,BNEI0434_0021,com.bandainamcoent.jumble_0021,,202511020
e,23,BNEI0434_0022,com.bandainamcoent.jumble_0022,,202511020
e,24,BNEI0434_0023,com.bandainamcoent.jumble_0023,,202511020
e,25,BNEI0434_0024,com.bandainamcoent.jumble_0024,,202511020
e,26,BNEI0434_0025,com.bandainamcoent.jumble_0025,,202511020
e,27,BNEI0434_0026,com.bandainamcoent.jumble_0026,,202511020
e,28,BNEI0434_0027,com.bandainamcoent.jumble_0027,,202512015
e,29,BNEI0434_0028,com.bandainamcoent.jumble_0028,,202512015
e,30,BNEI0434_0029,com.bandainamcoent.jumble_0029,,202512015
e,31,BNEI0434_0030,com.bandainamcoent.jumble_0030,,202512015
