ENABLE,release_key,id,mst_mission_achievement_id,language,description
e,1,achievement_1_ja,achievement_1,ja,累計1回ログインしよう。
e,1,achievement_2_ja,achievement_2,ja,累計2回ログインしよう
e,1,achievement_3_ja,achievement_3,ja,累計3回ログインしよう
e,1,achievement_4_ja,achievement_4,ja,累計4回ログインしよう
e,1,achievement_5_ja,achievement_5,ja,累計5回ログインしよう
e,1,achievement_6_ja,achievement_6,ja,累計6回ログインしよう
e,1,achievement_7_ja,achievement_7,ja,累計7回ログインしよう
e,1,achievement_8_ja,achievement_8,ja,ダンダダン1話をクリアしよう
e,1,achievement_9_ja,achievement_9,ja,ダンダダン2話をクリアしよう
e,1,achievement_10_ja,achievement_10,ja,姫様拷問の時間です1話をクリアしよう
e,1,achievement_11_ja,achievement_11,ja,姫様拷問の時間です2話をクリアしよう
e,1,achievement_12_ja,achievement_12,ja,地獄楽1話をクリアしよう
e,1,achievement_13_ja,achievement_13,ja,地獄楽2話をクリアしよう
e,1,achievement_14_ja,achievement_14,ja,魔都精兵のスレイブ1話をクリアしよう
e,1,achievement_15_ja,achievement_15,ja,魔都精兵のスレイブ2話をクリアしよう
e,1,achievement_16_ja,achievement_16,ja,ダンダダンhard1話をクリアしよう
e,1,achievement_17_ja,achievement_17,ja,ダンダダンhard2話をクリアしよう
e,1,achievement_18_ja,achievement_18,ja,姫様拷問の時間ですhard1話をクリアしよう
e,1,achievement_19_ja,achievement_19,ja,姫様拷問の時間ですhard2話をクリアしよう
e,1,achievement_20_ja,achievement_20,ja,地獄楽hard1話をクリアしよう
e,1,achievement_21_ja,achievement_21,ja,地獄楽hard2話をクリアしよう
e,1,achievement_22_ja,achievement_22,ja,累計1回キャラを強化しよう
e,1,achievement_23_ja,achievement_23,ja,累計5回キャラを強化しよう
e,1,achievement_24_ja,achievement_24,ja,累計10回キャラを強化しよう
e,1,achievement_25_ja,achievement_25,ja,累計30回キャラを強化しよう
e,1,achievement_26_ja,achievement_26,ja,累計50回キャラを強化しよう
e,1,achievement_27_ja,achievement_27,ja,累計70回キャラを強化しよう
e,1,achievement_28_ja,achievement_28,ja,累計100回キャラを強化しよう
e,1,achievement_29_ja,achievement_29,ja,累計150回キャラを強化しよう
e,1,achievement_30_ja,achievement_30,ja,累計200回キャラを強化しよう
e,1,achievement_31_ja,achievement_31,ja,ゲートを合計1回以上強化
e,1,achievement_32_ja,achievement_32,ja,ゲートを合計5回以上強化
e,1,achievement_33_ja,achievement_33,ja,ゲートを合計10回以上強化
