ENABLE,id,release_key,mst_dummy_user_id,mst_artwork_id
e,DummyUserArtwork0_1,1,dummy_0_1,artwork_dan_0001
e,DummyUserArtwork0_2,1,dummy_0_2,artwork_dan_0001
e,DummyUserArtwork0_3,1,dummy_0_3,artwork_dan_0001
e,DummyUserArtwork1,1,dummy_1,artwork_dan_0001
e,DummyUserArtwork2,1,dummy_2,artwork_dan_0001
e,DummyUserArtwork3,1,dummy_3,artwork_dan_0001
e,DummyUserArtwork4,1,dummy_4,artwork_dan_0001
e,DummyUserArtwork5,1,dummy_5,artwork_dan_0001
e,DummyUserArtwork6,1,dummy_6,artwork_dan_0001
e,DummyUserArtwork7,1,dummy_7,artwork_dan_0001
e,DummyUserArtwork8,1,dummy_8,artwork_dan_0001
e,DummyUserArtwork9,1,dummy_9,artwork_dan_0001
e,DummyUserArtwork10,1,dummy_10,artwork_dan_0001
e,DummyUserArtwork11,1,dummy_11,artwork_dan_0001
e,DummyUserArtwork12,1,dummy_12,artwork_dan_0001
e,DummyUserArtwork13,1,dummy_13,artwork_dan_0001
e,DummyUserArtwork14,1,dummy_14,artwork_dan_0001
e,DummyUserArtwork15,1,dummy_15,artwork_dan_0001
e,DummyUserArtwork16,1,dummy_16,artwork_dan_0001
e,DummyUserArtwork17,1,dummy_17,artwork_dan_0001
