ENABLE,release_key,id,mst_emblem_id,language,name,description
e,202509010,emblem_normal_spy_00001_ja,emblem_normal_spy_00001,ja,SPY×FAMILY,メインクエスト『SPY×FAMILY』のステージを全てクリアした証
e,202509010,emblem_normal_aka_00001_ja,emblem_normal_aka_00001,ja,ラーメン赤猫,メインクエスト『ラーメン赤猫』のステージを全てクリアした証
e,202509010,emblem_normal_rik_00001_ja,emblem_normal_rik_00001,ja,トマトイプーのリコピン,メインクエスト『トマトイプーのリコピン』のステージを全てクリアした証
e,202509010,emblem_normal_dan_00001_ja,emblem_normal_dan_00001,ja,ダンダダン,メインクエスト『ダンダダン』のステージを全てクリアした証
e,202509010,emblem_normal_gom_00001_ja,emblem_normal_gom_00001,ja,姫様“拷問”の時間です,メインクエスト『姫様“拷問”の時間です』のステージを全てクリアした証
e,202509010,emblem_normal_chi_00001_ja,emblem_normal_chi_00001,ja,チェンソーマン,メインクエスト『チェンソーマン』のステージを全てクリアした証
e,202509010,emblem_normal_kai_00001_ja,emblem_normal_kai_00001,ja,怪獣８号,メインクエスト『怪獣８号』のステージを全てクリアした証
e,202509010,emblem_normal_sur_00001_ja,emblem_normal_sur_00001,ja,魔都精兵のスレイブ,メインクエスト『魔都精兵のスレイブ』のステージを全てクリアした証
e,202509010,emblem_normal_tak_00001_ja,emblem_normal_tak_00001,ja,タコピーの原罪,メインクエスト『タコピーの原罪』のステージを全てクリアした証
e,202509010,emblem_normal_jig_00001_ja,emblem_normal_jig_00001,ja,地獄楽,メインクエスト『地獄楽』のステージを全てクリアした証
e,202509010,emblem_normal_mag_00001_ja,emblem_normal_mag_00001,ja,株式会社マジルミエ,メインクエスト『株式会社マジルミエ』のステージを全てクリアした証
e,202509010,emblem_normal_sum_00001_ja,emblem_normal_sum_00001,ja,サマータイムレンダ,メインクエスト『サマータイムレンダ』のステージを全てクリアした証
e,202512020,emblem_normal_osh_00001_ja,emblem_normal_osh_00001,ja,【推しの子】,メインクエスト『【推しの子】』のステージを全てクリアした証
e,202509010,emblem_event_kai_00001_ja,emblem_event_kai_00001,ja,怪獣２号,札幌市を壊滅させた恐竜型の巨大怪獣のエンブレム
e,202509010,emblem_event_kai_00002_ja,emblem_event_kai_00002,ja,怪獣８号,フォルティチュードは驚異の9.8の突如現れた人型怪獣のエンブレム
e,202509010,emblem_event_kai_00003_ja,emblem_event_kai_00003,ja,怪獣９号,知能が高く小型怪獣を使役する人型怪獣のエンブレム
e,202509010,emblem_event_kai_00004_ja,emblem_event_kai_00004,ja,怪獣１０号,好戦的で力を求める人型怪獣のエンブレム
