ENABLE,id,mst_series_id,outpost_additional_hp,asset_key,sort_order,rarity,release_key
e,artwork_spy_0001,spy,100,spy_0001,01,R,202509010
e,artwork_spy_0002,spy,100,spy_0002,02,SR,202509010
e,artwork_spy_0003,spy,100,spy_0003,03,SSR,202509010
e,artwork_gom_0001,gom,100,gom_0001,01,R,202509010
e,artwork_gom_0002,gom,100,gom_0002,02,SR,202509010
e,artwork_gom_0003,gom,100,gom_0003,03,SSR,202509010
e,artwork_aka_0001,aka,100,aka_0001,01,R,202509010
e,artwork_aka_0002,aka,100,aka_0002,02,SR,202509010
e,artwork_aka_0003,aka,100,aka_0003,03,SSR,202509010
e,artwork_dan_0001,dan,100,dan_0001,01,R,202509010
e,artwork_dan_0002,dan,100,dan_0002,02,SR,202509010
e,artwork_dan_0003,dan,100,dan_0003,03,SSR,202509010
e,artwork_jig_0001,jig,100,jig_0001,01,R,202509010
e,artwork_jig_0002,jig,100,jig_0002,02,SR,202509010
e,artwork_jig_0003,jig,100,jig_0003,03,SSR,202509010
e,artwork_tak_0001,tak,100,tak_0001,01,R,202509010
e,artwork_tak_0002,tak,100,tak_0002,02,SR,202509010
e,artwork_tak_0003,tak,100,tak_0003,03,SSR,202509010
e,artwork_chi_0001,chi,100,chi_0001,01,R,202509010
e,artwork_chi_0002,chi,100,chi_0002,02,SR,202509010
e,artwork_chi_0003,chi,100,chi_0003,03,SSR,202509010
e,artwork_kai_0001,kai,100,kai_0001,01,R,202509010
e,artwork_kai_0002,kai,100,kai_0002,02,SR,202509010
e,artwork_kai_0003,kai,100,kai_0003,03,SSR,202509010
e,artwork_sur_0001,sur,100,sur_0001,01,R,202509010
e,artwork_sur_0002,sur,100,sur_0002,02,SR,202509010
e,artwork_sur_0003,sur,100,sur_0003,03,SSR,202509010
e,artwork_rik_0001,rik,100,rik_0001,01,R,202509010
e,artwork_rik_0002,rik,100,rik_0002,02,SR,202509010
e,artwork_rik_0003,rik,100,rik_0003,03,SSR,202509010
e,artwork_mag_0001,mag,100,mag_0001,01,R,202509010
e,artwork_mag_0002,mag,100,mag_0002,02,SR,202509010
e,artwork_mag_0003,mag,100,mag_0003,03,SSR,202509010
e,artwork_sum_0001,sum,100,sum_0001,01,R,202509010
e,artwork_sum_0002,sum,100,sum_0002,02,SR,202509010
e,artwork_sum_0003,sum,100,sum_0003,03,SSR,202509010
e,artwork_osh_0001,osh,100,osh_0001,01,R,202512020
e,artwork_osh_0002,osh,100,osh_0002,02,SR,202512020
e,artwork_osh_0003,osh,100,osh_0003,03,SSR,202512020
e,artwork_tutorial_0001,glo,100,tutorial_0001,01,R,202509010
e,artwork_event_kai_0001,kai,100,event_kai_0001,01,SSR,202509010
e,artwork_event_kai_0002,kai,100,event_kai_0002,02,SSR,202509010
e,artwork_event_spy_0001,spy,100,event_spy_0001,01,SSR,202510010
e,artwork_event_spy_0002,spy,100,event_spy_0002,02,SSR,202510010
e,artwork_event_dan_0001,dan,100,event_dan_0001,01,SSR,202510020
e,artwork_event_dan_0002,dan,100,event_dan_0002,02,SSR,202510020
e,artwork_event_mag_0001,mag,100,event_mag_0001,01,SSR,202511010
e,artwork_event_mag_0002,mag,100,event_mag_0002,02,SSR,202511010
e,artwork_event_yuw_0001,yuw,100,event_yuw_0001,01,SSR,202511020
e,artwork_event_yuw_0002,yuw,100,event_yuw_0002,02,SSR,202511020
e,artwork_event_sur_0001,sur,100,event_sur_0001,01,SSR,202512010
e,artwork_event_sur_0002,sur,100,event_sur_0002,02,SSR,202512010
e,artwork_event_osh_0001,osh,100,event_osh_0001,01,SSR,202512020
e,artwork_event_osh_0002,osh,100,event_osh_0002,02,SSR,202512020
e,artwork_event_jig_0001,jig,100,event_jig_0001,01,SSR,202601010
e,artwork_event_jig_0002,jig,100,event_jig_0002,02,SSR,202601010
e,artwork_event_you_0001,you,100,event_you_0001,01,SSR,202602015
e,artwork_event_you_0002,you,100,event_you_0002,02,SSR,202602015
e,artwork_event_kim_0001,kim,100,event_kim_0001,01,SSR,202602020
e,artwork_event_kim_0002,kim,100,event_kim_0002,02,SSR,202602020
e,artwork_event_hut_0001,hut,100,event_hut_0001,01,SSR,202603010
e,artwork_event_hut_0002,hut,100,event_hut_0002,02,SSR,202603010
e,artwork_event_ara_0001,ara,100,event_ara_0001,01,SSR,202603020
e,artwork_event_hyp_0001,hyp,100,event_hyp_0001,01,SSR,202603020
e,artwork_event_gam_0001,gam,100,event_gam_0001,01,SSR,202603020
e,artwork_event_osh_0003,osh,100,event_osh_0003,03,SSR,202603025
e,artwork_event_gom_0001,gom,100,event_gom_0001,01,SSR,202603025
e,artwork_event_sur_0003,sur,100,event_sur_0003,03,UR,202603020
e,artwork_event_kai_0003,kai,100,event_kai_0003,03,UR,202603025
e,artwork_event_aya_0001,aya,100,event_aya_0001,01,SSR,202604010
e,artwork_chara_spy_00001,spy,100,chara_spy_00001,06,UR,202603020
e,artwork_chara_spy_00101,spy,100,chara_spy_00101,07,UR,202603020
e,artwork_chara_spy_00201,spy,100,chara_spy_00201,08,UR,202603020
e,artwork_chara_spy_00501,spy,100,chara_spy_00501,09,UR,202603020
e,artwork_chara_dan_00002,dan,100,chara_dan_00002,06,UR,202603020
e,artwork_chara_dan_00202,dan,100,chara_dan_00202,07,UR,202603020
e,artwork_chara_gom_00001,gom,100,chara_gom_00001,05,UR,202603020
e,artwork_chara_chi_00002,chi,100,chara_chi_00002,04,UR,202603020
e,artwork_chara_kai_00002,kai,100,chara_kai_00002,07,UR,202603020
e,artwork_chara_kai_00102,kai,100,chara_kai_00102,08,UR,202603020
e,artwork_chara_kai_00201,kai,100,chara_kai_00201,09,UR,202603020
e,artwork_chara_kai_00701,kai,100,chara_kai_00701,010,UR,202603025
e,artwork_chara_yuw_00001,yuw,100,chara_yuw_00001,03,UR,202603020
e,artwork_chara_yuw_00101,yuw,100,chara_yuw_00101,04,UR,202603020
e,artwork_chara_yuw_00102,yuw,100,chara_yuw_00102,05,UR,202603020
e,artwork_chara_yuw_00301,yuw,100,chara_yuw_00301,06,UR,202603020
e,artwork_chara_yuw_00401,yuw,100,chara_yuw_00401,07,UR,202603020
e,artwork_chara_sur_00101,sur,100,chara_sur_00101,07,UR,202603020
e,artwork_chara_sur_00501,sur,100,chara_sur_00501,08,UR,202603020
e,artwork_chara_sur_00901,sur,100,chara_sur_00901,09,UR,202603020
e,artwork_chara_tak_00001,tak,100,chara_tak_00001,04,UR,202603020
e,artwork_chara_jig_00001,jig,100,chara_jig_00001,06,UR,202603020
e,artwork_chara_jig_00401,jig,100,chara_jig_00401,07,UR,202603020
e,artwork_chara_mag_00001,mag,100,chara_mag_00001,06,UR,202603020
e,artwork_chara_mag_00201,mag,100,chara_mag_00201,07,UR,202603020
e,artwork_chara_sum_00101,sum,100,chara_sum_00101,04,UR,202603020
e,artwork_chara_osh_00001,osh,100,chara_osh_00001,07,UR,202603020
e,artwork_chara_osh_00101,osh,100,chara_osh_00101,08,UR,202603020
e,artwork_chara_you_00001,you,100,chara_you_00001,03,UR,202603020
e,artwork_chara_kim_00001,kim,100,chara_kim_00001,03,UR,202603020
e,artwork_chara_hut_00001,hut,100,chara_hut_00001,03,UR,202603020
e,artwork_chara_gom_00401,gom,100,chara_gom_00401,06,UR,202603025
