ENABLE,release_key,id,word
e,1,ng_0001,50
e,1,ng_0002,60
e,1,ng_0003,70
e,1,ng_0004,80
e,1,ng_0005,90
e,1,ng_0006,120
e,1,ng_0007,570
e,1,ng_0008,880
e,1,ng_0009,990
e,1,ng_0010,.COM
e,1,ng_0011,AIDS
e,1,ng_0012,ANAL
e,1,ng_0013,ANO
e,1,ng_0014,ANUS
e,1,ng_0015,AOL
e,1,ng_0016,ARSE
e,1,ng_0017,ASAHI－NET
e,1,ng_0018,ASS
e,1,ng_0019,AUONE
e,1,ng_0020,BANDAI
e,1,ng_0021,BANNAMU
e,1,ng_0022,BANPRE
e,1,ng_0023,BIGLOBE
e,1,ng_0024,BITCH
e,1,ng_0025,BIZ
e,1,ng_0026,BONER
e,1,ng_0027,BOOB
e,1,ng_0028,BOOTY
e,1,ng_0029,BUM
e,1,ng_0030,CABLENET
e,1,ng_0031,CHINK
e,1,ng_0032,CLIT
e,1,ng_0033,CO.JP
e,1,ng_0034,COC
e,1,ng_0035,COCK
e,1,ng_0036,COK
e,1,ng_0037,COM
e,1,ng_0038,CON
e,1,ng_0039,COOCHIE
e,1,ng_0040,COON
e,1,ng_0041,CSC
e,1,ng_0042,CUNT
e,1,ng_0043,DAMN
e,1,ng_0044,DARKY
e,1,ng_0045,DCM
e,1,ng_0046,DICK
e,1,ng_0047,DILDO
e,1,ng_0048,DION
e,1,ng_0049,DOCOMO
e,1,ng_0050,DRUG
e,1,ng_0051,DTI
e,1,ng_0052,EGG
e,1,ng_0053,ENEMA
e,1,ng_0054,EONET
e,1,ng_0055,EXCITE
e,1,ng_0056,EZWEB
e,1,ng_0057,FAKKKIN
e,1,ng_0058,FCK
e,1,ng_0059,FREEBIT
e,1,ng_0060,FUC
e,1,ng_0061,FUCK
e,1,ng_0062,FUCKIN
e,1,ng_0063,FUGLY
e,1,ng_0064,FUK
e,1,ng_0065,GMAIL
e,1,ng_0066,GOO
e,1,ng_0067,GOOGLE
e,1,ng_0068,GOOK
e,1,ng_0069,GYAO
e,1,ng_0070,HENTAI
