ENABLE,id,release_key,key,value
e,1,202509010,UNIT_LEVEL_CAP,80
e,2,202509010,UNIT_STATUS_EXPONENT,1.1
e,3,202509010,SPECIAL_UNIT_STATUS_EXPONENT,1.1
e,4,202509010,MAX_DAILY_BUY_STAMINA_AD_COUNT,10
e,5,202509010,DAILY_BUY_STAMINA_AD_INTERVAL_MINUTES,3
e,6,202509010,BUY_STAMINA_DIAMOND_AMOUNT,30
e,7,202509010,BUY_STAMINA_AD_PERCENTAGE_OF_MAX_STAMINA,50
e,8,202509010,BUY_STAMINA_DIAMOND_PERCENTAGE_OF_MAX_STAMINA,100
e,9,202509010,STAGE_CONTINUE_DIAMOND_AMOUNT,30
e,10,202509010,USER_FREE_DIAMOND_MAX_AMOUNT,999999999
e,11,202509010,USER_PAID_DIAMOND_MAX_AMOUNT,999999999
e,12,202509010,USER_ITEM_MAX_AMOUNT,999999999
e,13,202509010,USER_EXP_MAX_AMOUNT,999999999
e,14,202509010,USER_COIN_MAX_AMOUNT,999999999
e,15,202509010,USER_STAMINA_MAX_AMOUNT,999
e,17,202509010,RECOVERY_STAMINA_MINUTE,3
e,19,202509010,DEBUG_GRANT_ARTWORK_IDS,artwork_tutorial_0001
e,20,202509010,DEBUG_DEFAULT_OUTPOST_ARTWORK_ID,artwork_tutorial_0001
e,22,202509010,ENHANCE_QUEST_CHALLENGE_LIMIT,3
e,23,202509010,ENHANCE_QUEST_CHALLENGE_AD_LIMIT,2
e,24,202509010,IN_GAME_MAX_BATTLE_POINT,2000
e,25,202509010,IN_GAME_BATTLE_POINT_CHARGE_AMOUNT,3
e,26,202509010,IN_GAME_BATTLE_POINT_CHARGE_INTERVAL,5
e,27,202509010,IDLE_INCENTIVE_INITIAL_REWARD_MST_STAGE_ID,normal_spy_00001
e,28,202509010,PARTY_SPECIAL_UNIT_ASSIGN_LIMIT,10
e,29,202509010,RUSH_DAMAGE_COEFFICIENT,0.4
e,30,202509010,RUSH_GAUGE_CHARGE_FIRST,0
e,31,202509010,RUSH_GAUGE_CHARGE_SECOND,120
e,32,202509010,RUSH_GAUGE_CHARGE_THIRD,270
e,33,202509010,RUSH_MAX_DAMAGE,99999999
e,34,202509010,RUSH_DEFAULT_CHARGE_TIME,1500
e,35,202509010,RUSH_MIN_CHARGE_TIME,500
e,36,202509010,RUSH_KNOCK_BACK_TYPE_FIRST,ForcedKnockBack1
e,37,202509010,RUSH_KNOCK_BACK_TYPE_SECOND,ForcedKnockBack2
e,38,202509010,RUSH_KNOCK_BACK_TYPE_THIRD,ForcedKnockBack3
e,39,202509010,FREEZE_DAMAGE_INCREASE_PERCENTAGE,120
e,40,202509010,ADVENT_BATTLE_RANKING_UPDATE_INTERVAL_MINUTES,5
e,41,202509010,LOCAL_NOTIFICATION_IDLE_INCENTIVE_HOURS,20
e,42,202509010,LOCAL_NOTIFICATION_DAILY_MISSION_HOURS,18
e,43,202509010,LOCAL_NOTIFICATION_BEGINNER_MISSION_AFTER_HOURS,120
e,44,202509010,LOCAL_NOTIFICATION_COIN_QUEST_HOURS,18
e,45,202509010,LOCAL_NOTIFICATION_AD_GACHA_HOURS,22
e,46,202509010,LOCAL_NOTIFICATION_LOGIN_AFTER_HOURS_ONE,24
e,47,202509010,LOCAL_NOTIFICATION_LOGIN_AFTER_HOURS_TWO,72
e,48,202509010,LOCAL_NOTIFICATION_LOGIN_AFTER_HOURS_THREE,168
e,49,202509010,LOCAL_NOTIFICATION_LOGIN_AFTER_HOURS_FOUR,360
e,50,202509010,LOCAL_NOTIFICATION_LOGIN_AFTER_HOURS_FIVE,720
e,51,202509010,LOCAL_NOTIFICATION_TUTORIAL_GACHA_AFTER_HOURS,14
e,52,202509010,LOCAL_NOTIFICATION_EVENT_OR_ADVENT_BATTLE_COUNT_HOURS,20
e,53,202509010,LOCAL_NOTIFICATION_PVP_COUNT_HOURS,20
e,55,202509010,ENCYCLOPEDIA_FIRST_COLLECTION_REWARD_COUNT,1
e,56,202509010,IN_APP_REVIEW_TRIGGER_QUEST_ID_1,quest_main_gom_normal_2
e,57,202509010,IN_APP_REVIEW_TRIGGER_QUEST_ID_2,quest_main_glo1_normal_4
e,58,202509010,AD_CONTINUE_MAX_COUNT,3
e,59,202509010,PVP_OPPONENT_REFRESH_COOLTIME_SECONDS,5
e,60,202509010,PVP_TOP_API_REQUEST_COOLTIME_MINUTES,10
e,61,202509010,PVP_CHALLENGE_ITEM_ID,entry_item_glo_00001
e,62,202509010,IDLE_INCENTIVE_DEFAULT_KOMA_BACKGROUND_ASSET_KEY,glo_00001
e,63,202509010,IDLE_INCENTIVE_DEFAULT_ENEMY_ASSET_KEY,enemy_dan_00101
e,64,202509010,GACHA_START_DASH_OPR_ID,StartDash_001
e,65,202509010,DEFAULT_OUTPOST_ARTWORK_ID,artwork_tutorial_0001
e,server_config_1,202509010,SERVER_API_APCU_SWITCH_KEY,1
e,66,202509010,ADVENT_BATTLE_RANKING_AGGREGATE_HOURS,48
e,67,202511020,ANNOUNCEMENT_HOOK_PATTERN_URL,"^https:\/\/(?:(?:x\.com|dpoint\.docomo\.ne\.jp)\/.*|kddi-l\.jp\/HJZ.*|stn\.mb\.softbank\.jp\/p3z6W.*)"
