ENABLE,id,mst_item_id,transition1,transition1_mst_id,transition2,transition2_mst_id,release_key
e,1,piece_gom_00001,MainQuest,2,Patrol,,1
e,2,piece_sur_00001,EventQuest,event_test_fragment_n,Patrol,,1
e,3,piece_dan_000100,ShopItem,Coin_13,Patrol,,1
e,4,piece_jig_00100,Pack,a2_release_pack_1,Patrol,,1
e,5,piece_glo_00001,Achievement,,Patrol,,1
e,6,piece_glo_00002,LoginBonus,,Patrol,,1
e,7,piece_glo_00003,DailyMission,,Patrol,,1
e,8,piece_glo_00004,WeeklyMission,,Patrol,,1
e,9,piece_glo_00005,MainQuest,1,Patrol,,1
e,10,piece_glo_00006,EventQuest,event_test_fragment_n,Patrol,,1
e,11,piece_glo_00007,ShopItem,Coin_13,Patrol,,1
e,12,piece_glo_00008,Pack,a2_release_pack_1,Patrol,,1
e,13,piece_glo_00009,Achievement,,Patrol,,1
e,14,piece_glo_00010,LoginBonus,,Patrol,,1
e,15,piece_glo_00011,DailyMission,,Patrol,,1
e,16,memory_glo_00001,WeeklyMission,,Patrol,,1
e,39,box_glo_00001,ExchangeShop,,None,,1
e,18,box_glo_00002,MainQuest,1,ExchangeShop,normal_lineup,1
e,19,box_glo_00003,ShopItem,Coin_13,Patrol,,1
e,20,box_glo_00004,Pack,a2_release_pack_1,Patrol,,1
e,22,box_glo_00006,LoginBonus,,Patrol,,1
e,23,box_glo_00007,DailyMission,,Patrol,,1
e,24,box_glo_00008,WeeklyMission,,Patrol,,1
e,25,item_icon_piece_dan_00001,MainQuest,1,Patrol,,1
e,26,item_icon_piece_dan_00002,EventQuest,event_test_fragment_n,Patrol,,1
e,27,item_icon_piece_dan_00101,ShopItem,Coin_13,Patrol,,1
e,28,item_icon_piece_gom_00001,Pack,a2_release_pack_1,Patrol,,1
e,29,item_icon_piece_gom_00101,Achievement,,Patrol,,1
e,30,item_icon_piece_gom_00201,LoginBonus,,Patrol,,1
e,31,item_icon_piece_jig_00001,DailyMission,,Patrol,,1
e,32,item_icon_piece_jig_00101,WeeklyMission,,Patrol,,1
e,33,item_icon_piece_jig_00201,MainQuest,1,Patrol,,1
e,34,item_icon_piece_jig_00301,EventQuest,event_test_fragment_n,Patrol,,1
e,35,item_icon_piece_sur_00001,ShopItem,Coin_13,Patrol,,1
e,36,item_icon_gasha_ticket_normal,Pack,a2_release_pack_1,Patrol,,1
e,37,item_icon_gasha_ticket_premium,Achievement,,Patrol,,1
e,38,item_icon_gasha_ticket_festival,LoginBonus,,Patrol,,1
e,39,piece_aka_00101,ExchangeShop,,None,,1
e,40,memoryfragment_glo_00001,ExchangeShop,,None,,1
e,41,memoryfragment_glo_00002,ExchangeShop,,None,,1
e,42,memoryfragment_glo_00003,ExchangeShop,,None,,1
