ENABLE,release_key,id,mst_mission_weekly_id,language,description
e,202509010,weekly_2_1_ja,weekly_2_1,ja,3日ログインしよう
e,202509010,weekly_2_2_ja,weekly_2_2,ja,6日ログインしよう
e,202509010,weekly_2_3_ja,weekly_2_3,ja,探索で探索報酬を累計3回受け取ろう
e,202509010,weekly_2_4_ja,weekly_2_4,ja,探索で探索報酬を累計10回受け取ろう
e,202509010,weekly_2_5_ja,weekly_2_5,ja,ランクマッチに累計5回挑戦しよう
e,202509010,weekly_2_6_ja,weekly_2_6,ja,"コインを累計15,000枚集めよう"
e,202509010,weekly_bonus_point_2_1_ja,weekly_bonus_point_2_1,ja,累計ポイントを20貯めよう
e,202509010,weekly_bonus_point_2_2_ja,weekly_bonus_point_2_2,ja,累計ポイントを40貯めよう
e,202509010,weekly_bonus_point_2_3_ja,weekly_bonus_point_2_3,ja,累計ポイントを60貯めよう
e,202509010,weekly_bonus_point_2_4_ja,weekly_bonus_point_2_4,ja,累計ポイントを80貯めよう
e,202509010,weekly_bonus_point_2_5_ja,weekly_bonus_point_2_5,ja,累計ポイントを100貯めよう
