ENABLE,id,release_key,mst_comeback_bonus_schedule_id,login_day_count,mst_daily_bonus_reward_group_id,sort_order
e,comeback_1_1,1,comeback_daily_bonus_1,1,comeback_reward_group_1,1
e,comeback_1_2,1,comeback_daily_bonus_1,2,comeback_reward_group_2,2
e,comeback_1_3,1,comeback_daily_bonus_1,3,comeback_reward_group_3,3
e,comeback_1_4,1,comeback_daily_bonus_1,4,comeback_reward_group_4,4
e,comeback_1_5,1,comeback_daily_bonus_1,5,comeback_reward_group_5,5
e,comeback_1_6,1,comeback_daily_bonus_1,6,comeback_reward_group_6,6
e,comeback_1_7,1,comeback_daily_bonus_1,7,comeback_reward_group_7,7
e,comeback_1_test1,1,comeback_daily_bonus_test1,1,comeback_reward_group_test_1,1
e,comeback_1_test2,1,comeback_daily_bonus_test1,2,comeback_reward_group_test_2,2
e,comeback_1_test3,1,comeback_daily_bonus_test1,3,comeback_reward_group_test_3,3
e,comeback_1_test4,1,comeback_daily_bonus_test1,4,comeback_reward_group_test_4,4
e,comeback_1_test5,1,comeback_daily_bonus_test1,5,comeback_reward_group_test_5,5
e,comeback_1_test6,1,comeback_daily_bonus_test1,6,comeback_reward_group_test_6,6
e,comeback_1_test7,1,comeback_daily_bonus_test1,7,comeback_reward_group_test_7,7
e,comeback_1_test8,1,comeback_daily_bonus_test1,8,comeback_reward_group_test_8,8
e,comeback_1_test9,1,comeback_daily_bonus_test1,9,comeback_reward_group_test_9,9
e,comeback_1_test10,1,comeback_daily_bonus_test1,10,comeback_reward_group_test_10,10
e,comeback_1_test11,1,comeback_daily_bonus_test1,11,comeback_reward_group_test_11,11
e,comeback_1_test12,1,comeback_daily_bonus_test1,12,comeback_reward_group_test_12,12
e,comeback_1_test13,1,comeback_daily_bonus_test1,13,comeback_reward_group_test_13,13
e,comeback_1_test14,1,comeback_daily_bonus_test1,14,comeback_reward_group_test_14,14
e,comeback_1_test15,1,comeback_daily_bonus_test1,15,comeback_reward_group_test_15,15
e,comeback_1_test16,1,comeback_daily_bonus_test1,16,comeback_reward_group_test_16,16
e,comeback_1_test17,1,comeback_daily_bonus_test1,17,comeback_reward_group_test_17,17
e,comeback_1_test18,1,comeback_daily_bonus_test1,18,comeback_reward_group_test_18,18
e,comeback_1_test19,1,comeback_daily_bonus_test1,19,comeback_reward_group_test_19,19
e,comeback_1_test20,1,comeback_daily_bonus_test1,20,comeback_reward_group_test_20,20
e,comeback_1_test21,1,comeback_daily_bonus_test1,21,comeback_reward_group_test_21,21
e,comeback_1_test22,1,comeback_daily_bonus_test1,22,comeback_reward_group_test_22,22
e,comeback_1_test23,1,comeback_daily_bonus_test1,23,comeback_reward_group_test_23,23
e,comeback_1_test24,1,comeback_daily_bonus_test1,24,comeback_reward_group_test_24,24
e,comeback_1_test25,1,comeback_daily_bonus_test1,25,comeback_reward_group_test_25,25
e,comeback_1_test26,1,comeback_daily_bonus_test1,26,comeback_reward_group_test_26,26
e,comeback_1_test27,1,comeback_daily_bonus_test1,27,comeback_reward_group_test_27,27
e,comeback_1_test28,1,comeback_daily_bonus_test1,28,comeback_reward_group_test_28,28
e,comeback_1_test29,1,comeback_daily_bonus_test1,29,comeback_reward_group_test_29,29
e,comeback_1_test30,1,comeback_daily_bonus_test1,30,comeback_reward_group_test_30,30
e,comeback_1_test31,1,comeback_daily_bonus_test1,31,comeback_reward_group_test_31,31
e,comeback_1_test32,1,comeback_daily_bonus_test1,32,comeback_reward_group_test_32,32
