ENABLE,release_key,id,mst_enemy_character_id,language,name,description
e,1,cb_phantom_dan_00001_ja,cb_phantom_dan_00001,ja,"ターボババアの霊力 オカルン",α3データ
e,1,cb_phantom_dan_00101_ja,cb_phantom_dan_00101,ja,"綾瀬 桃",α3データ
e,1,cb_phantom_jig_00001_ja,cb_phantom_jig_00001,ja,がらんの画眉丸,α3データ
e,1,cb_phantom_jig_00101_ja,cb_phantom_jig_00101,ja,"山田浅ェ門 佐切",α3データ
e,1,cb_phantom_jig_00201_ja,cb_phantom_jig_00201,ja,杠,α3データ
e,1,cb_phantom_jig_00301_ja,cb_phantom_jig_00301,ja,"山田浅ェ門 仙汰",α3データ
e,1,chara_gom_00001_ja,chara_gom_00001,ja,姫（奴隷服）,"[仮]\n王女にして、国王軍第三騎士団の騎士団長。数々の戦場を生き抜き、多くの武勲をあげてきた。 現在は魔王軍に囚われの身となり、“拷問”を受ける日々を送っている。 厳しい教育と鍛錬を重ねた誇り高い孤高の騎士に見えるが……！？\n(アニメ公式より)"
e,1,cn_phantom_dan_00001_ja,cn_phantom_dan_00001,ja,オカルン,α3データ
e,1,dan002_ja,dan002,ja,セルポ星人,"[仮]\nクローンで個体を増やす雄のみの宇宙人。生殖機能を取り戻すため、人間の女性を狙う。\n(アニメ公式より)"
e,1,e_glo_00001_tutorial_Boss_Yellow_ja,e_glo_00001_tutorial_Boss_Yellow,ja,チュートリアル君,ジャンプラバースの世界を脅かす存在（仮）
e,1,e_glo_00001_tutorial_Normal_Yellow_ja,e_glo_00001_tutorial_Normal_Yellow,ja,チュートリアル君,ジャンプラバースの世界を脅かす存在（仮）
e,1,e_glo_00001_tutorial_Normal_Blue_ja,e_glo_00001_tutorial_Normal_Blue,ja,チュートリアル君,ジャンプラバースの世界を脅かす存在（仮）
e,1,eb_phantom_dan_00201_ja,eb_phantom_dan_00201,ja,ターボババア,α3データ
e,1,eb_phantom_jig_00201_ja,eb_phantom_jig_00201,ja,門神,α3データ
e,1,eb_phantom_jig_00501_ja,eb_phantom_jig_00501,ja,"山田浅ェ門 源嗣",α3データ
e,1,en_phantom_dan_00001_ja,en_phantom_dan_00001,ja,セルポ星人,α3データ
e,1,en_phantom_dan_00002_ja,en_phantom_dan_00002,ja,セルポ星人,α3データ
e,1,en_phantom_dan_00101_ja,en_phantom_dan_00101,ja,セルポ星人(変身後),α3データ
e,1,en_phantom_dan_00202_ja,en_phantom_dan_00202,ja,ターボババア,α3データ
e,1,en_phantom_jig_00001_ja,en_phantom_jig_00001,ja,門神,α3データ
e,1,en_phantom_jig_00101_ja,en_phantom_jig_00101,ja,門神,α3データ
e,1,en_phantom_jig_00301_ja,en_phantom_jig_00301,ja,"竈神 魚",α3データ
