ENABLE,id,fragment_mst_item_id,role_type,color,attack_range_type,unit_label,has_specific_rank_up,mst_series_id,asset_key,rarity,sort_order,summon_cost,summon_cool_time,special_attack_initial_cool_time,special_attack_cool_time,min_hp,max_hp,damage_knock_back_count,move_speed,well_distance,min_attack_power,max_attack_power,mst_unit_ability_id1,ability_unlock_rank1,mst_unit_ability_id2,ability_unlock_rank2,mst_unit_ability_id3,ability_unlock_rank3,is_encyclopedia_special_attack_position_right,release_key
e,chara_dan_00001,piece_dan_00001,Defense,Red,Short,PremiumR,0,dan,chara_dan_00001,R,1,160,335,175,995,910,9100,1,30,0.16,320,3200,,0,,0,,0,0,202509010
e,chara_dan_00002,piece_dan_00002,Attack,Blue,Middle,PremiumUR,0,dan,chara_dan_00002,UR,1,985,1010,530,1045,2760,27600,2,75,0.34,4800,48000,ability_dan_00002_01,0,ability_dan_00002_02,4,,0,0,202509010
e,chara_dan_00101,piece_dan_00101,Attack,Red,Middle,PremiumSSR,0,dan,chara_dan_00101,SSR,1,330,255,120,520,690,6900,2,35,0.39,1040,10400,ability_dan_00101_01,0,,0,,0,0,202509010
e,chara_gom_00001,piece_gom_00001,Defense,Green,Short,PremiumUR,0,gom,chara_gom_00001,UR,1,650,1750,750,1505,5450,54500,1,20,0.16,640,6400,ability_gom_00001_01,0,ability_gom_00001_02,4,,0,0,202509010
e,chara_gom_00101,piece_gom_00101,Technical,Yellow,Short,PremiumSR,0,gom,chara_gom_00101,SR,1,325,255,130,860,690,6900,3,35,0.31,720,7200,ability_gom_00101_01,2,,0,,0,0,202509010
e,chara_gom_00201,piece_gom_00201,Attack,Yellow,Long,DropR,0,gom,chara_gom_00201,R,1,555,365,190,955,1000,10000,2,30,0.52,3720,37200,,0,,0,,0,0,202509010
e,chara_sur_00001,piece_sur_00001,Support,Green,Short,PremiumR,0,sur,chara_sur_00001,R,1,360,240,125,695,650,6500,1,35,0.27,750,7500,,0,,0,,0,0,202509010
e,chara_jig_00001,piece_jig_00001,Technical,Red,Short,PremiumUR,0,jig,chara_jig_00001,UR,1,985,1010,530,1510,2760,27600,3,50,0.26,2710,27100,ability_jig_00001_01,0,ability_jig_00001_02,4,,0,0,202509010
e,chara_jig_00101,piece_jig_00101,Attack,Red,Short,PremiumSSR,0,jig,chara_jig_00101,SSR,1,620,545,260,615,1490,14900,2,40,0.29,1740,17400,ability_jig_00101_01,0,,0,,0,0,202509010
e,chara_jig_00201,piece_jig_00201,Technical,Green,Middle,DropSSR,0,jig,chara_jig_00201,SSR,1,685,455,240,1235,1240,12400,3,40,0.41,2270,22700,ability_jig_00201_01,0,,0,,0,0,202509010
e,chara_jig_00301,piece_jig_00301,Defense,Green,Short,PremiumSR,0,jig,chara_jig_00301,SR,1,320,705,370,940,1920,19200,1,30,0.21,610,6100,ability_jig_00301_01,2,,0,,0,0,202509010
e,chara_kai_00101,piece_kai_00101,Technical,Blue,Long,PremiumSR,0,kai,chara_kai_00101,SR,1,845,375,195,1010,1020,10200,3,30,0.61,4840,48400,ability_kai_00101_01,2,,0,,0,0,202509010
e,chara_kai_00301,piece_kai_00301,Defense,Yellow,Short,PremiumSSR,0,kai,chara_kai_00301,SSR,1,535,1005,525,920,2740,27400,1,40,0.21,1430,14300,ability_kai_00301_01,0,,0,,0,0,202509010
