ENABLE,id,mst_stage_id,reset_type,clearable_count,ad_challenge_count,mst_stage_rule_group_id,start_at,end_at,release_key,background_asset_key
e,1,event_kai1_1day_00001,Daily,1,0,__NULL__,"2025-09-22 11:00:00","2025-10-06 03:59:59",202509010,kai_00001
e,2,event_kai1_charaget01_00001,__NULL__,,0,__NULL__,"2025-09-22 11:00:00","2025-10-22 11:59:59",202509010,kai_00001
e,3,event_kai1_charaget01_00002,__NULL__,,0,__NULL__,"2025-09-22 11:00:00","2025-10-22 11:59:59",202509010,kai_00001
e,4,event_kai1_charaget01_00003,__NULL__,,0,__NULL__,"2025-09-22 11:00:00","2025-10-22 11:59:59",202509010,kai_00001
e,5,event_kai1_charaget01_00004,__NULL__,,0,__NULL__,"2025-09-22 11:00:00","2025-10-22 11:59:59",202509010,kai_00001
e,6,event_kai1_charaget01_00005,__NULL__,,0,__NULL__,"2025-09-22 11:00:00","2025-10-22 11:59:59",202509010,kai_00001
e,7,event_kai1_charaget01_00006,__NULL__,,0,__NULL__,"2025-09-22 11:00:00","2025-10-22 11:59:59",202509010,kai_00001
e,8,event_kai1_charaget01_00007,__NULL__,,0,__NULL__,"2025-09-22 11:00:00","2025-10-22 11:59:59",202509010,kai_00001
e,9,event_kai1_charaget01_00008,__NULL__,,0,__NULL__,"2025-09-22 11:00:00","2025-10-22 11:59:59",202509010,kai_00001
e,10,event_kai1_charaget02_00001,__NULL__,,0,__NULL__,"2025-09-29 12:00:00","2025-10-22 11:59:59",202509010,kai_00002
e,11,event_kai1_charaget02_00002,__NULL__,,0,__NULL__,"2025-09-29 12:00:00","2025-10-22 11:59:59",202509010,kai_00002
e,12,event_kai1_charaget02_00003,__NULL__,,0,__NULL__,"2025-09-29 12:00:00","2025-10-22 11:59:59",202509010,kai_00002
e,13,event_kai1_charaget02_00004,__NULL__,,0,__NULL__,"2025-09-29 12:00:00","2025-10-22 11:59:59",202509010,kai_00002
