ENABLE,id,release_key,mst_idle_incentive_item_group_id,mst_item_id,base_amount
e,1,1,idle_incentive_group_1,box_glo_00001,0.05
e,2,1,idle_incentive_group_2,box_glo_00001,0.07
e,3,1,idle_incentive_group_2,box_glo_00002,0.01
e,4,1,idle_incentive_group_2,memory_glo_00001,5
e,5,1,idle_incentive_group_2,memory_glo_00002,5
e,6,1,idle_incentive_group_2,memory_glo_00003,5
e,7,1,idle_incentive_group_2,memory_glo_00004,5
e,8,1,idle_incentive_group_2,memory_glo_00005,5
e,9,1,idle_incentive_group_2,memory_fragment_r_glo_00001,0.2
e,10,1,idle_incentive_group_2,memory_fragment_sr_glo_00001,0.2
e,11,1,idle_incentive_group_2,memory_fragment_ssr_glo_00001,0.2
e,24,1,idle_incentive_group_3,box_glo_00001,0.1
e,25,1,idle_incentive_group_3,box_glo_00002,0.05
e,26,1,idle_incentive_group_3,memory_glo_00001,5
e,27,1,idle_incentive_group_3,memory_glo_00002,5
e,28,1,idle_incentive_group_3,memory_glo_00003,5
e,29,1,idle_incentive_group_3,memory_glo_00004,5
e,30,1,idle_incentive_group_3,memory_glo_00005,5
e,31,1,idle_incentive_group_3,memory_fragment_r_glo_00001,0.2
e,32,1,idle_incentive_group_3,memory_fragment_sr_glo_00001,0.2
e,33,1,idle_incentive_group_3,memory_fragment_ssr_glo_00001,0.2
e,46,1,idle_incentive_group_4,box_glo_00001,0.13
e,47,1,idle_incentive_group_4,box_glo_00002,0.07
e,48,1,idle_incentive_group_4,box_glo_00003,0.01
e,49,1,idle_incentive_group_4,memory_glo_00001,5
e,50,1,idle_incentive_group_4,memory_glo_00002,5
e,51,1,idle_incentive_group_4,memory_glo_00003,5
e,52,1,idle_incentive_group_4,memory_glo_00004,5
e,53,1,idle_incentive_group_4,memory_glo_00005,5
e,54,1,idle_incentive_group_4,memory_fragment_r_glo_00001,0.2
e,55,1,idle_incentive_group_4,memory_fragment_sr_glo_00001,0.2
e,56,1,idle_incentive_group_4,memory_fragment_ssr_glo_00001,0.2
e,69,1,idle_incentive_group_5,box_glo_00001,0.16
e,70,1,idle_incentive_group_5,box_glo_00002,0.09
e,71,1,idle_incentive_group_5,box_glo_00003,0.04
e,72,1,idle_incentive_group_5,memory_glo_00001,5
e,73,1,idle_incentive_group_5,memory_glo_00002,5
e,74,1,idle_incentive_group_5,memory_glo_00003,5
e,75,1,idle_incentive_group_5,memory_glo_00004,5
e,76,1,idle_incentive_group_5,memory_glo_00005,5
e,77,1,idle_incentive_group_5,memory_fragment_r_glo_00001,0.2
e,78,1,idle_incentive_group_5,memory_fragment_sr_glo_00001,0.2
e,79,1,idle_incentive_group_5,memory_fragment_ssr_glo_00001,0.2
e,92,1,idle_incentive_group_6,box_glo_00001,0.19
e,93,1,idle_incentive_group_6,box_glo_00002,0.12
e,94,1,idle_incentive_group_6,box_glo_00003,0.07
e,95,1,idle_incentive_group_6,box_glo_00008,0.01
e,96,1,idle_incentive_group_6,memory_glo_00001,5
e,97,1,idle_incentive_group_6,memory_glo_00002,5
e,98,1,idle_incentive_group_6,memory_glo_00003,5
e,99,1,idle_incentive_group_6,memory_glo_00004,5
e,100,1,idle_incentive_group_6,memory_glo_00005,5
e,101,1,idle_incentive_group_6,memory_fragment_r_glo_00001,0.2
e,102,1,idle_incentive_group_6,memory_fragment_sr_glo_00001,0.2
e,103,1,idle_incentive_group_6,memory_fragment_ssr_glo_00001,0.2
e,116,1,idle_incentive_group_7,box_glo_00001,0.21
e,117,1,idle_incentive_group_7,box_glo_00002,0.15
e,118,1,idle_incentive_group_7,box_glo_00003,0.1
e,119,1,idle_incentive_group_7,box_glo_00008,0.05
e,120,1,idle_incentive_group_7,memory_glo_00001,5
e,121,1,idle_incentive_group_7,memory_glo_00002,5
e,122,1,idle_incentive_group_7,memory_glo_00003,5
e,123,1,idle_incentive_group_7,memory_glo_00004,5
e,124,1,idle_incentive_group_7,memory_glo_00005,5
e,125,1,idle_incentive_group_7,memory_fragment_r_glo_00001,0.2
e,126,1,idle_incentive_group_7,memory_fragment_sr_glo_00001,0.2
e,127,1,idle_incentive_group_7,memory_fragment_ssr_glo_00001,0.2
